ID,EnhanceId,EnhanceLevel,EnhanceCost,SuccessRate,Guarantee,Resolve,
索引ID,强化id库,强化等级,强化到该等级需要的消耗,强化成功率(万分比),保底次数,分解所得,备注
1,1,0,,0,,100100=20,普通强化0
2,1,1,100100=8|101=500,10000,1,100100=28,普通强化1
3,1,2,100100=25|101=1000,10000,1,100100=53,普通强化2
4,1,3,100100=60|101=1500,10000,1,100100=113,普通强化3
5,1,4,100100=100|101=2000,10000,1,100100=213,普通强化4
6,1,5,100100=150|101=2500,10000,1,100100=363,普通强化5
7,1,6,100100=210|101=3000,10000,1,100100=573,普通强化6
8,1,7,100100=252|101=3500,9000,2,100100=825,普通强化7
9,1,8,100100=288|101=4000,8000,2,100100=1113,普通强化8
10,1,9,100100=300|101=4500,7000,2,100100=1323,普通强化9
11,1,10,100100=300|101=5000,6000,3,100100=1533,普通强化10
12,1,11,100100=300|101=5500,5000,3,100100=1743,普通强化11
13,1,12,100100=300|101=6000,4500,4,100100=1953,普通强化12
14,1,13,100100=300|101=6500,4000,4,100100=2163,普通强化13
15,1,14,100100=300|101=7000,3500,5,100100=2373,普通强化14
16,1,15,100100=300|101=7500,3000,6,100100=2583,普通强化15
17,2,0,,0,,100100=40,普通强化0
18,2,1,100100=8|101=500,10000,1,100100=48,普通强化1
19,2,2,100100=25|101=1000,10000,1,100100=73,普通强化2
20,2,3,100100=60|101=1500,10000,1,100100=133,普通强化3
21,2,4,100100=100|101=2000,10000,1,100100=233,普通强化4
22,2,5,100100=150|101=2500,10000,1,100100=383,普通强化5
23,2,6,100100=210|101=3000,10000,1,100100=593,普通强化6
24,2,7,100100=252|101=3500,9000,2,100100=845,普通强化7
25,2,8,100100=288|101=4000,8000,2,100100=1133,普通强化8
26,2,9,100100=300|101=4500,7000,2,100100=1343,普通强化9
27,2,10,100100=300|101=5000,6000,3,100100=1553,普通强化10
28,2,11,100100=300|101=5500,5000,3,100100=1763,普通强化11
29,2,12,100100=300|101=6000,4500,4,100100=1973,普通强化12
30,2,13,100100=300|101=6500,4000,4,100100=2183,普通强化13
31,2,14,100100=300|101=7000,3500,5,100100=2393,普通强化14
32,2,15,100100=300|101=7500,3000,6,100100=2603,普通强化15
33,3,0,,0,,100100=60,普通强化0
34,3,1,100100=8|101=500,10000,1,100100=68,普通强化1
35,3,2,100100=25|101=1000,10000,1,100100=93,普通强化2
36,3,3,100100=60|101=1500,10000,1,100100=153,普通强化3
37,3,4,100100=100|101=2000,10000,1,100100=253,普通强化4
38,3,5,100100=150|101=2500,10000,1,100100=403,普通强化5
39,3,6,100100=210|101=3000,10000,1,100100=613,普通强化6
40,3,7,100100=252|101=3500,9000,2,100100=865,普通强化7
41,3,8,100100=288|101=4000,8000,2,100100=1153,普通强化8
42,3,9,100100=300|101=4500,7000,2,100100=1363,普通强化9
43,3,10,100100=300|101=5000,6000,3,100100=1573,普通强化10
44,3,11,100100=300|101=5500,5000,3,100100=1783,普通强化11
45,3,12,100100=300|101=6000,4500,4,100100=1993,普通强化12
46,3,13,100100=300|101=6500,4000,4,100100=2203,普通强化13
47,3,14,100100=300|101=7000,3500,5,100100=2413,普通强化14
48,3,15,100100=300|101=7500,3000,6,100100=2623,普通强化15
49,4,0,,0,,100100=500,普通强化0
50,4,1,100100=8|101=500,10000,1,100100=508,普通强化1
51,4,2,100100=25|101=1000,10000,1,100100=533,普通强化2
52,4,3,100100=60|101=1500,10000,1,100100=593,普通强化3
53,4,4,100100=100|101=2000,10000,1,100100=693,普通强化4
54,4,5,100100=150|101=2500,10000,1,100100=843,普通强化5
55,4,6,100100=210|101=3000,10000,1,100100=1053,普通强化6
56,4,7,100100=252|101=3500,9000,2,100100=1305,普通强化7
57,4,8,100100=288|101=4000,8000,2,100100=1593,普通强化8
58,4,9,100100=300|101=4500,7000,2,100100=1803,普通强化9
59,4,10,100100=300|101=5000,6000,3,100100=2013,普通强化10
60,4,11,100100=300|101=5500,5000,3,100100=2223,普通强化11
61,4,12,100100=300|101=6000,4500,4,100100=2433,普通强化12
62,4,13,100100=300|101=6500,4000,4,100100=2643,普通强化13
63,4,14,100100=300|101=7000,3500,5,100100=2853,普通强化14
64,4,15,100100=300|101=7500,3000,6,100100=3063,普通强化15
