PetEquipQuality,AddonAttrCount,AddonAttrLimit,
装备品质,装备附加属性条数（初始时的属性条数量权重，不含主属性）,装备附加属性条数上限,备注
1,1=100,4,40级
2,1=100|2=100,4,70级
3,1=50|2=100|3=50,4,85级
4,1=50|2=100|3=100,4,100级
5,1=50|2=100|3=100|4=15,4,100级
6,1=50|2=100|3=100,4,110级
7,1=50|2=100|3=100|4=15,4,110级
8,1=50|2=100|3=100,4,120级
9,1=50|2=100|3=100|4=15,4,120级
11,1=100,4,40级
12,1=100|2=100,4,40级
21,1=100,4,70级
22,1=100|2=100,4,70级
23,1=50|2=100|3=50,4,70级
31,1=100|2=100,4,85级
32,1=50|2=100|3=50,4,85级
33,1=50|2=100|3=100|4=15,4,85级
41,1=100|2=100,4,100级
42,1=50|2=100|3=50,4,100级
43,1=50|2=100|3=100|4=15,4,100级
51,1=100|2=100,4,110级
52,1=50|2=100|3=50,4,110级
53,1=50|2=100|3=100|4=15,4,110级
61,1=100|2=100,4,120级
62,1=50|2=100|3=50,4,120级
63,1=50|2=100|3=100|4=15,4,120级
