Id,SecondId,EquipSuitId,EquipName,,EquipId,EquipQuality,RefineMax,BaseAttrGroup,EnhanceGroupId,AddonAttrGroup,EquipText,Model,
装备ID,装备副id,套装ID,装备名称,备注,装备/部位（2803~2806代表六个不同部位）,装备品质,装备强化上限,基础属性库，索引宠物属性表,宠物装备强化id库,附加属性库，索引宠物属性表,文本描述,模型,
211011,2110,11,[物理]幻想之锋Ⅰ,40级_物攻武器_套装1,2802,11,9,1100,1,2100,,,
211021,2110,12,[物理]海之刺Ⅰ,40级_物攻武器_套装2,2802,11,9,1100,1,2100,,,
211031,2110,13,[物理]冻柠片盾Ⅰ,40级_物攻武器_套装3,2802,11,9,1100,1,2100,,,
211041,2110,14,[物理]波利权杖Ⅰ,40级_物攻武器_套装4,2802,11,9,1100,1,2100,,,
211051,2110,15,[物理]珊瑚刺枪Ⅰ,40级_物攻武器_套装5,2802,11,9,1100,1,2100,,,
212011,2120,11,[魔法]幻想之影Ⅰ,40级_魔攻武器_套装1,2802,11,9,1101,1,2101,,,
212021,2120,12,[魔法]海之钩Ⅰ,40级_魔攻武器_套装2,2802,11,9,1101,1,2101,,,
212031,2120,13,[魔法]沁柠片盾Ⅰ,40级_魔攻武器_套装3,2802,11,9,1101,1,2101,,,
212041,2120,14,[魔法]波利魔杖Ⅰ,40级_魔攻武器_套装4,2802,11,9,1101,1,2101,,,
212051,2120,15,[魔法]珊瑚尖枪Ⅰ,40级_魔攻武器_套装5,2802,11,9,1101,1,2101,,,
213011,2130,11,荧光披风Ⅰ,40级_衣服_套装1,2805,11,9,1102,1,2102,,,
213021,2130,12,海之绒Ⅰ,40级_衣服_套装2,2805,11,9,1102,1,2102,,,
213031,2130,13,樱林白裙Ⅰ,40级_衣服_套装3,2805,11,9,1102,1,2102,,,
213041,2130,14,摇铃绒衣Ⅰ,40级_衣服_套装4,2805,11,9,1102,1,2102,,,
213051,2130,15,远洋装Ⅰ,40级_衣服_套装5,2805,11,9,1102,1,2102,,,
214011,2140,11,[物理]荧光羽冠Ⅰ,40级_帽子_套装1,2803,11,9,1103,1,2103,,,
214021,2140,12,[物理]海之帽Ⅰ,40级_帽子_套装2,2803,11,9,1103,1,2103,,,
214031,2140,13,[物理]草莓头盔Ⅰ,40级_帽子_套装3,2803,11,9,1103,1,2103,,,
214041,2140,14,[物理]兔耳绒帽Ⅰ,40级_帽子_套装4,2803,11,9,1103,1,2103,,,
214051,2140,15,[物理]小船帽Ⅰ,40级_帽子_套装5,2803,11,9,1103,1,2103,,,
215011,2150,11,[魔法]荧光羽冠Ⅰ,40级_帽子_套装1,2803,11,9,1104,1,2104,,,
215021,2150,12,[魔法]海之盔Ⅰ,40级_帽子_套装2,2803,11,9,1104,1,2104,,,
215031,2150,13,[魔法]草莓圆帽Ⅰ,40级_帽子_套装3,2803,11,9,1104,1,2104,,,
215041,2150,14,[魔法]兔耳绒冠Ⅰ,40级_帽子_套装4,2803,11,9,1104,1,2104,,,
215051,2150,15,[魔法]小船帽Ⅰ,40级_帽子_套装5,2803,11,9,1104,1,2104,,,
216011,2160,11,幻想的步履Ⅰ,40级_鞋子_套装1,2806,11,9,1105,1,2105,,,
216021,2160,12,海之靴Ⅰ,40级_鞋子_套装2,2806,11,9,1105,1,2105,,,
216031,2160,13,西瓜皮鞋Ⅰ,40级_鞋子_套装3,2806,11,9,1105,1,2105,,,
216041,2160,14,疯兔绒鞋Ⅰ,40级_鞋子_套装4,2806,11,9,1105,1,2105,,,
216051,2160,15,小拖鞋Ⅰ,40级_鞋子_套装5,2806,11,9,1105,1,2105,,,
217011,2170,11,[物理]荧光手镯Ⅰ,40级_镯_套装1,2801,11,9,1106,1,2106,,,
217021,2170,12,[物理]海之环Ⅰ,40级_镯_套装2,2801,11,9,1106,1,2106,,,
217031,2170,13,[物理]樱桃手环Ⅰ,40级_镯_套装3,2801,11,9,1106,1,2106,,,
217041,2170,14,[物理]兽爪银环Ⅰ,40级_镯_套装4,2801,11,9,1106,1,2106,,,
217051,2170,15,[物理]圆珠手串Ⅰ,40级_镯_套装5,2801,11,9,1106,1,2106,,,
218011,2180,11,[魔法]荧光手镯Ⅰ,40级_镯_套装1,2801,11,9,1107,1,2107,,,
218021,2180,12,[魔法]海之扣Ⅰ,40级_镯_套装2,2801,11,9,1107,1,2107,,,
218031,2180,13,[魔法]樱桃手链Ⅰ,40级_镯_套装3,2801,11,9,1107,1,2107,,,
218041,2180,14,[魔法]兽爪银链Ⅰ,40级_镯_套装4,2801,11,9,1107,1,2107,,,
218051,2180,15,[魔法]圆珠手链Ⅰ,40级_镯_套装5,2801,11,9,1107,1,2107,,,
219011,2190,11,幻想的轻语Ⅰ,40级_项圈_套装1,2804,11,9,1108,1,2108,,,
219021,2190,12,海之钥Ⅰ,40级_项圈_套装2,2804,11,9,1108,1,2108,,,
219031,2190,13,草莓项链Ⅰ,40级_项圈_套装3,2804,11,9,1108,1,2108,,,
219041,2190,14,铃之音Ⅰ,40级_项圈_套装4,2804,11,9,1108,1,2108,,,
219051,2190,15,海螺项链Ⅰ,40级_项圈_套装5,2804,11,9,1108,1,2108,,,
211012,2110,11,[物理]幻境之锋Ⅰ,40级_物攻武器_套装1,2802,12,12,1110,2,2110,,,
211022,2110,12,[物理]蔚蓝之刺钩Ⅰ,40级_物攻武器_套装2,2802,12,12,1110,2,2110,,,
211032,2110,13,[物理]冻柠坚盾Ⅰ,40级_物攻武器_套装3,2802,12,12,1110,2,2110,,,
211042,2110,14,[物理]波利之王权杖Ⅰ,40级_物攻武器_套装4,2802,12,12,1110,2,2110,,,
211052,2110,15,[物理]红珊瑚刺枪Ⅰ,40级_物攻武器_套装5,2802,12,12,1110,2,2110,,,
212012,2120,11,[魔法]幻境之影Ⅰ,40级_魔攻武器_套装1,2802,12,12,1111,2,2111,,,
212022,2120,12,[魔法]蔚蓝之弯钩Ⅰ,40级_魔攻武器_套装2,2802,12,12,1111,2,2111,,,
212032,2120,13,[魔法]沁柠坚盾Ⅰ,40级_魔攻武器_套装3,2802,12,12,1111,2,2111,,,
212042,2120,14,[魔法]波利之王魔杖Ⅰ,40级_魔攻武器_套装4,2802,12,12,1111,2,2111,,,
212052,2120,15,[魔法]红珊瑚尖枪Ⅰ,40级_魔攻武器_套装5,2802,12,12,1111,2,2111,,,
213012,2130,11,镜光披风Ⅰ,40级_衣服_套装1,2805,12,12,1112,2,2112,,,
213022,2130,12,蔚蓝之长绒Ⅰ,40级_衣服_套装2,2805,12,12,1112,2,2112,,,
213032,2130,13,樱林洋裙Ⅰ,40级_衣服_套装3,2805,12,12,1112,2,2112,,,
213042,2130,14,摇铃棉绒衣Ⅰ,40级_衣服_套装4,2805,12,12,1112,2,2112,,,
213052,2130,15,远洋礼装Ⅰ,40级_衣服_套装5,2805,12,12,1112,2,2112,,,
214012,2140,11,[物理]镜光羽冠Ⅰ,40级_帽子_套装1,2803,12,12,1113,2,2113,,,
214022,2140,12,[物理]蔚蓝之礼帽Ⅰ,40级_帽子_套装2,2803,12,12,1113,2,2113,,,
214032,2140,13,[物理]草莓战盔Ⅰ,40级_帽子_套装3,2803,12,12,1113,2,2113,,,
214042,2140,14,[物理]兔耳棉绒帽Ⅰ,40级_帽子_套装4,2803,12,12,1113,2,2113,,,
214052,2140,15,[物理]听风小帽Ⅰ,40级_帽子_套装5,2803,12,12,1113,2,2113,,,
215012,2150,11,[魔法]镜光羽冠Ⅰ,40级_帽子_套装1,2803,12,12,1114,2,2114,,,
215022,2150,12,[魔法]蔚蓝之羽冠Ⅰ,40级_帽子_套装2,2803,12,12,1114,2,2114,,,
215032,2150,13,[魔法]草莓冠冕Ⅰ,40级_帽子_套装3,2803,12,12,1114,2,2114,,,
215042,2150,14,[魔法]兔耳棉绒冠Ⅰ,40级_帽子_套装4,2803,12,12,1114,2,2114,,,
215052,2150,15,[魔法]听风小帽Ⅰ,40级_帽子_套装5,2803,12,12,1114,2,2114,,,
216012,2160,11,幻境的足迹Ⅰ,40级_鞋子_套装1,2806,12,12,1115,2,2115,,,
216022,2160,12,蔚蓝之疾靴Ⅰ,40级_鞋子_套装2,2806,12,12,1115,2,2115,,,
216032,2160,13,西瓜战靴Ⅰ,40级_鞋子_套装3,2806,12,12,1115,2,2115,,,
216042,2160,14,疯兔棉绒鞋Ⅰ,40级_鞋子_套装4,2806,12,12,1115,2,2115,,,
216052,2160,15,沙滩拖Ⅰ,40级_鞋子_套装5,2806,12,12,1115,2,2115,,,
217012,2170,11,[物理]镜光手镯Ⅰ,40级_镯_套装1,2801,12,12,1116,2,2116,,,
217022,2170,12,[物理]蔚蓝之圆镯Ⅰ,40级_镯_套装2,2801,12,12,1116,2,2116,,,
217032,2170,13,[物理]樱桃叶环Ⅰ,40级_镯_套装3,2801,12,12,1116,2,2116,,,
217042,2170,14,[物理]兽爪秘银环Ⅰ,40级_镯_套装4,2801,12,12,1116,2,2116,,,
217052,2170,15,[物理]珍珠手串Ⅰ,40级_镯_套装5,2801,12,12,1116,2,2116,,,
218012,2180,11,[魔法]镜光手镯Ⅰ,40级_镯_套装1,2801,12,12,1117,2,2117,,,
218022,2180,12,[魔法]蔚蓝之环扣Ⅰ,40级_镯_套装2,2801,12,12,1117,2,2117,,,
218032,2180,13,[魔法]樱桃叶链Ⅰ,40级_镯_套装3,2801,12,12,1117,2,2117,,,
218042,2180,14,[魔法]兽爪秘银链Ⅰ,40级_镯_套装4,2801,12,12,1117,2,2117,,,
218052,2180,15,[魔法]珍珠手链Ⅰ,40级_镯_套装5,2801,12,12,1117,2,2117,,,
219012,2190,11,幻境的轻语Ⅰ,40级_项圈_套装1,2804,12,12,1118,2,2118,,,
219022,2190,12,蔚蓝之密钥Ⅰ,40级_项圈_套装2,2804,12,12,1118,2,2118,,,
219032,2190,13,草莓心恋Ⅰ,40级_项圈_套装3,2804,12,12,1118,2,2118,,,
219042,2190,14,银铃之音Ⅰ,40级_项圈_套装4,2804,12,12,1118,2,2118,,,
219052,2190,15,海音链Ⅰ,40级_项圈_套装5,2804,12,12,1118,2,2118,,,
221011,2210,11,[物理]幻想之锋Ⅱ,70级_物攻武器_套装1,2802,21,9,1200,1,2200,,,
221021,2210,12,[物理]海之刺Ⅱ,70级_物攻武器_套装2,2802,21,9,1200,1,2200,,,
221031,2210,13,[物理]冻柠片盾Ⅱ,70级_物攻武器_套装3,2802,21,9,1200,1,2200,,,
221041,2210,14,[物理]波利权杖Ⅱ,70级_物攻武器_套装4,2802,21,9,1200,1,2200,,,
221051,2210,15,[物理]珊瑚刺枪Ⅱ,70级_物攻武器_套装5,2802,21,9,1200,1,2200,,,
222011,2220,11,[魔法]幻想之影Ⅱ,70级_魔攻武器_套装1,2802,21,9,1201,1,2201,,,
222021,2220,12,[魔法]海之钩Ⅱ,70级_魔攻武器_套装2,2802,21,9,1201,1,2201,,,
222031,2220,13,[魔法]沁柠片盾Ⅱ,70级_魔攻武器_套装3,2802,21,9,1201,1,2201,,,
222041,2220,14,[魔法]波利魔杖Ⅱ,70级_魔攻武器_套装4,2802,21,9,1201,1,2201,,,
222051,2220,15,[魔法]珊瑚尖枪Ⅱ,70级_魔攻武器_套装5,2802,21,9,1201,1,2201,,,
223011,2230,11,荧光披风Ⅱ,70级_衣服_套装1,2805,21,9,1202,1,2202,,,
223021,2230,12,海之绒Ⅱ,70级_衣服_套装2,2805,21,9,1202,1,2202,,,
223031,2230,13,樱林白裙Ⅱ,70级_衣服_套装3,2805,21,9,1202,1,2202,,,
223041,2230,14,摇铃绒衣Ⅱ,70级_衣服_套装4,2805,21,9,1202,1,2202,,,
223051,2230,15,远洋装Ⅱ,70级_衣服_套装5,2805,21,9,1202,1,2202,,,
224011,2240,11,[物理]荧光羽冠Ⅱ,70级_帽子_套装1,2803,21,9,1203,1,2203,,,
224021,2240,12,[物理]海之帽Ⅱ,70级_帽子_套装2,2803,21,9,1203,1,2203,,,
224031,2240,13,[物理]草莓头盔Ⅱ,70级_帽子_套装3,2803,21,9,1203,1,2203,,,
224041,2240,14,[物理]兔耳绒帽Ⅱ,70级_帽子_套装4,2803,21,9,1203,1,2203,,,
224051,2240,15,[物理]小船帽Ⅱ,70级_帽子_套装5,2803,21,9,1203,1,2203,,,
225011,2250,11,[魔法]荧光羽冠Ⅱ,70级_帽子_套装1,2803,21,9,1204,1,2204,,,
225021,2250,12,[魔法]海之盔Ⅱ,70级_帽子_套装2,2803,21,9,1204,1,2204,,,
225031,2250,13,[魔法]草莓圆帽Ⅱ,70级_帽子_套装3,2803,21,9,1204,1,2204,,,
