Id,LvUpAttrGroupID,Level,Attributions,Description
主键,宠物升级属性库id,升级到该等级时增加属性,升到该等级时增加的属性（属性id=属性值|属性id=属性值|…）,备注
1,1,1,,物理C
2,1,2,379=10|387=29|388=1,物理C
3,1,3,380=3|382=12|384=1|386=5,物理C
4,1,4,379=8|383=6,物理C
5,1,5,380=3|384=2|385=6|387=58|381=3,物理C
6,1,6,379=8|382=10,物理C
7,1,7,380=4|383=5|384=1|386=7,物理C
8,1,8,379=10|387=66,物理C
9,1,9,380=4|382=12|384=2|385=8|381=4,物理C
10,1,10,379=10|383=6|388=1,物理C
11,1,11,380=5|384=1|386=9|387=71,物理C
12,1,12,379=12|382=10,物理C
13,1,13,380=4|383=5|384=2|385=9|381=4,物理C
14,1,14,379=12|387=75,物理C
15,1,15,380=5|382=12|384=2|386=9,物理C
16,1,16,379=14|383=6,物理C
17,1,17,380=5|384=2|385=10|387=79|381=5,物理C
18,1,18,379=14|382=10|388=1,物理C
19,1,19,380=4|383=5|384=1|386=9,物理C
20,1,20,379=16|387=81,物理C
21,1,21,380=5|382=12|384=2|385=9|381=5,物理C
22,1,22,379=20|383=6,物理C
23,1,23,380=5|384=2|386=10|387=84,物理C
24,1,24,379=20|382=10,物理C
25,1,25,380=6|383=5|384=2|385=11|381=6,物理C
26,1,26,379=22|387=86|388=1,物理C
27,1,27,380=5|382=12|384=2|386=11,物理C
28,1,28,379=24|383=6,物理C
29,1,29,380=5|384=2|385=10|387=88|381=5,物理C
30,1,30,379=26|382=10|388=1,物理C
31,1,31,380=6|383=5|384=2|386=11,物理C
32,1,32,379=28|387=90,物理C
33,1,33,380=5|382=12|384=3|385=11|381=5,物理C
34,1,34,379=32|383=5,物理C
35,1,35,380=6|384=2|386=11|387=91,物理C
36,1,36,379=34|382=10,物理C
37,1,37,380=5|383=6|384=2|385=11|381=5,物理C
38,1,38,379=36|387=93|388=1,物理C
39,1,39,380=6|382=12|384=2|386=11,物理C
40,1,40,379=40|383=5,物理C
41,1,41,380=5|384=2|385=11|387=95|381=5,物理C
42,1,42,379=42|382=10,物理C
43,1,43,380=6|383=6|384=2|386=11,物理C
44,1,44,379=46|387=96,物理C
45,1,45,380=6|382=12|384=3|385=12|381=6,物理C
46,1,46,379=48|383=5|388=1,物理C
47,1,47,380=6|384=2|386=12|387=97,物理C
48,1,48,379=52|382=10,物理C
