Id,PetStatId,PetStatLevelDistribution,Weight
主键ID,档次库ID,资质分段分布和（数字代表六个资质的分段id之和）,选择权重
1,1,6,10
2,1,7,60
3,1,8,210
4,1,9,560
5,1,10,1260
6,1,11,2460
7,1,12,4260
8,1,13,6660
9,1,14,9510
10,1,15,12460
11,1,16,15060
12,1,17,16860
13,1,18,17510
14,1,19,16860
15,1,20,15060
16,1,21,12460
17,1,22,9510
18,1,23,6660
19,1,24,4260
20,1,25,2460
21,1,26,1260
22,1,27,560
23,1,28,210
24,1,29,60
25,1,30,10
26,2,6,10
27,2,7,60
28,2,8,210
29,2,9,560
30,2,10,1260
31,2,11,2460
32,2,12,4260
33,2,13,6660
34,2,14,9510
35,2,15,12460
36,2,16,15060
37,2,17,16860
38,2,18,17510
39,2,19,16860
40,2,20,15060
41,2,21,12460
42,2,22,9510
43,2,23,6660
44,2,24,4260
45,2,25,2460
46,2,26,1260
47,2,27,560
48,2,28,210
49,2,29,60
50,2,30,10
