ID,PetStatId,AttrId,StatRange
主键ID,档次库id,属性id,分段信息（资质分段id=资质下限百分比=资质上限百分比|资质分段id=资质下限百分比=资质上限百分比|…)
1,1,373,1=0=2000|2=2000=4000|3=4000=6000|4=6000=8000|5=8000=10000
2,1,374,1=0=2000|2=2000=4000|3=4000=6000|4=6000=8000|5=8000=10000
3,1,375,1=0=2000|2=2000=4000|3=4000=6000|4=6000=8000|5=8000=10000
4,1,376,1=0=2000|2=2000=4000|3=4000=6000|4=6000=8000|5=8000=10000
5,1,377,1=0=2000|2=2000=4000|3=4000=6000|4=6000=8000|5=8000=10000
6,1,378,1=0=2000|2=2000=4000|3=4000=6000|4=6000=8000|5=8000=10000
7,2,373,1=0=3000|2=3000=5000|3=5000=7000|4=7000=8500|5=8500=10000
8,2,374,1=0=3000|2=3000=5000|3=5000=7000|4=7000=8500|5=8500=10000
9,2,375,1=0=3000|2=3000=5000|3=5000=7000|4=7000=8500|5=8500=10000
10,2,376,1=0=3000|2=3000=5000|3=5000=7000|4=7000=8500|5=8500=10000
11,2,377,1=0=3000|2=3000=5000|3=5000=7000|4=7000=8500|5=8500=10000
12,2,378,1=0=3000|2=3000=5000|3=5000=7000|4=7000=8500|5=8500=10000
