GroupName,PhotoNames,PhotoDesc,remark
照片组名称,照片名字,照片描述,备注
group1,1|2|3|4|5,0|0|0|0|0,新手大厅
group2,1|2|3|4|5,0|0|0|0|0,新手大厅
group3,1|2|3|4|5,0|0|0|0|0,新手大厅
group4,1|2|3|4,0|0|0|0,新手大厅
group5,1|2|3|4|5,0|0|0|0|0,新手大厅
group6,1|2|3|4|5,0|0|0|0|0,新手大厅
group8,1|2|3|4|5|6|7|8|9|10|11|12|13,啊！！！我被皮里恩吃啦！！！|闭上眼，站在高处，感觉风从我的身体穿过……|八人血书求开斯芬克斯洞穴入口！！！|这就是初心者学院嘛，好漂亮呀！|猜猜这是哪里~|嘿嘿嘿，一定没有人发现我是个男的吧|当狐狸假面遇上兔耳发圈和牛仔帽……|钓的不是鱼，是情趣啊！|又是一个人泡澡的一天，那个死鬼到底去哪鬼混了|mua~mua~|第一次和亲爱的一起坐飞行载具，有点点小激动呢|知道爆炸头是怎么来的吗？没错，被雷劈的！|嘿嘿嘿到此一游~,新手大厅最大
group9,,,
group10,,,
group11,1|2|3|4|5,0|0|0|0|0,家园
