Id,Name,Prefab,AudioPath,Atlas,Icon,BoundRadius,BoundHeight,IdleAnim,IdleFAnim,RunSpeed,RunPercent,IsLoopMoveAudio,BaseRunSpeed,RunAnim,RunFAnim,BeHitTime,BeHitAnim,BeHitRule,StunAnim,SingingAnim,DeadAnim,BornAnim,BornAnimTime,BeginFxID,BeginFxPoint,ClimbIdleAnim,ClimbUpAnim,ClimbDownAnim,ClimbLeftAnim,ClimbRightAnim,ClimbToIdleUpAnim,ClimbToIdleDownAnim,IdleToClimbUpAnim,IdleToClimbDownAnim,BornBuff,HugeMonsterColliders,OpenAnim,FreeStyleAnim,IdleComboAnim,AnimationFx
编号,描述,Prefab名字,音效路径,图集,图标,服务器半径,服务器高度,待机动画（非战斗）,待机动画（战斗）,跑步速度,移动音效起始百分比（左脚|右脚）,移动音效是否循环（0.不循环，默认为0；1.循环）,怪物初始移速,移动动画（非战斗）,移动动画（战斗）,被击动画时长,被击动画,多受击动作规则（1|技能ID=受击动作1=受击动作2…；2|血量=受击动作1=受击动作2）受击动作读AnimationTable，填0/默认BeHitAnim字段,晕眩动画,吟唱动画,死亡动画,出生动画,出生动画时长,出生特效ID,出生特效挂点,攀爬待机动画,爬上动画,爬下动画,爬左动画,爬右动画,爬到顶变待机,爬到底变待机,待机往上变攀爬,待机往下变攀爬,出生Buff(id=概率,形体拆分（x=z=r=h),卡普拉欢迎动画,休闲动画,武僧连续技专用战斗待机,animationName=effectid=startTime=playTime=modelBone
10,初心者（男）,Common_M_Default,,,,0.5,2,Novice_M_Idle,0=Novice_M_IdleF,4.6,0.1|0.6,0,4,Novice_M_Run,Novice_M_RunF,0.1,Novice_M_BeHit,,Novice_M_Stun,Novice_M_IdleF,Novice_M_Death,,,,,Common_M_Panpa_Idle,Common_M_PanpaRun_Up,Common_M_PanpaRun_Down,Common_M_PanpaRun_Left,Common_M_PanpaRun_Right,Common_M_Panpa_To_Idle_Up,Common_M_Panpa_To_Idle_Down,Common_M_Idle_To_Panpa_Up,Common_M_Idle_To_Panpa_Down,,,,,,
11,初心者（女）,Common_F_Default,,,,0.5,2,Novice_F_Idle,0=Novice_F_IdleF,4.6,0.1|0.6,0,4,Novice_F_Run,Novice_F_RunF,0.1,Novice_F_BeHit,,Novice_F_Stun,Novice_F_IdleF,Novice_F_Death,,,,,Common_F_Panpa_Idle,Common_F_PanpaRun_Up,Common_F_PanpaRun_Down,Common_F_PanpaRun_Left,Common_F_PanpaRun_Right,Common_F_Panpa_To_Idle_Up,Common_F_Panpa_To_Idle_Down,Common_F_Idle_To_Panpa_Up,Common_F_Idle_To_Panpa_Down,,,,,,
20,剑士（男）,Common_M_Default,,,,0.5,2,Swordman_M_Idle,0=Swordman_M_IdleF,4.6,0.1|0.6,0,4,Swordman_M_Run,Swordman_M_RunF,0.1,Swordman_M_BeHit,,Swordman_M_Stun,Knight_M_Skill_Singing,Swordman_M_Death,,,,,Common_M_Panpa_Idle,Common_M_PanpaRun_Up,Common_M_PanpaRun_Down,Common_M_PanpaRun_Left,Common_M_PanpaRun_Right,Common_M_Panpa_To_Idle_Up,Common_M_Panpa_To_Idle_Down,Common_M_Idle_To_Panpa_Up,Common_M_Idle_To_Panpa_Down,,,,,,Fashion_M_JiJia_Idle01_Show_01=2900001=0=5.5=0|Fashion_M_JiJia_Idle01_Show_02=2900002=0=5=0|
21,剑士（女）,Common_F_Default,,,,0.5,2,Swordman_F_Idle,0=Swordman_F_IdleF,4.6,0.1|0.6,0,4,Swordman_F_Run,Swordman_F_RunF,0.1,Swordman_F_BeHit,,Swordman_F_Stun,Knight_F_Skill_Singing,Swordman_F_Death,,,,,Common_F_Panpa_Idle,Common_F_PanpaRun_Up,Common_F_PanpaRun_Down,Common_F_PanpaRun_Left,Common_F_PanpaRun_Right,Common_F_Panpa_To_Idle_Up,Common_F_Panpa_To_Idle_Down,Common_F_Idle_To_Panpa_Up,Common_F_Idle_To_Panpa_Down,,,,,,Fashion_F_JiJia_Idle01_Show_01=2900003=0=5.5=0|Fashion_F_JiJia_Idle01_Show_02=2900004=0=5=0|Fashion_F_SiShen02_Idle_Show_01=3000002=0=5.5=0|Fashion_F_HongYe_Idle_Show_01=3000001=0=5.5=0|Fashion_F_HongYe_Idle=3000001=0=5=0
30,服事（男）,Common_M_Default,,,,0.5,2,Acolyte_M_Idle,0=Acolyte_M_IdleF,4.6,0.1|0.6,0,4,Acolyte_M_Run,Acolyte_M_RunF,0.1,Acolyte_M_BeHit,,Acolyte_M_Stun,Acolyte_M_Skill_Singing_01_Hide,Acolyte_M_Death,,,,,Common_M_Panpa_Idle,Common_M_PanpaRun_Up,Common_M_PanpaRun_Down,Common_M_PanpaRun_Left,Common_M_PanpaRun_Right,Common_M_Panpa_To_Idle_Up,Common_M_Panpa_To_Idle_Down,Common_M_Idle_To_Panpa_Up,Common_M_Idle_To_Panpa_Down,,,,,,Fashion_M_JiJia_Idle01_Show_01=2900001=0=5.5=0|Fashion_M_JiJia_Idle01_Show_02=2900002=0=5=0
31,服事（女）,Common_F_Default,,,,0.5,2,Acolyte_F_Idle,0=Acolyte_F_IdleF,4.6,0.1|0.6,0,4,Acolyte_F_Run,Acolyte_F_RunF,0.1,Acolyte_F_BeHit,,Acolyte_F_Stun,Acolyte_F_Skill_Singing_01_Hide,Acolyte_F_Death,,,,,Common_F_Panpa_Idle,Common_F_PanpaRun_Up,Common_F_PanpaRun_Down,Common_F_PanpaRun_Left,Common_F_PanpaRun_Right,Common_F_Panpa_To_Idle_Up,Common_F_Panpa_To_Idle_Down,Common_F_Idle_To_Panpa_Up,Common_F_Idle_To_Panpa_Down,,,,,,Fashion_F_JiJia_Idle01_Show_01=2900003=0=5.5=0|Fashion_F_JiJia_Idle01_Show_02=2900004=0=5=0|Fashion_F_SiShen02_Idle_Show_01=3000002=0=5.5=0|Fashion_F_HongYe_Idle_Show_01=3000001=0=5.5=0|Fashion_F_HongYe_Idle=3000001=0=5=0
40,法师（男）,Common_M_Default,,,,0.5,2,Magician_M_Idle,0=Magician_M_IdleF,4.6,0.1|0.6,0,4,Magician_M_Run,Magician_M_RunF,0.1,Magician_M_BeHit,,Magician_M_Stun,Magician_M_Skill_Singing_01_Stick,Magician_M_Death,,,,,Common_M_Panpa_Idle,Common_M_PanpaRun_Up,Common_M_PanpaRun_Down,Common_M_PanpaRun_Left,Common_M_PanpaRun_Right,Common_M_Panpa_To_Idle_Up,Common_M_Panpa_To_Idle_Down,Common_M_Idle_To_Panpa_Up,Common_M_Idle_To_Panpa_Down,,,,,,Fashion_M_JiJia_Idle01_Show_01=2900001=0=5.5=0|Fashion_M_JiJia_Idle01_Show_02=2900002=0=5=0
41,法师（女）,Common_F_Default,,,,0.5,2,Magician_F_Idle,0=Magician_F_IdleF,4.6,0.1|0.6,0,4,Magician_F_Run,Magician_F_RunF,0.1,Magician_F_BeHit,,Magician_F_Stun,Magician_F_Skill_Singing_01_Stick,Magician_F_Death,,,,,Common_F_Panpa_Idle,Common_F_PanpaRun_Up,Common_F_PanpaRun_Down,Common_F_PanpaRun_Left,Common_F_PanpaRun_Right,Common_F_Panpa_To_Idle_Up,Common_F_Panpa_To_Idle_Down,Common_F_Idle_To_Panpa_Up,Common_F_Idle_To_Panpa_Down,,,,,,Fashion_F_JiJia_Idle01_Show_01=2900003=0=5.5=0|Fashion_F_JiJia_Idle01_Show_02=2900004=0=5=0|Fashion_F_SiShen02_Idle_Show_01=3000002=0=5.5=0|Fashion_F_HongYe_Idle_Show_01=3000001=0=5.5=0|Fashion_F_HongYe_Idle=3000001=0=5=0
50,盗贼（男）,Common_M_Default,,,,0.5,2,Thief_M_Idle,0=Thief_M_IdleF,4.6,0.1|0.6,0,4,Thief_M_Run,Thief_M_RunF,0.1,Thief_M_BeHit,,Thief_M_Stun,Thief_M_IdleF,Thief_M_Death,,,,,Common_M_Panpa_Idle,Common_M_PanpaRun_Up,Common_M_PanpaRun_Down,Common_M_PanpaRun_Left,Common_M_PanpaRun_Right,Common_M_Panpa_To_Idle_Up,Common_M_Panpa_To_Idle_Down,Common_M_Idle_To_Panpa_Up,Common_M_Idle_To_Panpa_Down,,,,,,Fashion_M_JiJia_Idle01_Show_01=2900001=0=5.5=0|Fashion_M_JiJia_Idle01_Show_02=2900002=0=5=0
