Id,Name,SystemAtlas,SystemIcon,SystemDes,LinkDes,SystemType,LinkId,Gender
功能ID,功能名称,功能图集,功能图标,功能描述,跳转链接描述,功能类型（具体如何配置待定）,跳转功能ID（有则显示，无则不显示）,奖励区分性别（不填为不区分，1为男性角色，2为女性角色）
1001,精英怪小地图图标,AchievementIcon,UI_AchievementIcon_Xt_Jingying.png,解锁后可在小地图上看见精英怪的icon,,,,
1002,MINI怪小地图图标,AchievementIcon,UI_AchievementIcon_Xt_Mini.png,解锁后可在小地图上看见mini怪的icon,,,,
1003,MVP怪小地图图标,AchievementIcon,UI_AchievementIcon_Xt_Mvp.png,解锁后可在小地图上看见MVP怪的icon,,,,
1004,挂机自动吃药设置,AchievementIcon,UI_AchievementIcon_Xt_Zidongchiyao.png,解锁后可在挂机时自动使用药水,,,,
1005,挂机范围设置,AchievementIcon,UI_AchievementIcon_Xt_Guajifanwei.png,解锁后可在挂机时选择挂机范围,,,,
1006,挂机杂物拾取设置,AchievementIcon,UI_AchievementIcon_Xt_Zawushiqu.png,解锁后可在挂机时选择是否拾取杂物,,,,
1007,挂机状态设置,AchievementIcon,UI_AchievementIcon_Xt_Guajifanwei.png,解锁后可在挂机设置界面切换挂机状态,,,,
1008,技能队列设置,AchievementIcon,UI_AchievementIcon_Xt_Jinengduilie.png,解锁后可在技能设置界面进行技能队列设置,,,,
1101,爱心发夹兑换解锁,AchievementIcon,UI_AchievementIcon_Xt_Toushiduihuan.png,解锁后可到艾尔贝塔兑换商店，兑换爱心发夹,,,,
1102,星星发夹兑换解锁,AchievementIcon,UI_AchievementIcon_Xt_Toushiduihuan.png,解锁后可到梦罗克找到杰西卡头饰兑换商店，兑换星星发夹,,,,
1103,上弦月发夹兑换解锁,AchievementIcon,UI_AchievementIcon_Xt_Toushiduihuan.png,解锁后可到梦罗克找到杰西卡头饰兑换商店，兑换上弦月发夹,,,,
1104,红蝶丝带兑换解锁,AchievementIcon,UI_AchievementIcon_Xt_Toushiduihuan.png,解锁后可到吉芬兑换商店，兑换红蝶丝带,,,,
1105,铃铛发带兑换解锁,AchievementIcon,UI_AchievementIcon_Xt_Toushiduihuan.png,解锁后可到吉芬兑换商店，兑换铃铛发带,,,,
1106,出游帽子兑换解锁,AchievementIcon,UI_AchievementIcon_Xt_Toushiduihuan.png,解锁后可到艾尔贝塔兑换商店，兑换出游帽子,,,,
1107,红色小发带兑换解锁,AchievementIcon,UI_AchievementIcon_Xt_Toushiduihuan.png,解锁后可到普隆德拉兑换商店，兑换红色小发带,,,,
1108,狐狸假面兑换解锁,AchievementIcon,UI_AchievementIcon_Xt_Toushiduihuan.png,解锁后可到斐扬兑换商店，兑换狐狸假面,,,,
1109,深红玫瑰兑换解锁,AchievementIcon,UI_AchievementIcon_Xt_Toushiduihuan.png,解锁后可到艾尔贝塔兑换商店，兑换深红玫瑰,,,,
1110,学生帽兑换解锁,AchievementIcon,UI_AchievementIcon_Xt_Toushiduihuan.png,解锁后可到艾尔贝塔兑换商店，兑换学生帽,,,,
1111,猫耳发圈兑换解锁,AchievementIcon,UI_AchievementIcon_Xt_Toushiduihuan.png,解锁后可到伊斯鲁得兑换商店，兑换猫耳发圈,,,,
1112,宝石头盔兑换解锁,AchievementIcon,UI_AchievementIcon_Xt_Toushiduihuan.png,解锁后可到吉芬兑换商店，兑换宝石头盔,,,,
1113,兽人头盔兑换解锁,AchievementIcon,UI_AchievementIcon_Xt_Toushiduihuan.png,解锁后可到吉芬兑换商店，兑换兽人头盔,,,,
1114,灯泡发圈兑换解锁,AchievementIcon,UI_AchievementIcon_Xt_Toushiduihuan.png,解锁后可到斐扬兑换商店，兑换灯泡发圈,,,,
1115,蜡烛头饰兑换解锁,AchievementIcon,UI_AchievementIcon_Xt_Toushiduihuan.png,解锁后可到斐扬兑换商店，兑换蜡烛头饰,,,,
1116,兔女郎发圈兑换解锁,AchievementIcon,UI_AchievementIcon_Xt_Toushiduihuan.png,解锁后可到梦罗克找到杰西卡头饰兑换商店，兑换兔女郎发圈,,,,
1117,天使波利帽子兑换解锁,AchievementIcon,UI_AchievementIcon_Xt_Toushiduihuan.png,解锁后可到伊斯鲁得兑换商店，兑换天使波利帽子,,,,
1201,旋风发型解锁,AchievementIcon,UI_AchievementIcon_Xt_Faxingduihuan.png,解锁后可到托尼老师处使用旋风发型进行造型改造啦！,前往查看,,1040,1
1202,公主小妹发型解锁,AchievementIcon,UI_AchievementIcon_Xt_Faxingduihuan.png,解锁后可到托尼老师处使用公主小妹发型进行造型改造啦！,前往查看,,1040,2
1203,潮男发型解锁,AchievementIcon,UI_AchievementIcon_Xt_Faxingduihuan.png,解锁后可到托尼老师处使用潮男发型进行造型改造啦！,前往查看,,1040,1
1204,糖豆发型解锁,AchievementIcon,UI_AchievementIcon_Xt_Faxingduihuan.png,解锁后可到托尼老师处使用糖豆发型进行造型改造啦！,前往查看,,1040,2
1205,质感碎发发型解锁,AchievementIcon,UI_AchievementIcon_Xt_Faxingduihuan.png,解锁后可到托尼老师处使用质感碎发发型进行造型改造啦！,前往查看,,1040,1
1206,童话世界发型解锁,AchievementIcon,UI_AchievementIcon_Xt_Faxingduihuan.png,解锁后可到托尼老师处使用童话世界发型进行造型改造啦！,前往查看,,1040,2
1207,运动少年发型解锁,AchievementIcon,UI_AchievementIcon_Xt_Faxingduihuan.png,解锁后可到托尼老师处使用运动少年发型进行造型改造啦！,前往查看,,1040,1
1208,秋日梦发型解锁,AchievementIcon,UI_AchievementIcon_Xt_Faxingduihuan.png,解锁后可到托尼老师处使用秋日梦发型进行造型改造啦！,前往查看,,1040,2
