InterfaceID,ButtonName,ProbabilityInstructions,Highly,Width,URLDescribe,ProbabilityURL
UI界面ID（每个界面有唯一的ID）,按钮名称（界面按钮名称（支持副文本））,说明文字,提示框高度,提示框宽度,超链接文本描述,URL链接
1001,概率详情,魔力装备机中包含所有奖励道具与概率表示,0,0,,
2001,概率详情,魔力头饰机中包含所有奖励道具与概率表示,0,0,,
3001,概率详情,魔力卡片机中包含所有奖励道具与概率表示,0,0,,
4001,概率详情,神秘商店中包含所有奖励道具与概率表示,0,0,,
5001,概率详情,秋夕节脸饰,0,0,,
5002,概率详情,秋夕节头饰,0,0,,
5003,概率详情,秋夕节嘴饰,0,0,,
5004,概率详情,秋夕节背饰+背饰图纸,0,0,,
5005,概率详情,秋夕节载具,0,0,,
5006,概率详情,秋夕节时装+头饰,0,0,,
5007,概率详情,姜饼人嘴饰,0,0,,
5008,概率详情,圣诞眼镜脸饰,0,0,,
5009,概率详情,麋鹿帽子头饰,0,0,,
5010,概率详情,圣诞礼物袋背饰,0,0,,
5011,概率详情,驯鹿摩托车载具,0,0,,
5012,概率详情,圣诞快乐时装,0,0,,
5013,概率详情,花牌,0,0,,
5014,概率详情,烟花棒,0,0,,
5015,概率详情,烟花发箍,0,0,,
5016,概率详情,巨大烟花炮,0,0,,
5017,概率详情,牛玩偶,0,0,,
5018,概率详情,战斗鸡载具,0,0,,
5019,概率详情,童真礼节帽,0,0,,
5020,概率详情,童真眼镜,0,0,,
5021,概率详情,童真冰淇淋,0,0,,
5022,概率详情,童真雨伞,0,0,,
5023,概率详情,童真校服,0,0,,
5024,概率详情,双人摩托,0,0,,
6001,概率详情,祈愿概率详情,0,0,,
6002,概率详情,祈愿概率详情,0,0,,
6003,概率详情,祈愿概率详情,0,0,,
6004,概率详情,祈愿概率详情,0,0,,
6005,概率详情,祈愿概率详情,0,0,,
6006,概率详情,祈愿概率详情,0,0,,
6007,概率详情,祈愿概率详情,0,0,,
5025,概率详情,幸运树概率详情,0,0,,
5026,概率详情,幸运树概率详情,0,0,,
5027,概率详情,樱花头饰,0,0,,
5028,概率详情,樱花眼镜,0,0,,
5029,概率详情,樱花嘴饰,0,0,,
5030,概率详情,樱花翅膀,0,0,,
5031,概率详情,宫廷时光,0,0,,
5032,概率详情,RO-037型,0,0,,
5033,概率详情,垂垂兔耳帽,0,0,,
5034,概率详情,星月耳钉,0,0,,
5035,概率详情,月兔饼干,0,0,,
5036,概率详情,月兔气球,0,0,,
5037,概率详情,月兔之礼,0,0,,
5038,概率详情,旅月时光,0,0,,
5039,概率详情,松果帽,0,0,,
5040,概率详情,小闪电贴纸,0,0,,
5041,概率详情,美味的栗子,0,0,,
5042,概率详情,猫咪的餐桌礼叉,0,0,,
5043,概率详情,栗子装,0,0,,
5044,概率详情,魔术球,0,0,,
