ProbabilityModificationGroup,GroupName,ProbabilityModificationType,TriggerCondition,NoobProbabilityModificationType,
保底系统组,保底系统,保底方法,新手保底触发条件（<=）,新手保底方法,备注
10802,装备精炼(已废弃),0,0,0,装备的每次精炼都走一遍保底机制，保底机制相关数据跟玩家持有的装备ID绑定
10803,装备附魔(已废弃),1,0,1,装备的每次附魔都走一遍保底机制，保底机制相关数据跟玩家持有的装备ID绑定
10801,装备升星(已废弃),1,0,1,装备的每次升星都走一遍保底机制，保底机制相关数据跟玩家持有的装备ID绑定
888,紧急任务刷新(已废弃),1,3,5,
1000,宝图奖励包升级(已废弃),4,30,4,任务奖励的随机通常是有一个100%的特殊pack，这个pack里要用pack升级的方式做保底
1010,累进掉落奖励,1,30,1,掉落奖励的随机通常是有一个掉率很低的特殊pack，这个pack是否掉落要做概率保底
1011,抽卡奖励,2,0,2,
1012,阀门奖励,9,0,9,
1013,挖宝奖励,8,0,8,
8001,扭蛋保底,10,0,10,扭蛋保底
