ProfessionId,AttrPolygon,ProfessionGain,SkillClass,SkillClassPreview,ProfessionDesc,ProfessionPainting
职业Id,"六维雷达图 1-10 Sequence<int, 6> \r\nSTR/VIT/AGI/INT/DEX/LUK","职业加成六个属性 Sequence<int, 8>\r\nSTR/VIT/AGI/INT/DEX/LUK/HP/SP",技能流派（最多3个）vector<string>,"流派技能预览（最多三个） vector<sequence<int, 2>>",职业介绍（string）,职业立绘
1000,,,,,,
2000,,,,,,
3000,,,,,,
4000,,,,,,
5000,,,,,,
7000,,,,,,
6000,,,,,,
2101,8=6=7=2=4=5,15=14=4=0=9=6=328=40,敏剑|枪骑|防御,200012=200013|210104=210108|210114=210115,骑乘大嘴鸟的王国骑士。擅长使用剑和枪、拥有强韧的防御力与骑乘大嘴鸟的高机动性兼容。攻防兼备，适应于所有场合。,Knight_M.png=Knight_F.png
2102,9=7=7=3=5=6,30=22=12=2=18=9=994=0,敏剑|枪骑|防御,210202=210204|210205=210209|210203=210206,拥有转瞬间击溃敌方防线的惊人破坏力，是骑士中顶点的存在。攻守兼备的同时，还拥有短时间内狂暴化使肉体获得增强的能力。,LordKnight_M.png=LordKnight_F.png
2201,6=8=6=4=3=4,14=11=4=6=6=7=369=108,盾牌|圣十字|援护,220105=220106|220108=220109|220107=220103,十字军具备高度的防御力。他们不但可以增加长矛的攻击速度以强化攻击层面，而且他们独特的盾系技能也可以强化自己的防御层面。,Crusader_M.png=Crusader_F.png
2202,7=10=6=5=4=4,23=21=12=13=14=10=994=0,盾牌|圣十字|援护,220206=220211|220202=220203|220209=220211,能够利用丰富的技能給予同伴最佳的援护。他们同时还能强化自身的能力，发挥更强大的力量。,Paladin_M.png=Paladin_F.png
3101,4=3=4=8=6=3,8=8=6=8=7=11=246=120,赞美|驱魔|暴牧,300015=300016|310106=310109|310114=310108,受到神明加护的神官。屡屡用圣洁之力创造奇迹，擅长净化不死系怪物。同样拥有多样的辅助、恢复魔法，是队伍中最可靠的存在。,Priest_M.png=Priest_F.png
3102,5=4=4=9=7=4,15=16=18=17=14=13=746=0,赞美|驱魔|暴牧,310203=310204|310210=310209|310211=310207,拯救伙伴于危险之际的强大存在。帮助队友减少所受伤害的同时拥有强大的回复能力，还可以制造出免疫一切伤害的圣域。,HighPriest_M.png=HighPriest_F.png
3201,8=5=6=5=4=3,11=7=9=10=9=7=570=28,气功|连打,320104=320108|320106=320109,和信仰神明着重修炼精神力和魔法力的牧师不同，注重实战的他们不断锻炼自己的肉体，调节体内运行的气并用其造成巨大的破坏力。,Monk_M.png=Monk_F.png
3202,9=6=7=6=4=4,20=12=18=17=16=10=870=0,气功|连打,320202=320205|320203=320204,他们宣誓对神明的忠诚，自愿成为神罚的代行者，能挥出连大地都会震颤的重拳，同时对气的掌控愈发熟练，连续技也更加强大。,Champion_M.png=Champion_F.png
4101,3=5=3=8=7=3,1=1=12=20=9=5=308=120,火焰|冰雷,410108=410112|400016=400015,可以使用更为强大的魔法。近距离战斗仍然是短板、熟练运用水-地-火-风四种属性，释放超大范围魔法，对团队帮助极大。,Wizard_M.png=Wizard_F.png
4102,4=6=4=9=8=4,3=9=15=39=21=6=932=0,火焰|冰雷,410208=410206|410210=410207,本就压倒性强大的魔力再次得到升华的魔法专家，甚至拥有操控无属性魔法亦或是运用念力来操控重力的能力。,HighWizard_M.png=HighWizard_F.png
4201,3=5=3=8=7=3,1=1=12=20=9=5=308=120,元素|精神,420108=420106|420112=420114,可以使水-地-火-风四种属性的元素箭发挥更强大的作用，单体输出更加的恐怖，短板是缺少大范围魔法伤害,Sage_M.png=Sage_F.png
4202,4=6=4=9=8=4,3=9=15=39=21=6=932=0,元素|精神,420203=420204|420208=420212,使强大的单体输出能力再次得到升华，可以在不同元素箭之间灵活切换，同时掌握了汲取蓝量和清除敌方增益的技巧,Scholar_M.png=Scholar_F.png
5101,7=3=6=2=3=7,10=4=14=5=12=3=287=80,双刀|拳刃,510109=510103|510102=510107,机敏，并掌握二刀流的奥义。高超的爆发是单人战中的王者。可以装备高暴击率装备「拳刃」。,Assassin_M.png=Assassin_F.png
5102,8=4=7=3=4=8,19=7=29=5=22=11=870=0,双刀|拳刃,510203=510206|510204=510205,被盯上的目标万无幸存可能的暗杀者，拥有各种不为人知的手段。擅长以毒药及暗杀之术搅乱敌方的阵型，有着卓越的效果。,AssassinCross_M.png=AssassinCross_F.png
7101,4=4=7=4=7=4,7=3=9=6=17=6=308=80,速射|陷阱,710125=710128|710112=710118,使用弓矢的远距离作战专家、也是使用各种陷阱玩弄敌人的智者。驯养猎鹰进行支援、攻击上限拔群。,Hunter_M.png=Hunter_F.png
7102,5=5=8=5=8=5,11=17=12=17=22=14=932=0,速射|陷阱,710202=710203|710218=710219,用箭无虚发来形容都不为过的射手。在弓箭和猎鹰的猛烈攻击下，没有任何敌人拥有还手的余地。,Sniper_M.png=Sniper_F.png
7201,4=4=7=4=7=4,7=3=9=6=17=6=307=80,颂音|狂想曲,720103=720106|720109=720113,可以用乐器弹奏出各种歌曲，优雅的弹奏声中蕴藏着杀意，辅助能力更是不容小觑。,Bard_M.png=Bard_M.png
7202,5=5=8=5=8=5,11=17=12=17=22=14=932=80,颂音|狂想曲,720209=720210|720205=720213,自己演奏的同时与舞娘进行合奏可以呈现更多的效果,Minstrel_M.png=Minstrel_M.png
