ID,Stage,OpenSystemID,ActType,,TargetTask,TaskChapter,AwardID,AcceptNpcId,NumLimitID
目标唯一id,阶段区分（1表示碎片阶段，2表示挑战阶段）,对应OpenSystem表功能id,对应TimeLimitActivity表ActType字段）；非限时活动配0即可,备注,任务ID（接取任务ID=完成任务ID）,任务章节ID,奖励ID,接取任务NPC,奖励限制次数ID（客户端用关联NumLimitTable表，ID=上限次数）
1,1,3610,1301,记忆碎片活动完成第1块碎片,22002410=22002420,22024,8700300,26=61850,
2,1,3610,1301,记忆碎片活动完成第2块碎片,22002510=22002520,22024,8700310,26=61850,
3,1,3610,1301,记忆碎片活动完成第3块碎片,22002610=22002620,22024,8700320,26=61850,
4,1,3610,1301,记忆碎片活动完成第4块碎片,22002710=22002720,22024,8700330,26=61850,
5,1,3610,1301,记忆碎片活动完成第5块碎片,22002810=22002820,22024,8700340,26=61850,
6,1,3610,1301,记忆碎片活动完成第6块碎片,22002910=22002920,22024,8700350,26=61850,
7,1,3610,1301,记忆碎片活动完成第7块碎片,22003010=22003020,22024,8700360,26=61850,
8,1,3610,1301,记忆碎片活动完成第8块碎片,22003110=22003120,22024,8700370,26=61850,
9,1,3610,1301,记忆碎片活动完成第9块碎片,22003210=22003220,22024,8700380,26=61850,
10,2,3610,1301,记忆碎片活动挑战相关,,,8700390,26=61851,
