Id,BlockSet,Duration,IntroductionSet,IntroductionText,EffectData,SkillId,ShowSkillId,ButtonTrans,ButtonAtlas,ButtonIcon,FunctionType
编号,是否需要遮罩(0不需要 1需要)=遮罩是否透明(0半透明 1透明),持续时间(-1表示无限时间),介绍设置（是否展示=X偏移=Y偏移=箭头方向类型）（是否展示 0不展示 1展示）（箭头类型 0不展示 1左上 2左 3左下 4右下 5右 6右上）,介绍的文字说明,特效数据（特效类型=特效偏移X=特效偏移Y=特效宽度W=特效高度H=特效缩放S）（特效类型说明： 0无特效 1光圈 2手指 3方形 4OX按钮 5任务）（宽高填-1代码自适应）,技能Id(如果不是技能填0),展示图标的技能ID【用于特殊处理QTE技能实际技能ID与技能图标不相符的情况】,按钮的位置与大小（x=y=z=w=h）(技能的话用不到这个),按钮图集(技能的话用不到这个),按钮图标(技能的话用不到这个),点击事件类型（0点击关闭 1连点）
1,1=0,-1,1=-190=115=0,快使用装死技能骗过敌人！,3=0=0=120=120=1,100007,100007,0=0=0=0=0,,,0
2,1=0,-1,1=-190=115=0,危险解除，可以起身了,3=0=0=120=120=1,100007,100008,0=0=0=0=0,,,0
3,1=0,-1,1=-190=115=0,使用紧急治疗恢复血量！,3=0=0=120=120=1,100002,100002,0=0=0=0=0,,,0
4,1=1,-1,1=-254=94=4,点击进行左洒水~,0=0=0=120=120=1,1000698301,1000698301,0=0=0=0=0,,,0
5,1=1,-1,1=-254=105=4,点击进行右洒水~,0=0=0=120=120=1,1000698302,1000698302,0=0=0=0=0,,,0
6,1=1,-1,1=-239=110=4,点击进行祈福~,0=0=0=120=120=1,1000698303,1000698303,0=0=0=0=0,,,0
7,1=1,-1,1=-262=100=4,使用狂击攻击树精,0=0=0=120=120=1,200004,200004,0=0=0=0=0,,,0
8,1=1,-1,1=-254=94=4,使用群体技能怒爆,0=0=0=120=120=1,200005,200005,0=0=0=0=0,,,0
9,1=1,-1,1=-262=100=4,使用1级冰箭术攻击目标,0=0=0=120=120=1,400001,400001,0=0=0=0=0,,,0
10,1=1,-1,1=-262=100=4,冰箭术已升为10级,0=0=0=120=120=1,400001,400001,0=0=0=0=0,,,0
11,1=1,-1,1=-254=94=4,火箭术可克制地属性,0=0=0=120=120=1,400005,400005,0=0=0=0=0,,,0
12,1=1,-1,1=-252=97=4,使用群体技能火球术,0=0=0=120=120=1,400006,400006,0=0=0=0=0,,,0
13,1=1,-1,1=-262=100=4,点击目标，然后使用治愈术,0=0=0=120=120=1,300008,300008,0=0=0=0=0,,,0
14,1=1,-1,1=-254=94=4,霸邪之阵可让友方抵消伤害,0=0=0=120=120=1,300012,300012,0=0=0=0=0,,,0
15,1=1,-1,1=-190=115=4,天使之赐福可以提升伤害,0=0=0=120=120=1,300002,300002,0=0=0=0=0,,,0
16,1=1,-1,1=-190=115=4,天使之障壁可以提升防御,0=0=0=120=120=1,300003,300003,0=0=0=0=0,,,0
17,1=1,-1,1=-262=100=4,使用二连矢攻击小野猪,0=0=0=120=120=1,1000718103,1000718103,0=0=0=0=0,,,0
18,1=1,-1,1=-254=94=4,冲锋箭可以击退目标,0=0=0=120=120=1,1000718105,1000718105,0=0=0=0=0,,,0
19,1=1,-1,1=-252=97=4,使用箭雨阻止野猪前进,0=0=0=120=120=1,1000718104,1000718104,0=0=0=0=0,,,0
20,1=1,-1,1=-190=115=4,现在你的普通攻击可连击两次,0=0=0=120=120=1,500019,500019,0=0=0=0=0,,,0
21,1=1,-1,1=-262=100=4,使用诡诈把戏消灭狼群,0=0=0=120=120=1,500025,500025,0=0=0=0=0,,,0
22,1=1,-1,1=-262=100=4,施毒可造成毒属性伤害，并使其中毒,0=0=0=120=120=1,500024,500024,0=0=0=0=0,,,0
23,1=1,-1,1=-254=94=4,使用隐匿穿过九尾狐的防线,0=0=0=120=120=1,500005,500005,0=0=0=0=0,,,0
24,1=1,-1,1=-262=100=4,使用金钱攻击攻击哥布灵,0=0=0=120=120=1,1000719101,1000719101,0=0=0=0=0,,,0
25,1=1,-1,1=-254=94=4,使用群体技能手推车攻击,0=0=0=120=120=1,1000719102,1000719102,0=0=0=0=0,,,0
26,1=1,5,1=-262=100=4,快使用念力击碎花瓶,0=0=0=120=120=1,1000755202,1000755202,0=0=0=0=0,,,0
27,1=1,5,1=-262=100=4,快使用十字驱魔攻击净化恶魔,0=0=0=120=120=1,1000752403,1000752403,0=0=0=0=0,,,0
28,1=1,-1,1=-262=100=4,使用金钱攻击攻击哥布林,0=0=0=120=120=1,1000719301,1000719301,0=0=0=0=0,,,0
29,1=0,-1,1=-190=115=0,假装倒地，骗过白女巫！,3=0=0=120=120=1,1000936006,1000936006,0=0=0=0=0,,,0
30,1=0,-1,1=-190=115=0,趁白女巫靠近，抓住机会攻击她！,3=0=0=120=120=1,1000936007,1000936007,0=0=0=0=0,,,0
31,1=1,-1,1=-262=100=4,使用普通攻击触发“六合拳”,3=0=0=120=120=1,310201,310201,0=0=0=0=0,,,0
32,1=0,10,1=-190=115=0,释放“摇篮曲”,3=0=0=120=120=1,1002823801,1002823801,0=0=0=0=0,,,0
33,1=0,10,1=-190=115=0,释放“摇篮曲”,3=0=0=120=120=1,1002823802,1002823802,0=0=0=0=0,,,0
