Id,TotalCD,SkillGroup,QteBuffID,ChangeSceneKeep
编号,总CD,技能组,检测QTE技能开始时播持续特效,切换场景保留QTE配置（1为保留，0为不保留）
1,12,200023=01=0=0|200024=01=2000=0|200025=01=2000=0,,
2,2,100003=01=0=0=1|100006=01=15000=0,,
3,2,200003=01=0=0=1|200026=01=15000=0,,
4,2,400009=01=0=0=1|400031=01=15000=0,,
5,2,300007=01=0=0=1|300027=01=15000=0,,
6,2,500003=01=0=0=1|500023=01=15000=0,,
7,2,700003=01=0=0=1|700018=01=15000=0,,
8,1,610104=01=0=0|610109=01=-1=0,5003,1
9,2,600003=01=0=0|600007=01=15000=0,,
10,1,610104=02=0=0|610109=02=-1=0,5003,1
11,1,610104=03=0=0|610109=03=-1=0,5003,1
12,1,610104=04=0=0|610109=04=-1=0,5003,1
13,1,610104=05=0=0|610109=05=-1=0,5003,1
14,1,200029=01=0=0|200030=01=-1=0,114,
16,0,1000761301=01=0=0|1000761201=01=-1=0,,
17,2,100007=01=0=0=1|100008=01=999000=0,,
18,1,220203=01=0=0|220204=01=-1=0|220205=01=-1=0,5003,1
19,1,220203=02=0=0|220204=02=-1=0|220205=02=-1=0,5003,1
20,1,220203=03=0=0|220204=03=-1=0|220205=03=-1=0,5003,1
21,1,220203=04=0=0|220204=04=-1=0|220205=04=-1=0,5003,1
22,1,220203=05=0=0|220204=05=-1=0|220205=05=-1=0,5003,1
23,1,220203=06=0=0|220204=06=-1=0|220205=06=-1=0,5003,1
24,1,220203=07=0=0|220204=07=-1=0|220205=07=-1=0,5003,1
25,1,220203=08=0=0|220204=08=-1=0|220205=08=-1=0,5003,1
26,1,220203=09=0=0|220204=09=-1=0|220205=09=-1=0,5003,1
27,1,220203=10=0=0|220204=10=-1=0|220205=10=-1=0,5003,1
28,2,620218=01=0=0=1|620219=01=15000=0,,
29,2,420118=01=0=0=1|420119=01=15000=0,,
