ID,FirstName_male,LastName_male,FirstName_female,LastName_female,SpecialSign
ID,男姓,男名,女姓,女名,取名添加的符号
1,魔山,艾榕,迷之,阿贝,
2,钻石,阿夫东,谜之,艾贝,
3,拳圣,艾布杜,星之,艾比,
4,智者,阿贝,月之,阿比亚,
5,悟灵士,阿贝尔,耀之,阿布,
6,忍者,阿碧,龙之,阿达玛,
7,浪客,艾布纳,幻之,阿德莱德,
8,神枪手,艾博拉,梦之,阿黛尔,
9,寒铁,亚伯拉姆,影之,艾迪娜,
10,刀锋,埃斯,孤之,艾德里安,
11,大剑士,艾达,初之,阿德里安娜,
12,庇护者,阿达,恋之,阿德里亚内,
13,白龙,阿黛尔,隐之,阿加莎,
14,神弓,艾蒂,雾之,艾琳,
15,制裁者,阿德迪,雪之,艾梅,
16,影魔,爱笛,雨之,艾娥尼,
17,至尊,爱德琳,晴之,艾莎,
18,路人,爱德丽,冰之,阿莱恩纳,
19,突袭者,阿德莱,吻之,艾兰娜,
20,北境,阿道夫,风之,阿拉尼斯,
21,雄狮,艾夫特恩,蝶之,阿兰纳,
22,地精,艾格尼思,樱之,阿尔比纳,
23,狼人,阿格里帕,爱之,阿尔达,
24,引领着,阿迈德,光之,阿莱莎,
25,觉醒者,安丝蕾,羽之,亚历克萨,
26,主宰,阿尔,玄之,艾琳娜,
27,炼金,艾伦,歌之,阿丽莎,
28,影狼,阿拉斯代尔,春之,阿尔伦内,
29,王侯,艾莱斯泰尔,夏之,艾莉森,
30,弑神者,阿尔班,秋之,奥尔瑟雅,
31,龙爪,艾儿白尼,冬之,阿尔温娜,
32,反叛者,艾尔伯特,蜜桃,阿利斯,
33,骑士,艾尔伯塔,冬恋,艾玛贝尔,
34,十字军,艾尔伯图,春雨,阿曼达,
35,领主,奥斯汀,秋歌,艾米,
36,虚空,奥尔德斯,恋歌,艾恩,
37,圣殿,亚历克,守护,安纳贝尔,
38,皇家,阿列克谢,天使,阿南达,
39,门徒,艾莱萨,恒之,安杰利卡,
40,辉煌,亚历克斯,兮之,安琪丽卡,
41,炫目,艾力克西思,慕之,安杰丽那,
42,刺客,艾尔夫莱德,流年,安琪丽塔,
43,守望者,阿尔弗雷多,浮云,安吉,
44,西境,艾丽丝,悟之,安妮莎,
45,博识,阿莉西亚,空之,安娜,
46,忧郁,艾卡,执念,安娜贝尔,
47,斗神,阿隆索,寒羽,安娜贝拉,
48,战神,阿方斯,小可爱,安娜贝儿,
49,巨人,阿尔平,萌萌哒,安娜玛利亚,
50,寒冰,阿尔文,舞姬,安洋马里,
51,红龙,艾蒙,惊鸿,安妮,
52,深渊,阿马萨,战士,安娜玛丽,
53,掠夺者,安布罗斯,骑士,安托万,
54,先锋,阿莫斯,牧师,安东尼,
55,崇高的,安德,舞者,安亚,
56,精灵,安德斯,荆棘,阿芙拉,
57,剑士,安德耶,起源,艾谱莉,
58,狂影,安佳,女猎人,亚拉,
59,深邃,安杰亚,创造者,艾登,
60,缔造者,安德烈斯,占卜师,阿雷特哈,
61,星术,安德鲁,预言者,阿里,
62,独行者,安德烈,忍者,阿莱特,
63,游侠,安德罗尼柯,贤者,阿利纳,
64,战斧,安尼克,智者,阿什利,
65,学霸,安尼丝,游侠,艾什莉,
66,学渣,安瑟,修罗,雅典娜,
67,武道家,安蒂帕斯,刺客,奥德拉,
68,收割者,阿勒斯立,武士,奥古斯塔,
69,巫师,阿拉姆,剑士,奥拉,
70,凛冬,阿奇,王族,沃丽,
71,风暴,阿基劳斯,皇族,奥罗拉,
72,先驱者,阿尔德,逐影,阿福瑞尔,
73,百战,阿里尔,舞娘,艾唯,
74,魔法师,艾瑞,艺人,巴巴拉,
75,腹黑,阿尔伦,术士,芭贝特,
76,中二,阿伦,女巫,巴布斯,
77,暗夜,亚琳,夏洛,巴伊亚,
78,青羽,阿尼,精灵,芭芭拉,
79,诸神,阿诺德,暗影,巴尔巴里,
80,豪爽,阿冉,星辰,巴尔布拉,
81,强壮,阿蒂,路人,巴尔布里,
82,追魂,阿萨,萌妹,巴尔达,
83,天骄,艾西亚,初冬,巴尔塔,
84,彷徨的,奥布里,初夏,巴西利亚,
85,暴风,奥迪耶,初春,碧翠斯,
86,暴雨,奥黛丽,初秋,比特里斯,
87,飞霜,奥古斯特,初吻,贝琳达,
88,壁咚的,奥古丝特,初恋,贝拉,
89,离魂,奥古丝汀娜,楚歌,贝尔,
90,光明,奥古斯丁,飞花,贝伦妮斯,
91,冲霄,奥古斯塔斯,飞鸟,贝尔纳达,
92,冰火,奥斯丁,御姐,贝尔尼斯,
93,幽深,奥顿,风景,伯莎,
94,伪装,艾维尔,风铃,贝丝,
95,微小的,埃弗里,风沙,贝西,
96,苦涩的,艾维瓦,枫叶,贝特翰,
97,英勇,阿克塞尔,海浪,贝齐,
98,铁手,贝毕,红豆,贝琪,
99,孤傲,贝利,红颜,贝特,
100,潇洒的,贝尔德,恒星,贝特蒂,
101,随性的,巴尔塔萨,候鸟,贝蒂,
102,不败,巴拉克,花火,贝特泰伊,
103,神力,巴克雷,空白,比尤莱,
104,逐风,巴多尔普斯,浪花,贝弗利,
105,屠夫 ,巴纳德,泪光,比利,
106,血焰,巴拉特,骊歌,比尔黎,
107,殇之,巴雷特,恋人,比尔迪,
108,迷之,班瑞,流星,比吉塔,
109,星之,巴里,木偶,布兰奇,
110,月之,巴尔萨巴斯,偶像,布隆代尔,
111,耀之,巴特,飘雪,布洛瑟姆,
112,龙之,巴斯,奇迹,波尼塔,
113,幻之,巴萨罗穆,祈祷,邦妮,
114,梦之,巴特拉姆,浅唱,邦尼,
115,影之,巴鲁克,低吟,布兰达,
116,孤之,巴兹尔,青鸟,布兰迪,
117,初之,贝克斯特,清风,布雷,
118,符文,贝亚,倾心,碧姬,
119,隐之,比欧,喵系,布里杰特,
120,雾之,贝卡,小清新,布丽奇特,
121,雪之,贝克,诗人,布菲,
122,雨之,比德,思念,布拉赫,
123,晴之,班尼迪克,随风,凯迪,
124,冰之,本尼迪克特,随缘,凯特琳,
125,风之,本杰曼,微尘,卡莉斯塔,
126,光之,本杰明,天然呆,卡利,
127,羽之,本内特,戏梦,卡米拉,
128,玄之,本尼,寻找,坎迪斯,
129,歌之,本特利,野草,坎迪丝,
130,圣徒,本顿,野风,卡拉,
131,白袍,伯格,野花,卡朗,
132,蓝袍,伯克利,赞歌,卡里,
133,红袍,伯纳德,避风港,卡里斯萨,
134,乐师,伯尼,了不起,凯丽塔,
135,神官,贝里,独角戏,卡洛塔,
136,守护者,伯特,梦中人,卡罗尔,
137,天使,伯特拉姆,陌生人,凯莉,
138,搞笑,伯特兰,小仙女,卡赖恩,
139,战士,百丽儿,神话,卡桑德拉,
140,龙骑,贝夫,傲娇的,卡桑翠俄,
141,救星,比夫,夜风,卡西,
142,斥侯,比尔,女汉子,凯特,
143,风趣,比利,妩媚,凯茜,
144,幽默,伯奇,魅力,凯瑟琳,
145,王者,布莱恩,年轻,凯西,
146,荣耀,布莱尔,雪白,希塞莉亚,
147,剑神,布莱斯,傲慢,塞西莉,
148,牧师,布莱克,呆萌,塞莉纳,
149,武僧,布兰,脆弱,钱恩德拉,
150,荆棘,伯兹,友爱,查瑞逖,
151,起源,鲍勃,倔强的,克哈拉,
152,打造者,波碧,神秘,雪莉,
153,创造者,博比,解忧,绮莉,
154,初见,伯纳,绝色,谢丽尔,
155,预言者,博尼费斯,微笑,克洛怡,
156,圣光,布克,喜悦,西塞莉,
157,金龙,布恩,风度,克拉丽莎,
158,青龙,布斯,梦中,克劳汀,
159,黑龙,伯里斯,果断的,克莱门蒂娜,
160,武士,波尔卡,初心,科莱特,
161,王族,柏宜斯,恋语,科拉,
162,皇族,博伊德,聪慧的,科拉贝特斯,
163,天垢,布拉察,博学的,科迪莉亚,
164,侍书者,布拉德,勇敢,科雷塔,
165,审判官,布拉德福德,可爱,科里,
166,男巫,布拉德利,呆呆的,科瑞茵,
167,暗影,布莱迪,融化的,科琳,
168,星辰,布兰德,大方,西比尔,
169,天选者,布琳那,低调,辛西亚,
170,初秋,布兰那,少女,戴菲德,
171,初恋,布伦特,娇小,黛丽亚,
