Id,SexLimit,BarberStyleID,EyeID,EyeStyleID
编号,"性别（0男,1女）",发型（BarberStyleTable表BarberStyleID）,美瞳（EyeTable表EyeID）,瞳色（EyeStyleTable表EyeStyleID列）
1,0,200201,6030001,1
2,0,200402,6030002,2
3,0,200503,6030003,3
4,0,201104,6030004,4
5,0,201405,6030005,5
6,0,201706,6030006,6
7,0,202407,6030001,7
8,0,202708,6030002,8
9,0,200209,6030003,9
10,0,200410,6030004,10
11,0,200511,6030005,1
12,0,201112,6030006,2
13,0,201405,6030001,3
14,0,201706,6030002,4
15,0,202407,6030003,5
16,0,200214,6030004,6
17,0,200505,6030005,7
18,0,201715,6030006,8
19,1,301001,6031001,1
20,1,301008,6031002,2
21,1,301704,6031003,3
22,1,301705,6031004,4
23,1,301906,6031005,5
24,1,301907,6031008,6
25,1,302004,6031001,7
26,1,302010,6031002,8
27,1,302015,6031003,9
28,1,302106,6031004,10
29,1,302111,6031005,1
30,1,302203,6031008,2
31,1,302210,6031001,3
32,1,302701,6031002,4
33,1,302709,6031003,5
34,1,302715,6031004,6
35,1,303201,6031005,7
36,1,303205,6031008,8
37,1,303211,6031001,4
38,1,304102,6031004,6
39,1,304107,6031005,4
40,1,304112,6031001,6
41,1,304115,6031004,4
