Id,Type,Name,,TimePass,TimeCycle,Content,ShowType,RuleHelp,PhaseId
流程ID,"活动类型（活动详情类型，枚举：空0；赛季未开始1,；排位赛2；服内冠军赛3；跨服冠军赛4；赛季结束5）",内容,备注，程序不读,时间,周几,主界面标题,1名单，2邮件，3系统消息，4拍脸图(例2=邮件ID|3=消息ID），5战队新闻推送,是否显示给玩家,跨服的阶段对应本服的阶段
1,2,结算冠军赛资格,结算冠军赛资格,2200,7,结算冠军赛资格,3=90106,,1
2,3,战队组建截止,冠军赛组队报名截止,1800,1,战队组建截止,3=90107|3=90108,1,2
3,3,加赛对阵宣布,加赛对阵宣布,1801,1,加赛对阵宣布,3=90109,,3
4,3,加赛单淘战,加赛时间,1900,1,加赛单淘战,3=90110|3=90111|3=90140|5=69107|5=69108,1,4
5,3,加赛结果,加赛结果,1910,1,加赛结果,,,5
6,3,正式比赛队伍名单,正式比赛队伍名单,1910,1,正式比赛队伍名单,3=90112|5=69110,,6
7,3,抽签分组,抽签流程,2000,1,抽签分组,3=90113|3=90114|3=90151|3=90152,1,7
8,3,正式分组公布,正式分组公布,2016,1,正式分组公布,3=90115,,8
9,3,八强争夺战,16强赛(16进8,2000,2,八强争夺战,3=90116|3=90117|3=90141|5=69107|5=69108,1,9
10,3,四强争夺战,8强赛(8进4,2000,5,四强争夺战,3=90118|3=90119|3=90142|5=69107|5=69108,1,10
11,3,决赛争夺战,4强赛(4进2,2045,5,决赛争夺战,3=90120|3=90121|3=90143|5=69107|5=69108,1,11
12,3,决赛名单,4强赛结束,2115,5,决赛名单,,,12
13,3,季军争夺战,季军赛,2000,6,季军争夺战,3=90122|3=90123|3=90144|5=69107|5=69108,1,13
14,3,冠军争夺战,冠军赛,2045,6,冠军争夺战,3=90124|3=90125|3=90145|5=69107|5=69108,1,14
15,3,奖励结算,奖励结算,2115,6,奖励结算,5=69109|5=69111,,15
16,1,不开起周,不开起周,,,不开起周,,,
17,1,开启维护,开启维护,,,开启维护,,,
18,4,结算跨服冠军赛资格,结算冠军赛资格,0500,1,结算跨服冠军赛资格,,,6
19,4,对阵公布,跨服赛对阵公布,1200,1,对阵公布,3=90129,1,8
20,4,八强争夺战,跨服16强赛(16进8,2000,1,八强争夺战,3=90130|3=90131|3=90146|5=69112|5=69113,1,9
21,4,四强争夺战,跨服8强赛(8进4,2000,2,四强争夺战,3=90132|3=90133|3=90147|5=69112|5=69113,1,10
22,4,决赛争夺战,跨服4强赛(4进2,2000,5,决赛争夺战,3=90134|3=90135|3=90148|5=69112|5=69113,1,11
23,4,决赛名单,4强赛结束,2045,5,决赛名单,,,12
24,4,季军争夺战,跨服季军赛,2000,6,季军争夺战,3=90136|3=90137|3=90149|5=69112|5=69113,1,13
25,4,冠军争夺战,跨服冠军赛,2045,6,冠军争夺战,3=90138|3=90139|3=90150|5=69112|5=69113,1,14
26,4,奖励结算,跨服赛奖励结算,2115,6,奖励结算,5=69109,,15
27,1,不开起周,不开起周,,,不开起周,,,
28,,开启维护,开启维护,,,开启维护,,,
