RankID,RankName,WinAddRank,LoseMinusRank,RankScore,MiniScoreGuard,MiniScoreMax,NewSeasonRank,StarNum,SeasonAwardMailID,IconAtlas,Icon,SmallIconAtlas,SmallIcon,GradeName,GradeReward,RankType
分段ID,当前分段,胜利增加星数,失败扣除星数,转换为分数,小分抵扣星数,小分上限,新赛季分段,星数,赛季奖励邮件ID,图标Atlas,图标,小图标Atlas,小图标,显示段位名字,显示段位奖励预览,段位类型
1,青铜1-1星,1,0,0,0,99,1,1,1510,Ranked5v5_icon,pvp_level_1.png,Ranked5v5_icon,pvp_level_1_small.png,青铜,1,1
2,青铜1-2星,1,0,100,0,99,1,2,1510,Ranked5v5_icon,pvp_level_1.png,Ranked5v5_icon,pvp_level_1_small.png,青铜,,1
3,青铜1-3星,1,0,200,0,99,1,3,1510,Ranked5v5_icon,pvp_level_1.png,Ranked5v5_icon,pvp_level_1_small.png,青铜,,1
4,青铜2-1星,1,0,300,0,99,1,1,1510,Ranked5v5_icon,pvp_level_1.png,Ranked5v5_icon,pvp_level_1_small.png,青铜,,1
5,青铜2-2星,1,0,400,0,99,1,2,1510,Ranked5v5_icon,pvp_level_1.png,Ranked5v5_icon,pvp_level_1_small.png,青铜,,1
6,青铜2-3星,1,0,500,0,99,1,3,1510,Ranked5v5_icon,pvp_level_1.png,Ranked5v5_icon,pvp_level_1_small.png,青铜,,1
7,青铜3-1星,1,0,600,0,99,1,1,1510,Ranked5v5_icon,pvp_level_1.png,Ranked5v5_icon,pvp_level_1_small.png,青铜,,1
8,青铜3-2星,1,0,700,0,99,1,2,1510,Ranked5v5_icon,pvp_level_1.png,Ranked5v5_icon,pvp_level_1_small.png,青铜,,1
9,青铜3-3星,1,0,800,0,99,1,3,1510,Ranked5v5_icon,pvp_level_1.png,Ranked5v5_icon,pvp_level_1_small.png,青铜,,1
10,白银1-1星,1,0,900,0,99,1,1,1511,Ranked5v5_icon,pvp_level_2.png,Ranked5v5_icon,pvp_level_2_small.png,白银,1,2
11,白银1-2星,1,0,1000,0,99,1,2,1511,Ranked5v5_icon,pvp_level_2.png,Ranked5v5_icon,pvp_level_2_small.png,白银,,2
12,白银1-3星,1,0,1100,0,99,1,3,1511,Ranked5v5_icon,pvp_level_2.png,Ranked5v5_icon,pvp_level_2_small.png,白银,,2
13,白银2-1星,1,0,1200,0,99,1,1,1511,Ranked5v5_icon,pvp_level_2.png,Ranked5v5_icon,pvp_level_2_small.png,白银,,2
