ID,TaskType,Target,Desc,Awardid,MailID
编号,任务类型（1.每周任务 2.赛季任务）,目标条件先数量再类型，达成数量|目标id|目标参数，没有参数就填0,条件描述,奖励,邮件ID（不领取奖励刷新后邮件发放）
1,1,1|1|0,参与1场时空模拟战,8700030,2002
2,1,5|1|0,参与5场时空模拟战,8700040,2003
3,1,1|2|0,获得1场时空模拟战胜利,8700060,2004
4,1,3|2|0,获得3场时空模拟战胜利,8700070,2005
5,2,10|1|0,赛季参与总场数到达10场,8700080,2006
6,2,20|1|0,赛季参与总场数到达20场,8700090,2007
7,2,30|1|0,赛季参与总场数到达30场,8700100,2008
8,2,60|1|0,赛季参与总场数到达60场,8700110,2009
9,2,100|1|0,赛季参与总场数到达100场,8700120,2010
10,2,5|2|0,赛季获得总胜场到达5场,8700130,2011
11,2,10|2|0,赛季获得总胜场到达10场,8700140,2012
12,2,20|2|0,赛季获得总胜场到达20场,8700150,2013
13,2,50|2|0,赛季获得总胜场到达50场,8700160,2014
