Id,SystemId,,FirstMailId,DayMailId,TermOfValidity,TimeAgain,DayAwardId,ProductId,Area
,opensystem功能ID,,开通后首封邮件id,开通后每天邮件id,有效期（天/次）,月卡少于等级N天可以续订,开通后每天获得awardid,开通后首次获得PaymentTable表主键ID,策划用！！！地区（0国内、1日本、2港澳台、3韩国、4北美、5东南亚）
101,124,普通返利月卡,7002,7003,30,0,3800730,100201,3
102,125,超级返利月卡,7004,7005,30,0,3800740,100202,3
103,124,普通返利月卡,7002,7003,30,0,3800730,100301,3
104,125,超级返利月卡,7004,7005,30,0,3800740,100302,3
105,124,普通返利月卡,7002,7003,30,0,3800730,200201,0
106,125,超级返利月卡,7004,7005,30,0,3800740,200202,0
107,124,普通返利月卡,7002,7003,30,0,3800730,200301,0
108,125,超级返利月卡,7004,7005,30,0,3800740,200302,0
109,124,普通返利月卡,7002,7003,30,0,3800730,100501,3
110,125,超级返利月卡,7004,7005,30,0,3800740,100502,3
111,124,普通返利月卡,7002,7003,30,0,3800730,300012,1
112,125,超级返利月卡,7004,7005,30,0,3800740,300013,1
113,124,普通返利月卡,7002,7003,30,0,3800730,300015,1
114,125,超级返利月卡,7004,7005,30,0,3800740,300016,1
115,124,普通返利月卡,7002,7003,30,0,3800730,400070,4
116,125,超级返利月卡,7004,7005,30,0,3800740,400071,4
117,124,普通返利月卡,7002,7003,30,0,3800730,400073,4
118,125,超级返利月卡,7004,7005,30,0,3800740,400074,4
