MainId,ProductId,Name,ServerDaysLimit,LabelLimit,GiftPackageAtlas,GiftPackageIcon,Label,LabelText,,Value,Limit,PackageType
礼包主键ID（1为韩国直购礼包；2为日本直购礼包）,直购礼包ID（payment表SameTab列值）,礼包名称,服务器开服时间天数限制（10=30，两边值包含在内）,"玩家标签限制，必须填（0:不限制,2:普通玩家,4:萌新玩家，8:回流玩家）",礼包图片图集,礼包图片名,"标签，不填不显示（1为折扣标签,3触发礼包标签）",文字标签，可以不配，需要本地化，label=1和3不用这个,策划注释列，程序不读,礼包价值，注意价值金额对应地区货币， 支持不配就不显示,刷新类型=上限，配置示意：1=2为每日限购两次\n与CountTable表action56 、57的逻辑一样，格式：刷新类型1=上限1|刷新类型2=上限2,装备制作=1|扫荡=2|卡片=3|抽奖券=4|精炼=5|战斗加速=6|饰品=7|齿轮=8|载具=9|附魔=10|强化=11
10001,100601,备战成长箱子,0=9999,0,Shopping,UI_Shopping_icon_zhigoulibao1.png,,折扣,KR,12200,2=1,
10002,100603,冒险加速箱子,75=9999,0,Shopping,UI_Shopping_icon_zhigoulibao2.png,,限定,KR,55300,4=1,
10003,100604,冒险加速箱子,35=74,0,Shopping,UI_Shopping_icon_zhigoulibao2.png,,限定,KR,63500,4=1,
10004,100606,冒险加速箱子,0=34,0,Shopping,UI_Shopping_icon_zhigoulibao2.png,,限定,KR,76400,4=1,
10005,100611,装备强化箱子,35=9999,2,Shopping,UI_Shopping_icon_zhigoulibao3.png,,86%OFF,KR,124700,0=1,
10006,100612,回归装备强化箱子,35=9999,8,Shopping,UI_Shopping_icon_zhigoulibao3.png,,87%OFF,KR,158800,0=1,
10007,100613,萌新装备强化箱子,35=9999,4,Shopping,UI_Shopping_icon_zhigoulibao3.png,,87%OFF,KR,138300,0=1,
10008,100614,装备强化箱子,0=34,0,Shopping,UI_Shopping_icon_zhigoulibao3.png,,87%OFF,KR,138300,0=1,
10009,100615,卡片狂欢箱子,35=9999,0,Shopping,UI_Shopping_icon_zhigoulibao4.png,,90%OFF,KR,309400,0=1,
10010,100616,卡片狂欢箱子,0=34,0,Shopping,UI_Shopping_icon_zhigoulibao4.png,,90%OFF,KR,336700,4=5,
10019,200401,初心小礼包,0=9999,4,Shopping,UI_Shopping_Icon_01.png,1=50,,CN,30,2=1|4=3,
10020,200402,特惠小礼包,0=9999,8,Shopping,UI_Shopping_Icon_01.png,,,CN,30,2=1|4=3,
10021,200403,冒险家礼包,40=9999,0,Shopping,UI_Shopping_Icon_02.png,1=50,,CN,99,0=1,
10022,200404,萌新冒险家礼包,55=9999,4,Shopping,UI_Shopping_Icon_02.png,,限定,CN,99,0=1,
