Id,Name,PaymentID,Area,Platform,Type,Atlas,Icon,Recommend,SortID,IsUse,OpenSystemID
ID,名字,PaymentTableID,策划用字段，地区（0为中国，1是日本，2是港澳台，3为韩国，4为北美）,（策划用字段）应用平台，unity默认用1，1=aos，2=ios,界面类型（401充值）,图集,图标,推荐页签（填1时显示推荐标签）,排序（数值越小排序越高前）,是否生效（不填或0则该数据不适用，1则使用）,特殊功能识别
100001,75喵喵果实,100001,3,1,401,Shopping,UI_Shopping_Icon_01.png,,401,1,
100002,180喵喵果实,100002,3,1,401,Shopping,UI_Shopping_Icon_02.png,,402,1,
100003,370喵喵果实,100003,3,1,401,Shopping,UI_Shopping_Icon_03.png,,403,1,
100004,775喵喵果实,100004,3,1,401,Shopping,UI_Shopping_Icon_04.png,,404,1,
100005,1560喵喵果实,100005,3,1,401,Shopping,UI_Shopping_Icon_05.png,,405,1,
100006,3850喵喵果实,100006,3,1,401,Shopping,UI_Shopping_Icon_06.png,,406,1,
100100,75喵喵果实,100100,3,2,401,Shopping,UI_Shopping_Icon_01.png,,501,1,
100101,180喵喵果实,100101,3,2,401,Shopping,UI_Shopping_Icon_02.png,,502,1,
100102,370喵喵果实,100102,3,2,401,Shopping,UI_Shopping_Icon_03.png,,503,1,
100103,775喵喵果实,100103,3,2,401,Shopping,UI_Shopping_Icon_04.png,,504,1,
100104,1560喵喵果实,100104,3,2,401,Shopping,UI_Shopping_Icon_05.png,,505,1,
100105,3850喵喵果实,100105,3,2,401,Shopping,UI_Shopping_Icon_06.png,,506,1,
100400,75喵喵果实,100400,3,3,401,Shopping,UI_Shopping_Icon_01.png,,901,1,
100401,180喵喵果实,100401,3,3,401,Shopping,UI_Shopping_Icon_02.png,,902,1,
100402,370喵喵果实,100402,3,3,401,Shopping,UI_Shopping_Icon_03.png,,903,1,
100403,775喵喵果实,100403,3,3,401,Shopping,UI_Shopping_Icon_04.png,,904,1,
100404,1560喵喵果实,100404,3,3,401,Shopping,UI_Shopping_Icon_05.png,,905,1,
100405,3850喵喵果实,100405,3,3,401,Shopping,UI_Shopping_Icon_06.png,,906,1,
200000,75喵喵果实,200000,0,1,401,Shopping,UI_Shopping_Icon_01.png,,601,1,
200001,180喵喵果实,200001,0,1,401,Shopping,UI_Shopping_Icon_02.png,,602,1,
200002,370喵喵果实,200002,0,1,401,Shopping,UI_Shopping_Icon_03.png,,603,1,
200003,775喵喵果实,200003,0,1,401,Shopping,UI_Shopping_Icon_04.png,,604,1,
200004,1560喵喵果实,200004,0,1,401,Shopping,UI_Shopping_Icon_05.png,,605,1,
200005,3850喵喵果实,200005,0,1,401,Shopping,UI_Shopping_Icon_06.png,,606,1,
200100,75喵喵果实,200100,0,2,401,Shopping,UI_Shopping_Icon_01.png,,701,1,
200101,180喵喵果实,200101,0,2,401,Shopping,UI_Shopping_Icon_02.png,,702,1,
200102,370喵喵果实,200102,0,2,401,Shopping,UI_Shopping_Icon_03.png,,703,1,
200103,775喵喵果实,200103,0,2,401,Shopping,UI_Shopping_Icon_04.png,,704,1,
200104,1560喵喵果实,200104,0,2,401,Shopping,UI_Shopping_Icon_05.png,,705,1,
200105,3850喵喵果实,200105,0,2,401,Shopping,UI_Shopping_Icon_06.png,,706,1,
