ID,Comment,RecipeType,BaseRecipe,Stars,ResultID,FailureID,Stamina,Atlas,Icon,Name,DescShort,Desc,Ingredients,SkillLevelNeeded,QTE,AudioID
食谱ID,注释,食谱类型（6040.烹饪 6050.药剂 6060.甜品 6070.武器冶炼 6080.防具冶炼 6090.饰品冶炼 6110.烹饪组合 6120.制药组合）,基础食谱（现在只在烹饪组合和制药组合中使用）,星级（只在烹饪组合和制药组合中使用）,生成道成功时的AwardId,生产失败时的AwardId,消耗的元气值,icon图集,生产UI上显示的icon,生产UI上显示的名字,短描述（框架UI显示用）,生产UI上显示的描述文字,材料1的ID=材料1的个数|材料2的ID=材料2的个数,需要玩家的烹饪技能达到该等级才能烹饪该食谱（暂时用不到）,QTE的ID（0.没有QTE 1.火力时刻 2.搅拌时刻）=QTE的几率(10000代表100%),开始|QTE|成功|失败
8020301,力量药剂,6050,8020301,,7200010,7301530,120,Icon_ItemConsumables01,UI_icon_item_huoshuxingdikangyaoshui.png,力量药剂,提升力量,效果：力量+5，持续60分钟，持续时间可叠加,3051004=1|3051104=1|101=10000,,1=2000,13|14|15|16
8020311,智力药剂,6050,8020311,,7200020,7301540,120,Icon_ItemConsumables01,UI_icon_item_shuishuxingdikangyaoshui.png,智力药剂,提升智力,效果：智力+5，持续60分钟，持续时间可叠加,3051205=1|3051010=1|101=10000,,1=2000,13|14|15|16
8020321,敏捷药剂,6050,8020321,,7200030,7301550,120,Icon_ItemConsumables01,UI_icon_item_fengshuxingdikangyaoshui.png,敏捷药剂,提升敏捷,效果：敏捷+5，持续60分钟，持续时间可叠加,3051202=1|3051006=1|101=10000,,1=2000,13|14|15|16
8020331,灵巧药剂,6050,8020331,,7200040,7301560,120,Icon_ItemConsumables01,UI_icon_item_lingqiaoyaoshui.png,灵巧药剂,提升灵巧,效果：灵巧+5，持续60分钟，持续时间可叠加,3051206=1|3051008=1|101=10000,,1=2000,13|14|15|16
8020341,体质药剂,6050,8020341,,7200050,7301570,120,Icon_ItemConsumables01,UI_icon_item_dishuxingdikangyaoshui.png,体质药剂,提升体质,效果：体质+5，持续60分钟，持续时间可叠加,3051207=1|3051009=1|101=10000,,1=2000,13|14|15|16
8020351,幸运药剂,6050,8020351,,7200060,7301580,120,Icon_ItemConsumables01,UI_icon_item_xingyunyaoshui.png,幸运药剂,提升幸运,效果：幸运+5，持续60分钟，持续时间可叠加,3051104=1|3051010=1|101=10000,,1=2000,13|14|15|16
8020401,蒸蟹螯,6040,8020401,,7300010,7301440,120,Icon_ItemConsumables01,UI_icon_item_zhengpangxie.png,蒸蟹螯,单位时间内回复生命值和魔法值,效果：每10秒回复250生命值和50点魔法值，持续60分钟，持续时间可叠加,3051004=1|3051104=1|101=10000,,1=2000,13|14|15|16
8020411,口感爽滑的面,6040,8020411,,7300020,7301450,120,Icon_ItemConsumables02,UI_icon_item_zhangyuniangaotang.png,口感爽滑的面,提升近战物理伤害,效果：近战物理伤害+5%，持续60分钟，持续时间可叠加,3051207=1|3051008=1|101=10000,,1=2000,13|14|15|16
8020421,鲜虾汁,6040,8020421,,7300030,7301460,120,Icon_ItemConsumables01,UI_icon_item_liaolililiang.png,鲜虾汁,提升攻击速度,效果：攻速+5%，持续60分钟，持续时间可叠加,3051207=1|3051008=1|3051205=1|101=10000,,1=2000,13|14|15|16
