ID,ItemID,Type,,ServerLevel,Weight,RandomNumber,Reputation,Para,FunctionName
排序ID,道具ID,道具类型(1摆摊2商店),道具名称(策划用),服务器等级限制(注：为了提高性能，type为1时，不处理这列的逻辑),基础权重(在道具库存状态差不多的情况下，希望优先回收的道具，权重填大一点，无特殊需求的话全配成一样的就行),道具随机数量,单个道具声望奖励,修正系数(库存下限),修正函数名称，脚本在config\LuaGame\dynamic_recycle.lua
1,3040012,1,煤炭,30,100,1=5,0.00125,600,RealWeightCalc1
2,3040005,1,火灵原石,30,100,1=5,0.00125,120,RealWeightCalc1
3,3040006,1,水灵原石,30,100,1=5,0.00125,120,RealWeightCalc1
4,3040007,1,土灵原石,30,100,1=5,0.00125,120,RealWeightCalc1
5,3040008,1,风灵原石,30,100,1=5,0.00125,120,RealWeightCalc1
6,1290004,1,空瓶,30,100,1=3,0.00125,1500,RealWeightCalc1
7,1290014,1,杰勒比结晶,30,100,1=3,0.00125,1500,RealWeightCalc1
8,1290015,1,三叶幸运草,30,100,1=3,0.00125,1500,RealWeightCalc1
9,1290008,1,昆虫外壳,30,100,1=3,0.00125,1500,RealWeightCalc1
10,1290018,1,粘稠液体,30,100,1=3,0.00125,1500,RealWeightCalc1
11,1290011,1,坚硬外皮,30,100,1=3,0.00125,1500,RealWeightCalc1
12,1290013,1,苹果汁,30,100,1=3,0.00125,1500,RealWeightCalc1
13,1290017,1,动物外皮,30,100,1=3,0.00125,1500,RealWeightCalc1
14,1290016,1,柔毛,30,100,1=3,0.00125,1500,RealWeightCalc1
15,1290003,1,玛哪树枝,30,100,1=3,0.00125,1500,RealWeightCalc1
16,1290007,1,加勒结晶,30,100,1=3,0.00125,1500,RealWeightCalc1
17,1290010,1,死人遗骨,30,100,1=5,0.00125,1500,RealWeightCalc1
18,1290009,1,雪勒结晶,30,100,1=5,0.00125,1500,RealWeightCalc1
19,1290012,1,剎勒空结晶,30,100,1=5,0.00125,1500,RealWeightCalc1
20,1290054,1,珊瑚,30,100,1=5,0.00125,1500,RealWeightCalc1
21,1290001,1,腐烂绷带,30,100,1=5,0.00125,1500,RealWeightCalc1
22,1290005,1,亡者遗物,30,100,1=5,0.00125,1500,RealWeightCalc1
23,1290042,1,酒精,30,100,1=1,0.00125,1200,RealWeightCalc1
24,1280004,1,玻璃珠,30,100,1=1,0.00125,1200,RealWeightCalc1
25,1280007,1,光粒,30,100,1=3,0.00125,1200,RealWeightCalc1
26,1280011,1,慧眼,30,100,1=3,0.00125,1200,RealWeightCalc1
27,1280002,1,布里刊,30,100,1=3,0.00125,1200,RealWeightCalc1
28,1290002,1,黄玉碎片,30,100,1=3,0.00125,1200,RealWeightCalc1
29,1290006,1,赛依伐,30,100,1=3,0.00125,1200,RealWeightCalc1
30,1290043,1,蜂蜜,30,100,1=3,0.00125,1200,RealWeightCalc1
31,1280008,1,巨大杰勒比结晶,30,100,1=3,0.00125,1200,RealWeightCalc1
32,1290053,1,透明之布,30,100,1=3,0.00125,1200,RealWeightCalc1
33,1290058,1,羽毛,30,100,1=3,0.00125,1200,RealWeightCalc1
34,1290062,1,破旧书页,30,100,1=3,0.00125,1200,RealWeightCalc1
35,1290057,1,植物梗,30,100,1=5,0.00125,1200,RealWeightCalc1
36,1290059,1,硬角,30,100,1=5,0.00125,1200,RealWeightCalc1
37,1290061,1,锐利鳞片,30,100,1=5,0.00125,1200,RealWeightCalc1
38,1290056,1,巨大雪勒结晶,30,100,1=5,0.00125,1200,RealWeightCalc1
39,1290060,1,石心,30,100,1=5,0.00125,1200,RealWeightCalc1
40,1290036,1,大嘴鸟之羽,30,100,1=1,0.00125,120,RealWeightCalc1
41,1290041,1,柔软的羽毛,30,100,1=1,0.00125,120,RealWeightCalc1
42,3090006,1,青绿宝石,30,100,1=3,0.00125,120,RealWeightCalc1
43,3090001,1,白宝石,30,100,1=3,0.00125,120,RealWeightCalc1
44,1270008,1,小恶魔翅膀,30,100,1=3,0.00125,120,RealWeightCalc1
45,1270007,1,欧拉欧拉,30,100,1=3,0.00125,120,RealWeightCalc1
46,1290037,1,怀表,30,100,1=3,0.00125,120,RealWeightCalc1
47,1290039,1,蜜饯香蕉,30,100,1=3,0.00125,120,RealWeightCalc1
48,1290029,1,蜂胶,30,100,1=3,0.00125,120,RealWeightCalc1
49,1290031,1,围兜兜,30,100,1=3,0.00125,120,RealWeightCalc1
50,1280010,1,诅咒红宝石,30,100,1=3,0.00125,120,RealWeightCalc1
51,1270003,1,紫宝石,30,100,1=3,0.00125,120,RealWeightCalc1
52,1270009,1,永恒玫瑰,30,100,1=5,0.00125,120,RealWeightCalc1
53,3090004,1,黄宝石,30,100,1=5,0.00125,120,RealWeightCalc1
54,1280006,1,兽人战士之证,30,100,1=5,0.00125,120,RealWeightCalc1
55,3090008,1,天蓝宝石,30,100,1=5,0.00125,120,RealWeightCalc1
56,1290030,1,发亮鳞片,30,100,1=5,0.00125,120,RealWeightCalc1
57,3090002,1,绿宝石,30,100,1=1,0.00125,120,RealWeightCalc1
58,1280005,1,黑猫娃娃,30,100,1=1,0.00125,120,RealWeightCalc1
59,1290035,1,恶魔角,30,100,1=3,0.00125,120,RealWeightCalc1
60,1280001,1,神之手,30,100,1=3,0.00125,120,RealWeightCalc1
61,3078011,1,力量药剂1星,30,100,1=10,0.00125,120,RealWeightCalc1
62,3078014,1,智力药剂1星,30,100,1=3,0.00125,120,RealWeightCalc1
63,3078017,1,敏捷药剂1星,30,100,1=3,0.00125,120,RealWeightCalc1
64,3078020,1,灵巧药剂1星,30,100,1=3,0.00125,120,RealWeightCalc1
65,3078023,1,体质药剂1星,30,100,1=3,0.00125,120,RealWeightCalc1
66,3078026,1,幸运药剂1星,30,100,1=3,0.00125,120,RealWeightCalc1
67,3054001,1,蒸蟹螯1星,30,100,1=10,0.00125,120,RealWeightCalc1
68,3054101,1,口感爽滑的面1星,30,100,1=10,0.00125,120,RealWeightCalc1
69,3054201,1,鲜虾汁1星,30,100,1=10,0.00125,120,RealWeightCalc1
70,3054301,1,什锦饭团1星,30,100,1=10,0.00125,120,RealWeightCalc1
71,3054401,1,热炒蛤蜊1星,30,100,1=10,0.00125,120,RealWeightCalc1
72,3054501,1,蟹肉棒1星,30,100,1=10,0.00125,120,RealWeightCalc1
73,3054601,1,金枪鱼串烧1星,30,100,1=10,0.00125,120,RealWeightCalc1
74,3054701,1,鱼子酱1星,30,100,1=10,0.00125,120,RealWeightCalc1
75,3054801,1,鲜贝粥1星,30,100,1=10,0.00125,120,RealWeightCalc1
76,10000001,2,手杖,30,100,1=3,0.00125,1,RealWeightCalc1
77,10000002,2,生存魔杖,30,100,1=3,0.00125,1,RealWeightCalc1
78,10000003,2,P.Ⅰ魔杖,30,100,1=3,0.00125,1,RealWeightCalc1
79,11000001,2,木锤,30,100,1=3,0.00125,1,RealWeightCalc1
80,11000002,2,铁锤,30,100,1=3,0.00125,1,RealWeightCalc1
81,11000003,2,恩麦斯铁锤,30,100,1=3,0.00125,1,RealWeightCalc1
82,12000001,2,斧,30,100,1=3,0.00125,1,RealWeightCalc1
83,12000002,2,双手斧,30,100,1=3,0.00125,1,RealWeightCalc1
84,12000003,2,强化双手斧,30,100,1=3,0.00125,1,RealWeightCalc1
85,20000002,2,铁盾,30,100,1=3,0.00125,1,RealWeightCalc1
86,20000003,2,圆盾,30,100,1=3,0.00125,1,RealWeightCalc1
87,21000002,2,冒险衣,30,100,1=3,0.00125,1,RealWeightCalc1
88,21000003,2,长大衣,30,100,1=3,0.00125,1,RealWeightCalc1
89,22000002,2,斗篷,30,100,1=3,0.00125,1,RealWeightCalc1
90,22000003,2,披肩,30,100,1=3,0.00125,1,RealWeightCalc1
91,23000002,2,长靴,30,100,1=3,0.00125,1,RealWeightCalc1
92,23000003,2,战士长靴,30,100,1=3,0.00125,1,RealWeightCalc1
93,5000001,2,短剑,30,100,1=3,0.00125,1,RealWeightCalc1
94,5000002,2,大驹短剑,30,100,1=3,0.00125,1,RealWeightCalc1
95,5000003,2,P-短剑,30,100,1=3,0.00125,1,RealWeightCalc1
96,6000003,2,拳刃,30,100,1=3,0.00125,1,RealWeightCalc1
97,7000001,2,长剑,30,100,1=3,0.00125,1,RealWeightCalc1
98,7000002,2,弯刀,30,100,1=3,0.00125,1,RealWeightCalc1
99,7000003,2,厚刃剑,30,100,1=3,0.00125,1,RealWeightCalc1
100,8000003,2,长矛,30,100,1=3,0.00125,1,RealWeightCalc1
101,9000001,2,弓,30,100,1=3,0.00125,1,RealWeightCalc1
102,9000002,2,强化弓,30,100,1=3,0.00125,1,RealWeightCalc1
103,9000003,2,坎普兹弓,30,100,1=3,0.00125,1,RealWeightCalc1
104,1290063,1,冰碎块,30,100,1=3,0.00125,1200,RealWeightCalc1
105,1290064,1,冰结晶,30,100,1=3,0.00125,1200,RealWeightCalc1
106,1290065,1,熊掌,30,100,1=3,0.00125,1200,RealWeightCalc1
107,1290066,1,螳螂臂,30,100,1=3,0.00125,1200,RealWeightCalc1
108,1290067,1,人鱼鳞片,30,100,1=3,0.00125,1200,RealWeightCalc1
109,1290068,1,背鳍,30,100,1=3,0.00125,1200,RealWeightCalc1
110,1290069,1,葡萄,30,100,1=3,0.00125,1500,RealWeightCalc1
111,1290070,1,苹果,30,100,1=3,0.00125,1500,RealWeightCalc1
112,1290071,1,人鱼之牙,30,100,1=3,0.00125,120,RealWeightCalc1
113,1290072,1,年老的树枝,30,100,1=3,0.00125,120,RealWeightCalc1
114,1290077,1,回忆书签,30,100,1=3,0.00125,120,RealWeightCalc1
115,1290078,1,红色相框,30,100,1=3,0.00125,120,RealWeightCalc1
116,1290079,1,老旧汤匙,30,100,1=3,0.00125,1200,RealWeightCalc1
117,1290080,1,行刑者手套,30,100,1=3,0.00125,1200,RealWeightCalc1
118,1290081,1,白云母,30,100,1=3,0.00125,1200,RealWeightCalc1
119,1290082,1,黑云母,30,100,1=3,0.00125,1200,RealWeightCalc1
120,1290083,1,红色领巾,30,100,1=3,0.00125,1500,RealWeightCalc1
121,1290084,1,圆形外皮,30,100,1=3,0.00125,1500,RealWeightCalc1
122,1290085,1,红色蜡烛,30,100,1=3,0.00125,1500,RealWeightCalc1
123,1290090,1,魔女之星沙,30,100,1=3,0.00125,120,RealWeightCalc1
124,1290091,1,老旧魔法图,30,100,1=3,0.00125,120,RealWeightCalc1
125,1290092,1,红色流苏,30,100,1=3,0.00125,1200,RealWeightCalc1
126,1290093,1,结实的藤,30,100,1=3,0.00125,1200,RealWeightCalc1
127,1290094,1,西纳雷叶子,30,100,1=3,0.00125,1200,RealWeightCalc1
128,1290095,1,冰块一角,30,100,1=3,0.00125,1500,RealWeightCalc1
129,1290096,1,青苹果,30,100,1=3,0.00125,1500,RealWeightCalc1
130,1290097,1,柠檬,30,100,1=3,0.00125,1500,RealWeightCalc1
131,1290101,1,触须,30,100,1=3,0.00125,1500,RealWeightCalc1
132,1290102,1,菠萝,30,100,1=3,0.00125,1500,RealWeightCalc1
133,1290103,1,甜瓜,30,100,1=3,0.00125,1500,RealWeightCalc1
134,1290098,1,蛤蜊肉,30,100,1=3,0.00125,1200,RealWeightCalc1
135,1290099,1,蛤蜊外壳,30,100,1=3,0.00125,1200,RealWeightCalc1
136,1290100,1,螃蟹外壳,30,100,1=3,0.00125,1200,RealWeightCalc1
137,1290104,1,辉石,30,100,1=3,0.00125,120,RealWeightCalc1
138,1290115,1,昆虫的尾巴,30,100,1=3,0.00125,1500,RealWeightCalc1
139,1290116,1,昆虫的长腿 ,30,100,1=3,0.00125,1500,RealWeightCalc1
