Id,RefineLv,WeaponConsume,OtherConsume,PerfectConsume,ReduceLv,Experience,SealConsume,EquipId,SameLvConsume
Id,精炼等级,精炼转移消耗,非武器消耗（废弃）,完美转移额外消耗（用转移目标装备的副ID减去转移装备的副ID，结果是几就从当前精炼等级向下数几位，消耗为这些精炼等级消耗之合）,降低等级,本级升到下级所需解封经验 ,解封材料id=数量=对应材料总解封经验,装备类型（对应equip表的精炼类型）,相同装备等级转移消耗读取该字段（当装备等级相同时，不走完美转移的逻辑）
1,1,101=10000,101=10000,0,0,0,3020010=1=1,1,
2,2,101=10000,101=10000,0,0,0,,1,
3,3,101=10000,101=10000,0,0,0,,1,
4,4,101=10000,101=10000,0,0,0,,1,
5,5,101=10000,101=10000,0,0,0,,1,
6,6,3020007=1|101=10000,3020007=1|101=10000,0,0,0,,1,
7,7,3020007=2|101=10000,3020007=2|101=10000,0,0,0,,1,
8,8,3020007=3|101=10000,3020007=3|101=10000,0,0,0,,1,
9,9,3020007=5|101=10000,3020007=5|101=10000,3020010=1,1,1,3020010=1=1,1,
10,10,3020007=6|101=10000,3020007=6|101=10000,3020010=3,1,3,3020010=1=1,1,
11,11,3020007=14|101=10000,3020007=14|101=10000,3020010=5,1,5,3020010=1=1,1,
12,12,3020007=16|101=10000,3020007=16|101=10000,3020010=10,1,10,3020010=1=1,1,
13,13,3020007=16|101=10000,3020007=16|101=10000,3020010=15,1,15,3020010=1=1,1,
14,14,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,1,
15,15,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,1,
16,16,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,1,
17,17,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,1,
18,18,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,1,
19,19,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,1,
20,20,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,1,
21,1,101=10000,101=10000,0,0,0,3020010=1=1,2,
22,2,101=10000,101=10000,0,0,0,,2,
23,3,101=10000,101=10000,0,0,0,,2,
24,4,101=10000,101=10000,0,0,0,,2,
25,5,101=10000,101=10000,0,0,0,,2,
26,6,3020007=1|101=10000,3020007=1|101=10000,0,0,0,,2,
27,7,3020007=2|101=10000,3020007=2|101=10000,0,0,0,,2,
28,8,3020007=3|101=10000,3020007=3|101=10000,0,0,0,,2,
29,9,3020007=5|101=10000,3020007=5|101=10000,3020010=1,1,1,3020010=1=1,2,
30,10,3020007=6|101=10000,3020007=6|101=10000,3020010=3,1,3,3020010=1=1,2,
31,11,3020007=14|101=10000,3020007=14|101=10000,3020010=5,1,5,3020010=1=1,2,
32,12,3020007=16|101=10000,3020007=16|101=10000,3020010=10,1,10,3020010=1=1,2,
33,13,3020007=16|101=10000,3020007=16|101=10000,3020010=15,1,15,3020010=1=1,2,
34,14,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,2,
35,15,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,2,
36,16,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,2,
37,17,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,2,
38,18,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,2,
39,19,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,2,
40,20,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,2,
41,1,101=10000,101=10000,0,0,0,3020010=1=1,3,
42,2,101=10000,101=10000,0,0,0,,3,
43,3,101=10000,101=10000,0,0,0,,3,
44,4,101=10000,101=10000,0,0,0,,3,
45,5,101=10000,101=10000,0,0,0,,3,
46,6,3020007=1|101=10000,3020007=1|101=10000,0,0,0,,3,
47,7,3020007=2|101=10000,3020007=2|101=10000,0,0,0,,3,
48,8,3020007=3|101=10000,3020007=3|101=10000,0,0,0,,3,
49,9,3020007=5|101=10000,3020007=5|101=10000,3020010=1,1,1,3020010=1=1,3,
50,10,3020007=6|101=10000,3020007=6|101=10000,3020010=3,1,3,3020010=1=1,3,
51,11,3020007=14|101=10000,3020007=14|101=10000,3020010=5,1,5,3020010=1=1,3,
52,12,3020007=16|101=10000,3020007=16|101=10000,3020010=10,1,10,3020010=1=1,3,
53,13,3020007=16|101=10000,3020007=16|101=10000,3020010=15,1,15,3020010=1=1,3,
54,14,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,3,
55,15,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,3,
56,16,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,3,
57,17,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,3,
58,18,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,3,
59,19,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,3,
60,20,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,3,
61,1,101=10000,101=10000,0,0,0,3020010=1=1,4,
62,2,101=10000,101=10000,0,0,0,,4,
63,3,101=10000,101=10000,0,0,0,,4,
64,4,101=10000,101=10000,0,0,0,,4,
65,5,101=10000,101=10000,0,0,0,,4,
66,6,3020007=1|101=10000,3020007=1|101=10000,0,0,0,,4,
67,7,3020007=2|101=10000,3020007=2|101=10000,0,0,0,,4,
68,8,3020007=3|101=10000,3020007=3|101=10000,0,0,0,,4,
69,9,3020007=5|101=10000,3020007=5|101=10000,3020010=1,1,1,3020010=1=1,4,
70,10,3020007=6|101=10000,3020007=6|101=10000,3020010=3,1,3,3020010=1=1,4,
71,11,3020007=14|101=10000,3020007=14|101=10000,3020010=5,1,5,3020010=1=1,4,
72,12,3020007=16|101=10000,3020007=16|101=10000,3020010=10,1,10,3020010=1=1,4,
73,13,3020007=16|101=10000,3020007=16|101=10000,3020010=15,1,15,3020010=1=1,4,
74,14,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,4,
75,15,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,4,
76,16,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,4,
77,17,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,4,
78,18,3020007=16|101=10000,3020007=16|101=10000,3020010=20,1,20,3020010=1=1,4,
