ReturnTaskID,ReturnTaskLevel,ReturnTaskContent,RuturnTaskParameter,RuturnTaskFunction,RuturnTaskAward,ReturnTaskType
回归任务id,回归任务最低接取等级限制,回归任务内容,任务内容参数,任务内容功能（1委托点数 2参与MVP 3消耗zeny 4装备精炼 5公会频道发言 6建设绵绵岛 7共同完成主题副本 8好友度 9共同参与mvp 10共同参与双人烹饪 11赠送头饰材料 12完成所有招募和活跃任务）,奖励（Awardid）,回归任务类型（0回归任务1回归招募双人任务2回归招募活跃奖励）
1,55,委托点数消耗,20,1,6370100,0
2,55,参与MVP,1,2,6370110,0
3,55,消耗Zeny,2000,3,6370120,0
4,55,装备精炼,1,4,6370130,0
5,55,公会频道发言,5,5,6370140,0
6,55,建设绵绵岛,1,6,6370150,0
7,55,委托点数消耗,60,1,4350122,2
8,55,委托点数消耗,120,1,4350123,2
9,55,委托点数消耗,200,1,4350124,2
10,55,委托点数消耗,300,1,4350125,2
11,55,委托点数消耗,450,1,4350126,2
12,55,委托点数消耗,600,1,4350127,2
13,55,共同完成赫尔海姆扰动副本,6,7,4350128,1
14,55,好友度达到,150,8,4350129,1
15,55,共同参与MVP,5,9,4350130,1
17,55,互相赠送材料数量,50,11,4350131,1
18,55,完成所有招募任务和活跃奖励任务,1,12,4350132,1
