Id,Level,SystemId,SystemName,Atlas,Icon,GuideName,Type,TargetLevel,Parameter,Describe,Score,HighScore,Function,FunctionParameter,DisplayInRecommend
Id,等级区间,功能ID,功能名称,功能Icon图集,功能Icon,功能引导名，用于快捷提升界面显示按钮名称,功能条件类型,目标等级：默认值0，如果配了值，则不满足目标等级的一律0分,类型参数,功能描述,阶段总分,高模阶段总分,调用函数,函数参数,是否显示在养成推荐(o:显示，1：不显示）
1,1=30,143,属性加点,Icon02,UI_Icon_Juesejiadian.png,推荐：属性加点,7,6,1=30=2500|30=40=2000|40=50=400|50=60=1500|60=70=300|70=80=50|80=90=50|90=100=50,素质点要及时分配哦,75000,75000,,,0
2,1=30,102,技能加点,Icon01,UI_Icon_Tujian.png,推荐：技能加点,6,3,1=30=2000|30=40=100|40=50=300|50=60=100|60=70=100,技能点要及时分配哦,60000,60000,,,0
3,1=30,3094,武器锻造,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：武器锻造,16,15,1=30=8000|30=40=16000|40=50=24000|50=60=32000|60=70=40000|70=80=48000|80=90=60000|90=100=72000,锻造并装备1把15级武器,8000,8000,,1,0
4,1=30,10804,装备插卡,Icon01,UI_Icon_Kapian.png,推荐：装备插卡,4,1,1=240|2=300|3=360|4=420,全身装备插1张绿卡,240,240,,1|2|3|4|5|6,0
5,1=30,122,佣兵招募,Icon02,UI_Icon_Yongbingxuanze.png,推荐：佣兵招募,11,0,1=200,招募1个佣兵出战,200,200,,,0
6,1=30,122,佣兵升级,Icon02,UI_Icon_Yongbingxuanze.png,推荐：佣兵升级,12,0,1=30=5|30=40=5|40=50=5,出战佣兵升级至当前上限,150,150,,,0
7,1=30,122,佣兵装备,Icon02,UI_Icon_Yongbingxuanze.png,推荐：佣兵装备,13,0,1=30=1|30=40=1|40=50=1,出战佣兵装备升级至当前上限,150,150,,,0
8,30=40,3094,武器锻造,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：武器锻造,16,30,1=30=8000|30=40=16000|40=50=24000|50=60=32000|60=70=40000|70=80=48000|80=90=60000|90=100=72000,锻造并装备1把30级武器,16000,16000,,1,0
9,30=40,143,属性加点,Icon02,UI_Icon_Juesejiadian.png,推荐：属性加点,7,10,1=30=2500|30=40=2000|40=50=400|50=60=1500|60=70=300|70=80=50|80=90=50|90=100=50,素质点要及时分配哦,20000,20000,,,0
10,30=40,10802,装备精炼,Icon02,UI_Icon_Zhuangbeijinglian.png,推荐：装备精炼,2,2,1=200|2=300|3=500|4=1000|5=1200|6=1500|7=5000|8=9000|9=10000|10=11000|11=12000|12=13000|13=14000|14=15000|15=16000,全身装备精炼+2,2100,3500,,1|2|3|4|5|6,0
11,30=40,102,技能加点,Icon01,UI_Icon_Tujian.png,推荐：技能加点,6,5,1=30=2000|30=40=100|40=50=300|50=60=100|60=70=100,技能点要及时分配哦,1000,1000,,,0
12,30=40,10804,装备插卡,Icon01,UI_Icon_Kapian.png,推荐：装备插卡,4,1,1=350|2=400|3=500|4=600,全身装备插2张绿卡,700,750,,1|2|3|4|5|6,0
13,30=40,122,佣兵升级,Icon02,UI_Icon_Yongbingxuanze.png,推荐：佣兵升级,12,0,1=30=10|30=40=10|40=50=10,出战佣兵升级至当前上限,200,200,,,0
14,30=40,122,佣兵装备,Icon02,UI_Icon_Yongbingxuanze.png,推荐：佣兵装备,13,0,1=30=1|30=40=1|40=50=1,出战佣兵装备升级至当前上限,100,100,,,0
15,40=50,3094,武器锻造,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：武器锻造,16,40,1=30=8000|30=40=16000|40=50=24000|50=60=32000|60=70=40000|70=80=48000|80=90=60000|90=100=72000,锻造并装备1把40级武器,24000,24000,,1,0
16,40=50,115,勋章系统,Icon02,UI_Icon_Xunzhangbeiyang.png,推荐：勋章升级,8,2,1=1000|2=1500|3=2000|4=2100|5=2200|6=2500|7=2600|8=2700|9=2800|10=2900|11=3000|12=3100|13=3200|14=3300|15=3400|16=5000|17=5100|18=5200|19=5300|20=5400|21=5500|22=6000|23=6100|24=6200|25=6300|26=6400|27=6500|28=6600|29=6700|30=6800|31=6900|32=7000|33=7100|34=7200|35=7300|36=7400|37=7500|38=7600|39=7700|40=7800,升级6个勋章至2级,9000,12000,,,0
17,40=50,10802,装备精炼,Icon02,UI_Icon_Zhuangbeijinglian.png,推荐：装备精炼,2,3,1=200|2=300|3=500|4=1000|5=1200|6=1500|7=5000|8=9000|9=10000|10=11000|11=12000|12=13000|13=14000|14=15000|15=16000,全身装备精炼+3,3500,8400,,1|2|3|4|5|6,0
18,40=50,143,属性加点,Icon02,UI_Icon_Juesejiadian.png,推荐：属性加点,7,10,1=30=2500|30=40=2000|40=50=400|50=60=1500|60=70=300|70=80=50|80=90=50|90=100=50,素质点要及时分配哦,4000,4000,,,0
19,40=50,102,技能加点,Icon01,UI_Icon_Tujian.png,推荐：技能加点,6,5,1=30=2000|30=40=100|40=50=300|50=60=100|60=70=100,技能点要及时分配哦,3000,3000,,,0
20,40=50,10804,装备插卡,Icon01,UI_Icon_Kapian.png,推荐：装备插卡,4,1,1=350|2=400|3=500|4=600,全身装备插4张绿卡,1400,1600,,1|2|3|4|5|6,0
21,40=50,122,佣兵升级,Icon02,UI_Icon_Yongbingxuanze.png,推荐：佣兵升级,12,0,1=30=10|30=40=10|40=50=10,出战佣兵升级至当前上限,200,200,,,0
22,40=50,122,佣兵装备,Icon02,UI_Icon_Yongbingxuanze.png,推荐：佣兵装备,13,0,1=30=1|30=40=1|40=50=1,出战佣兵装备升级至当前上限,100,100,,,0
23,50=60,3094,武器锻造,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：武器锻造,16,50,1=30=8000|30=40=16000|40=50=24000|50=60=32000|60=70=40000|70=80=48000|80=90=60000|90=100=72000,锻造并装备1把50级武器,32000,32000,,1,0
24,50=60,143,属性加点,Icon02,UI_Icon_Juesejiadian.png,推荐：属性加点,7,10,1=30=2500|30=40=2000|40=50=400|50=60=1500|60=70=300|70=80=50|80=90=50|90=100=50,素质点要及时分配哦,15000,15000,,,0
25,50=60,115,勋章系统,Icon02,UI_Icon_Xunzhangbeiyang.png,推荐：勋章升级,8,4,1=1000|2=1500|3=2000|4=2100|5=2200|6=2500|7=2600|8=2700|9=2800|10=2900|11=3000|12=3100|13=3200|14=3300|15=3400|16=5000|17=5100|18=5200|19=5300|20=5400|21=5500|22=6000|23=6100|24=6200|25=6300|26=6400|27=6500|28=6600|29=6700|30=6800|31=6900|32=7000|33=7100|34=7200|35=7300|36=7400|37=7500|38=7600|39=7700|40=7800,升级6个勋章至4级,12600,15000,,,0
26,50=60,10802,装备精炼,Icon02,UI_Icon_Zhuangbeijinglian.png,推荐：装备精炼,2,5,1=200|2=300|3=500|4=1000|5=1200|6=1500|7=5000|8=9000|9=10000|10=11000|11=12000|12=13000|13=14000|14=15000|15=16000,全身装备精炼+5,8400,35000,,1|2|3|4|5|6,0
27,50=60,10804,装备插卡,Icon01,UI_Icon_Kapian.png,推荐：装备插卡,4,1,1=350|2=400|3=500|4=600,全身装备插7张绿卡,2450,2800,,1|2|3|4|5|6,0
28,50=60,102,技能加点,Icon01,UI_Icon_Tujian.png,推荐：技能加点,6,5,1=30=2000|30=40=100|40=50=300|50=60=100|60=70=100,技能点要及时分配哦,1000,1000,,,0
29,60=70,3094,武器锻造,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：武器锻造,16,60,1=30=8000|30=40=16000|40=50=24000|50=60=32000|60=70=40000|70=80=48000|80=90=60000|90=100=72000,锻造并装备1把60级武器,40000,40000,,1,0
30,60=70,9006,载具升级,Icon02,UI_Icon_Zaiju.png,推荐：载具升级,9,0,1=15000|2=17000|3=19000|4=21000|5=23000|6=25000|7=30000|8=31000|9=32000|10=33000|11=34000|12=35000|13=36000|14=37000|15=38000|16=39000|17=55000|18=56000|19=57000|20=58000|21=59000|22=60000|23=61000|24=62000|25=63000|26=64000|27=65000|28=66000|29=67000|30=68000|31=69000|32=70000|33=71000|34=72000|35=73000|36=74000|37=75000|38=76000|39=77000|40=78000,载具升级至6级,25000,32000,,,1
31,60=70,115,勋章系统,Icon02,UI_Icon_Xunzhangbeiyang.png,推荐：勋章升级,8,7,1=1000|2=1500|3=2000|4=2100|5=2200|6=2500|7=2600|8=2700|9=2800|10=2900|11=3000|12=3100|13=3200|14=3300|15=3400|16=5000|17=5100|18=5200|19=5300|20=5400|21=5500|22=6000|23=6100|24=6200|25=6300|26=6400|27=6500|28=6600|29=6700|30=6800|31=6900|32=7000|33=7100|34=7200|35=7300|36=7400|37=7500|38=7600|39=7700|40=7800,升级6个勋章至7级,15600,17400,,,0
32,60=70,9009,载具性格,Icon02,UI_Icon_Zaiju.png,推荐：载具性格,10,0,1=200|2=200|3=200|4=200|5=200,载具5个性格值培养至10,10000,18000,,,0
33,60=70,10802,装备精炼,Icon02,UI_Icon_Zhuangbeijinglian.png,推荐：装备精炼,2,6,1=200|2=300|3=500|4=1000|5=1200|6=1500|7=5000|8=9000|9=10000|10=11000|11=12000|12=13000|13=14000|14=15000|15=16000,全身装备精炼+6,10500,42000,,1|2|3|4|5|6,0
34,60=70,143,属性加点,Icon02,UI_Icon_Juesejiadian.png,推荐：属性加点,7,10,1=30=2500|30=40=2000|40=50=400|50=60=1500|60=70=300|70=80=50|80=90=50|90=100=50,素质点要及时分配哦,3000,3000,,,0
35,60=70,10804,装备插卡,Icon01,UI_Icon_Kapian.png,推荐：装备插卡,4,2,1=350|2=400|3=500|4=600,全身装备插3张蓝卡,1200,3200,,1|2|3|4|5|6,0
36,60=70,102,技能加点,Icon01,UI_Icon_Tujian.png,推荐：技能加点,6,10,1=30=2000|30=40=100|40=50=300|50=60=100|60=70=100,技能点要及时分配哦,1000,1000,,,0
37,70=80,3094,武器锻造,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：武器锻造,16,70,1=30=8000|30=40=16000|40=50=24000|50=60=32000|60=70=40000|70=80=48000|80=90=60000|90=100=72000,锻造并装备1把70级武器,48000,48000,,1,0
38,70=80,9006,载具升级,Icon02,UI_Icon_Zaiju.png,推荐：载具升级,9,0,1=15000|2=17000|3=19000|4=21000|5=23000|6=25000|7=30000|8=31000|9=32000|10=33000|11=34000|12=35000|13=36000|14=37000|15=38000|16=39000|17=55000|18=56000|19=57000|20=58000|21=59000|22=60000|23=61000|24=62000|25=63000|26=64000|27=65000|28=66000|29=67000|30=68000|31=69000|32=70000|33=71000|34=72000|35=73000|36=74000|37=75000|38=76000|39=77000|40=78000,载具升级至12级,35000,38000,,,0
39,70=80,10803,装备附魔,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：装备附魔,3,1,1=5500|2=8000|3=10000|4=15000|5=20000|6=25000,全身7个部位装备附魔蓝色属性,38500,56000,,1|2|3|4|5|6,0
40,70=80,115,勋章系统,Icon02,UI_Icon_Xunzhangbeiyang.png,推荐：勋章升级,8,11,1=1000|2=1500|3=2000|4=2100|5=2200|6=2500|7=2600|8=2700|9=2800|10=2900|11=3000|12=3100|13=3200|14=3300|15=3400|16=5000|17=5100|18=5200|19=5300|20=5400|21=5500|22=6000|23=6100|24=6200|25=6300|26=6400|27=6500|28=6600|29=6700|30=6800|31=6900|32=7000|33=7100|34=7200|35=7300|36=7400|37=7500|38=7600|39=7700|40=7800,升级6个勋章至11级,18000,20400,,,0
41,70=80,10802,装备精炼,Icon02,UI_Icon_Zhuangbeijinglian.png,推荐：装备精炼,2,7,1=200|2=300|3=500|4=1000|5=1200|6=1500|7=5000|8=9000|9=10000|10=11000|11=12000|12=13000|13=14000|14=15000|15=16000,全身装备精炼+7,35000,70000,,1|2|3|4|5|6,0
42,70=80,9009,载具性格,Icon02,UI_Icon_Zaiju.png,推荐：载具性格,10,0,1=200|2=200|3=200|4=200|5=200,载具5个性格值培养至20,20000,30000,,,0
43,70=80,10804,装备插卡,Icon01,UI_Icon_Kapian.png,推荐：装备插卡,4,2,1=350|2=400|3=500|4=600,全身装备插5张蓝卡,2000,3900,,1|2|3|4|5|6,0
44,70=80,143,属性加点,Icon02,UI_Icon_Juesejiadian.png,推荐：属性加点,7,10,1=30=2500|30=40=2000|40=50=400|50=60=1500|60=70=300|70=80=50|80=90=50|90=100=50,素质点要及时分配哦,500,500,,,0
45,80=90,3094,武器锻造,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：武器锻造,16,80,1=30=8000|30=40=16000|40=50=24000|50=60=32000|60=70=40000|70=80=48000|80=90=60000|90=100=72000,锻造并装备1把80级武器,60000,60000,,1,0
46,80=90,9006,载具升级,Icon02,UI_Icon_Zaiju.png,推荐：载具升级,9,0,1=15000|2=17000|3=19000|4=21000|5=23000|6=25000|7=30000|8=31000|9=32000|10=33000|11=34000|12=35000|13=36000|14=37000|15=38000|16=39000|17=55000|18=56000|19=57000|20=58000|21=59000|22=60000|23=61000|24=62000|25=63000|26=64000|27=65000|28=66000|29=67000|30=68000|31=69000|32=70000|33=71000|34=72000|35=73000|36=74000|37=75000|38=76000|39=77000|40=78000,载具升级至18级,56000,59000,,,0
47,80=90,10803,装备附魔,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：装备附魔,3,2,1=5500|2=6000|3=10000|4=15000|5=20000|6=25000,全身7个部位附魔紫色属性,42000,140000,,1|2|3|4|5|6,0
48,80=90,115,勋章系统,Icon02,UI_Icon_Xunzhangbeiyang.png,推荐：勋章升级,8,16,1=1000|2=1500|3=2000|4=2100|5=2200|6=2500|7=2600|8=2700|9=2800|10=2900|11=3000|12=3100|13=3200|14=3300|15=3400|16=5000|17=5100|18=5200|19=5300|20=5400|21=5500|22=6000|23=6100|24=6200|25=6300|26=6400|27=6500|28=6600|29=6700|30=6800|31=6900|32=7000|33=7100|34=7200|35=7300|36=7400|37=7500|38=7600|39=7700|40=7800,升级6个勋章至16级,30000,36600,,,0
49,80=90,10802,装备精炼,Icon02,UI_Icon_Zhuangbeijinglian.png,推荐：装备精炼,2,8,1=200|2=300|3=500|4=1000|5=1200|6=1500|7=5000|8=9000|9=10000|10=11000|11=12000|12=13000|13=14000|14=15000|15=16000,全身装备精炼+8,63000,84000,,1|2|3|4|5|6,0
50,80=90,9009,载具性格,Icon02,UI_Icon_Zaiju.png,推荐：载具性格,10,0,1=200|2=200|3=200|4=200|5=200,载具5个性格值培养至40,23000,46000,,,0
51,80=90,10804,装备插卡,Icon01,UI_Icon_Kapian.png,推荐：装备插卡,4,2,1=3500|2=4000|3=5000|4=6000,全身装备插6张蓝卡,24000,45000,,1|2|3|4|5|6,0
52,80=90,143,属性加点,Icon02,UI_Icon_Juesejiadian.png,推荐：属性加点,7,10,1=30=2500|30=40=2000|40=50=400|50=60=1500|60=70=300|70=80=50|80=90=50|90=100=50,素质点要及时分配哦,500,500,,,0
53,90=100,3094,武器锻造,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：武器锻造,16,90,1=30=8000|30=40=16000|40=50=24000|50=60=32000|60=70=40000|70=80=48000|80=90=60000|90=100=72000,锻造并装备1把90级武器,72000,72000,,1,0
54,90=100,9006,载具升级,Icon02,UI_Icon_Zaiju.png,推荐：载具升级,9,0,1=15000|2=17000|3=19000|4=21000|5=23000|6=25000|7=30000|8=31000|9=32000|10=33000|11=34000|12=35000|13=36000|14=37000|15=38000|16=39000|17=55000|18=56000|19=57000|20=58000|21=59000|22=60000|23=61000|24=62000|25=63000|26=64000|27=65000|28=66000|29=67000|30=68000|31=69000|32=70000|33=71000|34=72000|35=73000|36=74000|37=75000|38=76000|39=77000|40=78000,载具升级至22级,60000,60000,,,0
55,90=100,10803,装备附魔,Icon02,UI_Icon_Zhuangbeifangan.png,推荐：装备附魔,3,2,1=5500|2=6000|3=10000|4=15000|5=20000|6=25000,全身7个部位附魔紫色属性,42000,140000,,1|2|3|4|5|6,0
56,90=100,115,勋章系统,Icon02,UI_Icon_Xunzhangbeiyang.png,推荐：勋章升级,8,22,1=1000|2=1500|3=2000|4=2100|5=2200|6=2500|7=2600|8=2700|9=2800|10=2900|11=3000|12=3100|13=3200|14=3300|15=3400|16=5000|17=5100|18=5200|19=5300|20=5400|21=5500|22=6000|23=6100|24=6200|25=6300|26=6400|27=6500|28=6600|29=6700|30=6800|31=6900|32=7000|33=7100|34=7200|35=7300|36=7400|37=7500|38=7600|39=7700|40=7800,升级6个勋章至22级,36000,45000,,,0
57,90=100,10802,装备精炼,Icon02,UI_Icon_Zhuangbeijinglian.png,推荐：装备精炼,2,9,1=200|2=300|3=500|4=1000|5=1200|6=1500|7=5000|8=9000|9=10000|10=11000|11=12000|12=13000|13=14000|14=15000|15=16000,全身装备精炼+9,50000,91000,,1|2|3|4|5|6,0
58,90=100,9009,载具性格,Icon02,UI_Icon_Zaiju.png,推荐：载具性格,10,0,1=20|2=20|3=20|4=20|5=20,载具5个性格值培养至60,6000,9000,,,0
59,90=100,10804,装备插卡,Icon01,UI_Icon_Kapian.png,推荐：装备插卡,4,2,1=3500|2=4000|3=5000|4=6000,全身装备插8张蓝卡,32000,40000,,1|2|3|4|5|6,0
60,90=100,143,属性加点,Icon02,UI_Icon_Juesejiadian.png,推荐：属性加点,7,10,1=30=2500|30=40=2000|40=50=400|50=60=1500|60=70=300|70=80=50|80=90=50|90=100=50,素质点要及时分配哦,500,500,,,0
61,10=55,1205,自动喝药,Icon02,UI_Icon_Juesejiadian.png,必要：自动喝药,14,0,1=30=2500|30=40=2000|40=50=400|50=60=1500|60=70=300|70=80=50|80=90=50|90=100=50,设置全自动守护,2100000000,2100000000,,,1
62,55=60,10821,贝鲁兹核心,Icon_ItemMaterial05,UI_icon_item_beiluzhexin.png,推荐：齿轮镶嵌,15,0,3024022=1=3000|3024022=2=3000|3024022=3=3000|3024022=4=3000|3024023=1=6000|3024023=2=6000|3024023=3=6000|3024023=4=6000|3024024=1=15000|3024024=2=15000|3024024=3=15000|3024024=4=15000|3024025=1=20000|3024025=2=20000|3024025=3=20000|3024025=4=20000,镶嵌1个蓝色单技能齿轮,3000,6000,,,0
63,60=65,10821,贝鲁兹核心,Icon_ItemMaterial05,UI_icon_item_beiluzhexin.png,推荐：齿轮镶嵌,15,0,3024022=1=3000|3024022=2=3000|3024022=3=3000|3024022=4=3000|3024023=1=6000|3024023=2=6000|3024023=3=6000|3024023=4=6000|3024024=1=15000|3024024=2=15000|3024024=3=15000|3024024=4=15000|3024025=1=20000|3024025=2=20000|3024025=3=20000|3024025=4=20000,镶嵌2个蓝色单技能齿轮,6000,12000,,,0
64,65=70,10821,贝鲁兹核心,Icon_ItemMaterial05,UI_icon_item_beiluzhexin.png,推荐：齿轮镶嵌,15,0,3024022=1=3000|3024022=2=3000|3024022=3=3000|3024022=4=3000|3024023=1=6000|3024023=2=6000|3024023=3=6000|3024023=4=6000|3024024=1=15000|3024024=2=15000|3024024=3=15000|3024024=4=15000|3024025=1=20000|3024025=2=20000|3024025=3=20000|3024025=4=20000,镶嵌3个蓝色单技能齿轮,9000,30000,,,0
