ID,,Icon,ObjType,SubType,Params,StringParams,NeedSync,EventType,EventInfoName,EventCD,EventChance
编号,名字(策划用),点击图标,物件类型\r\n0 普通场景物件\r\n1 开关\r\n2 锅（单人烹饪）\r\n3 双人烹饪\r\n4 无法点击仅高亮\r\n6 惊喜礼盒\r\n7 攀爬\r\n8 攀爬跳下\r\n9 试管（制药）\r\n10 烤箱（甜品）\r\n11 熔炉（冶炼） 12大锅（烹饪组合） 13大罐（制药组合）,"子类型\r\n普通场景物件：0 只改动作, 1 需要换通用时装\r\n开关：无填0\r\n单人烹饪：无填0\r\n双人烹饪：0 空台，1 食材，2 砧板，3 锅\r\n无法点击仅高亮：无填0\r\n惊喜礼盒: ",参数\r\n普通场景物件：对应SpecialActionTable的ID\r\n开关：无\r\n单人烹饪：无\r\n双人烹饪：（食材：食物ID锅：最大可加食材数 砧板:对应切菜动作ID）,字符串参数\r\n需要替换部件（不填不替换，配置为0时隐藏部件）：1|时装|2|武器|3|头饰|4|脸饰|5|嘴饰|6|背饰|7|尾饰,是否需要同步,惊喜Type\r\n1 播放特效类   \r\n2 变身类 \r\n3 BgM类\r\n没有则置空\r\n表格类型为Type数组               ,进行类型参数,事件CD(s),概率Num=1000
1,座椅,UI_main_Interactive_Seat.png,0,0,1001,,1,,,,
2,床,UI_main_Interactive_Sleep.png,0,0,1002,,1,,,,
3,开关,UI_main_Interactive_Operate.png,1,0,,,1,,,,
4,黑板,,4,0,,,0,,,,
5,锅,UI_main_BtnCooking.png,2,0,6040,,0,,,,
6,洗澡,UI_main_Interactive_Bathe.png,0,1,1003,1|BanShen_Body|2|0|3|0|4|0|5|0|6|0|7|0,1,,,,
7,试管,UI_main_Interactive_Pharmaceutical.png,9,0,6050,,0,,,,
8,烤箱,UI_main_Interactive_Dessert.png,10,0,6060,,0,,,,
9,熔炉,UI_main_Interactive_Smelting.png,11,0,6070,,0,,,,
10,躺椅,UI_main_Interactive_Seat.png,0,0,1010,,1,,,,
11,大锅（烹饪组合）,UI_main_BtnCooking.png,12,0,6110,,0,,,,
12,大罐（制药组合）,UI_main_Interactive_Pharmaceutical.png,13,0,6120,,0,,,,
1001,空台,UI_Cooking_Operation.png,3,0,,,1,,,,
1002,砧板,UI_Cooking_Cut.png,3,2,1004,,1,,,,
1003,锅,UI_main_Interactive_Cooking.png,3,3,4,,1,,,,
1011,胡萝卜食材点,UI_Cooking_Operation.png,3,1,1,,1,,,,
1012,生菜食材点,UI_Cooking_Operation.png,3,1,2,,1,,,,
1013,肉食材点,UI_Cooking_Operation.png,3,1,3,,1,,,,
1014,鱼食材点,UI_Cooking_Operation.png,3,1,4,,1,,,,
2000,惊喜礼盒,UI_main_BtnTouch.png,6,0,,,1,1|2,Effects/Prefabs/Scene/Fx_Scene_Nomal_YanHua_03|nil,20|20,10000|0
3000,攀爬（墙）,UI_main_Interactive_Speel.png,7,,,,,,,,
3100,从高处跳下（暂无功能）,UI_main_Interactive_Jump.png,8,,,,,,,,
4000,攀爬（梯）,UI_main_Interactive_Speel.png,7,,,,,,,,
