ID,Comment,SceneType,GatheringNav,EventID,StageType,PublicSceneID,SceneCfgFile,SceneUnityFile,ViewType,ViewGridLen,SceneGridFile,SceneAIFile,LoadingTips,LoadingPic,SyncMode,LineRoleCount,RelationMode,SpecialRelation,BGM,EnvironmentSound,MapName,MapSize,MapSizeChange,MapOffset,MapEntryName,MiniMap,MiniMapName,MiniMapSize,CamDis,CamConfig,SceneEnterType,StartPos,StartFace,StartCamFace,IsStaticScene,ReviveType,IsUseItemRevive,ReviveCost,ReviveScenePosition,ReviveSceneFace,ReviveSceneCamera,LandPos,LandFace,LandCamFace,LineWarningRoleNum,LineThresholdRoleNum,LineRecycleRoleNum,Campmatching,IsNeedStore,Vehicle,VehicleFly,BattleVehicle,IsHudWordMask,FirstInCutscene,SceneUiId,CanAutoPath,RecommendLevel,EventTriggerPoint,TeamSyncInterval,MemberConfirm,ForceFollow,Forbid3D,CanMnMapNav,NotReconnect,MerceneryNotAllow,PetNotAllow,EnterCutSceneId,IsFAQImport,DynamicAttrType,HidingFriendlyCanSee,LocalizationArea,ParamKeys,ParamValues
场景ID（1~500主城和野图；501~999迷宫；1001~1999特殊场景；2000~2999，镜像副本）,场景描述,场景类型(0.未知 1.大厅 2.野图 3.副本 4.准备场景 5.pvp场景 6.双人烹饪) 7.组队等候区 8.PVP-峡谷 9公会场景 10狩猎场 11GVG 12公会地城 13城主房间 14万圣尖叫夜 15.雪仗原等待室 16.雪仗原战场\r\n注：代码里写死，只有类型1和2的场景才能进入公会场景，如果新增了有特殊限制的野图(例：限时)，需要处理一下从公会返回之后的逻辑。,是否支持采集寻路,场景是准备区才会用到。表示对应的活动ID（活动表）,面板类型(面板枚举值) 0：null1：登录 2：选角 3：主城 4：野图 5：副本 6：PVP准备 7：PVP8：烹饪 9：新手副本选角 10：战场准备 11：战场 12：擂台等候区  13：擂台  14：公会匹配赛等候区  15：公会匹配赛 16:GVG 17：雪仗原等待室 18：雪仗原战场,复用的场景ID（此数据的意义在于，有复用的场景时，服务器不用重复去多加载一份多余的场景数据了，减少服务器开销。比如普隆德拉镜像就复用普隆德拉的资源，这时候这里就填普隆德拉的场景ID，不复用的就不填）,场景配置文件,场景文件,(视野类型1：全视野2：九宫格视野）PS：副本一般用1   3：阵营内共享视野,视野格子大小（填1就不用填）,场景网格配置,场景AI配置,进入场景的提示,加载时背景图（id引用自LoadingPicTable）,同步模式（1：联网 0： 单机 2：服务器发属性给客户端）,分线人数,阵营模式（0.普通模式；1.PVP模式，战场，擂台；2.GVG模式； 3.自由模式，各自为敌）,特殊阵营关系（填RelationTable中索引ID，不填为无特殊阵营关系）,背景音乐（普通战斗镜像类用BGM_DreadAndBold，BOSS战用BGM_TeMpItUp，非战斗类氛围变阴森的用BGM_Fear，其余的复用镜像场景原有BGM即可，觉得需要专属BGM的找相关负责人添加）,环境音效,地图文件名,大地图大小（美术提供X轴长度=Y轴长度）,大地图缩放比例（美术提供最小比例=最大比例，最大最小比例都不能配0或者负，否则打死）,大地图偏移（美术提供）,进入地图时显示的名字,小地图标签名字,在小地图上显示的名字，不配就不显示。比如“普隆德拉西门”你配成“西门”，在普隆德拉地图上你看去西门的传送阵名字就叫“西门”,长宽：（仅配置地图长宽时读取globalconfig的缩放，配置200|200|10则读取此列小地图缩放，表示缩放0.1*10倍）,镜头距离,默认镜头配置（读CameraConfigTable，不配置则默认读Global表配置）,进入场景方式(0.默认 1.擂台及战场 2.迷宫 3.双人烹饪 4.雪仗原激战),初始位置（可能只有出生场景和副本用到）,初始朝向（可能只有出生场景和副本用到）,镜头朝向,是否为静态场景,复活类型（1.原地复活2.场景中复活 走后面配置 3.蝴蝶翅膀处复活4.记录点复活（普隆德拉） 5.随机点复活 6.动态复活点（根据区域变换复活点，迷雾之森用））,能否使用复活之证复活（目前只支持野图和博仁斯攻略战）,复活消耗（ItemID=Num）,复活地点坐标,复活朝向,复活摄像机朝向,飞机场降落点坐标（X=Y=Z）,飞机场降落处朝向,飞机场降落处镜头朝向,分线警戒人数,分线最大人数,分线回收人数,阵营匹配参数（阵营数量=阵营人数最大差值=阵营最大人数，SceneType为10才需要配置 ）,gamelibs是否存档（0，否 1，是）,是否能使用地面载具（1可以用，0不可以用）,是否能使用飞行载具（1可以用，0不可以用）,是否能使用战斗坐骑（1可以用，0不可以用，默认可以用）,是否屏蔽场景内飘字，不填默认为全显示（0.自己相关 1.队友 2.同阵营野人 3.普通怪物 4.精英怪物 5.Mini6.MVP7.BOSS）,初次进入该场景时播放的过场动画,场景UI（配置该场景会有哪些UI，对应MainUiTable的ID）,是否支持跨场景自动寻路,场景推荐等级,场景事件触发点（X=Y=Z=radiu）可配置多个，随机,组队信息同步频率单位毫秒 最低不得低于200ms,进去副本是否需要玩家同意,跟随时是否强制传送（主要是等候区使用）,是否屏蔽3D模式（1不可使用3D模式，0可使用3D模式）,是否屏蔽小地图寻路(0不屏蔽，1屏蔽，默认不屏蔽),通过登录界面重新登录时是否可以重连副本（0可以重连，1不可重连，默认可以）,是否可以携带佣兵（0表示可以携带 1 表示不能携带 2表示可携带但不可切换，默认0）,是否可以携带宠物（0表示可以携带 1 表示不能携带 默认0）,进入场景后播放的cutscene，走cutscenetable，可重复播放,用于【卡普拉咨询】导入确认的字段，该字段用于导入数据时的判断字段，填1则在web后台会导入该行数据,静态场景动态数值类型,友方可见隐身单位,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12),fmod参数keys,fmod参数values
1,普隆德拉西门,2,1,0,4,,RO_Ximen,sc_ximen_001/sc_ximen_001,2,7,sc_ximen_001,Common_SceneAI_ximen,1,2,1,,0,,BGM_TreadOnTheGround_XiMen,Ambience_Forest2,sc_ximen_001,240,0.8=1.2,20=1,普隆德拉西门,普隆德拉西门,西门,512,15,,,154.7=7.8=130.3,0,180,1,4,1,,154.7=7.8=130.3,,,154.7=7.8=130.3,0,0,100,120,60,,1,1,1,1,,,1,1,25,90=11.93=180.8=10|85.7=7.43=115.7=10,,,,,,,,,,1,2,,,,
2,更新场景,0,0,0,0,,,DN_Updater,1,,,Common_SceneAI_Default,1,2,0,,0,,BGM_Title_DengLu_old,,,,,,,更新场景,,,,,,,,,0,1,0,,0=0=0,,,,0,0,0,0,0,,1,1,1,1,,,1,0,,,,,,,,,,,,,,,,,
3,登陆场景,0,0,0,0,,RO_Dengluchuangjue,sc_denglu_003/sc_denglu_003,1,,,Common_SceneAI_Default,1,2,0,,0,,BGM_Title_DengLu_old,Ambience_Login,,,,,,登录场景,,,,,,,,,0,1,0,,0=0=0,,,,0,0,0,0,0,,1,1,1,1,,,1,0,,,,,,,,,,,,,,,,,
4,普隆德拉南门,2,1,0,4,,RO_Nanmen,sc_nanmen_001/sc_nanmen_001,2,7,sc_nanmen_001,Common_SceneAI_nanmen,1,2,1,,0,,BGM_Streamside_NanMen,Ambience_Forest2,sc_nanmen_001,240,1=1.2,23=77,普隆德拉南门,普隆德拉南门,南门,512,15,,,100=10.1=136.8,270,180,1,4,1,,100=10.1=136.8,,,100=10.1=136.8,0,0,100,120,60,,1,1,1,1,,,1,1,10,46.25=10.25=81.8=10|81.9=10.06=36.3=10,,,,,,,,,,1,2,,,,
5,普隆德拉北门,2,1,0,4,,RO_Beimen,sc_beimen_001/sc_beimen_001,2,7,sc_beimen_001,Common_SceneAI_Default,1,2,1,,0,,BGM_PeacefulForest_BeiMen,Ambience_Forest2,sc_beimen_001,230,0.9=1,-8=6,普隆德拉北门,普隆德拉北门,北门,512,15,,,122.97=10.47=54.75,0,180,1,4,1,,122.97=10.47=54.75,,,122.97=10.47=54.75,0,0,100,120,60,,1,1,1,1,,,1,1,30,91.8=13.2=65.3=10|44.2=10.1=38.5=10|95.7=13.1=112=10,,,,,,,,,,1,2,,,,
7,普隆德拉,1,1,0,3,,RO_Pulongdela,sc_pulongdela_001/sc_pulongdela_001,2,7,sc_pulongdela_001,Common_SceneAI_pulongdela,1,2,1,,0,,BGM_ThemeOfProntera_PuLongDeLa,sc_pulongdela_001,sc_pulongdela_001,272,0.82=1.2,62=19,普隆德拉,普隆德拉,普隆德拉,512,15,,,66.3=9.81=56.8,90,180,1,4,1,,66.3=9.81=56.8,,,66.3=9.81=56.8,0,180,300,400,200,,1,1,1,1,,100113,1,1,1,,,,,,,,,,,1,2,,,,
8,哥布灵森林,2,1,0,4,,RO_GoblinForest,sc_gebulinsenlin_001/sc_gebulinsenlin_001,2,7,sc_gebulinsenlin_001,Common_SceneAI_Default,1,2,1,,0,,BGM_Poison_GeBuLinSenLin,Ambience_Forest,sc_gebulinsenlin_001,260,0.9=1.2,-4=-9,哥布灵森林,哥布灵森林,哥布灵,512,15,,,213.78=1.56=197.35,280,180,1,4,1,,213.78=1.56=197.35,,,213.78=1.56=197.35,0,0,100,120,60,,1,1,1,1,,,1,1,54,,,,,,,,,,,1,,,,,
9,芋虫峡谷,2,1,0,4,,RO_Yuchongxiagu,sc_yuchongxiagu_001/sc_yuchongxiagu_001,2,7,sc_yuchongxiagu_001,Common_SceneAI_Default,1,2,1,,0,,BGM_PampasUpas_YuChongXiaGu,Ambience_Canyon,sc_yuchongxiagu_001,280,0.8=1.2,3=2,芋虫峡谷,芋虫峡谷,芋虫峡谷,512,15,,,168.46=6.46=48.01,0,180,1,4,1,,168.46=6.46=48.01,,,168.46=6.46=48.01,0,0,50,80,40,,1,1,1,1,,,1,1,80,,,,,,,,,,,1,,,,,
10,吉芬北部,2,1,0,4,,RO_Jifenbeibu,sc_jifenbeibu_001/sc_jifenbeibu_001,2,7,sc_jifenbeibu_001,Common_SceneAI_Default,1,2,1,,0,,BGM_Plateau_JiFenBeiBu,Ambience_Jifenbeibu,sc_jifenbeibu_001,175,0.9=1,-3=2,吉芬北部,吉芬北部,吉芬北,512,15,,,78.48=12.04=37.1,0,180,1,4,1,,78.48=12.04=37.1,,,78.48=12.04=37.1,0,0,100,120,60,,1,1,1,1,,,1,1,45,128=10=39=10|127=11.6=96=10|72.5=11.6=83.4=10,,,,,,,,,,1,2,,,,
