ServerLevel,LevelDiffer,ExpRate
服务器等级,预期base-玩家base,经验加成比例(万分比)
30,20=999,0
30,19=19,0
30,18=18,0
30,17=17,0
30,16=16,0
30,15=15,0
30,14=14,0
30,13=13,0
30,12=12,0
30,11=11,0
30,10=10,0
30,9=9,0
30,8=8,0
30,7=7,0
30,6=6,0
30,5=5,0
30,4=4,0
30,3=3,0
30,2=2,0
30,1=1,0
30,0=0,0
30,-1=-1,0
30,-2=-2,0
30,-3=-3,0
30,-4=-4,0
30,-5=-5,-1000
30,-6=-6,-1500
30,-7=-7,-2000
30,-999=-8,-3000
35,20=999,15000
35,19=19,15000
35,18=18,15000
35,17=17,15000
35,16=16,15000
35,15=15,12000
35,14=14,12000
35,13=13,12000
35,12=12,12000
35,11=11,12000
35,10=10,12000
35,9=9,10000
35,8=8,10000
35,7=7,8000
35,6=6,6000
35,5=5,5000
35,4=4,4000
35,3=3,3000
35,2=2,2000
35,1=1,1000
35,0=0,0
35,-1=-1,-1000
35,-2=-2,-1500
35,-3=-3,-2000
35,-4=-4,-2000
35,-5=-5,-3000
35,-6=-6,-4000
35,-7=-7,-5000
35,-999=-8,-6000
40,20=999,15000
40,19=19,15000
40,18=18,15000
40,17=17,15000
40,16=16,15000
40,15=15,12000
40,14=14,12000
40,13=13,12000
40,12=12,12000
40,11=11,12000
40,10=10,12000
40,9=9,10000
40,8=8,10000
40,7=7,8000
40,6=6,6000
40,5=5,5000
40,4=4,4000
40,3=3,3000
40,2=2,2000
40,1=1,1000
40,0=0,0
40,-1=-1,-1000
40,-2=-2,-1500
40,-3=-3,-2000
40,-4=-4,-2000
40,-5=-5,-3000
40,-6=-6,-4000
40,-7=-7,-5000
40,-999=-8,-6000
45,20=999,15000
45,19=19,15000
45,18=18,15000
45,17=17,15000
45,16=16,15000
45,15=15,12000
45,14=14,12000
45,13=13,12000
45,12=12,12000
45,11=11,12000
45,10=10,12000
45,9=9,10000
45,8=8,10000
45,7=7,8000
45,6=6,6000
45,5=5,5000
45,4=4,4000
45,3=3,3000
45,2=2,2000
45,1=1,1000
45,0=0,0
45,-1=-1,-1000
45,-2=-2,-1500
45,-3=-3,-2000
45,-4=-4,-2000
45,-5=-5,-3000
45,-6=-6,-4000
45,-7=-7,-5000
45,-999=-8,-6000
50,20=999,15000
50,19=19,15000
50,18=18,15000
50,17=17,15000
50,16=16,15000
50,15=15,12000
50,14=14,12000
50,13=13,12000
50,12=12,12000
50,11=11,12000
50,10=10,12000
50,9=9,10000
50,8=8,10000
50,7=7,8000
50,6=6,6000
50,5=5,5000
50,4=4,4000
50,3=3,3000
50,2=2,2000
50,1=1,1000
50,0=0,0
50,-1=-1,-1000
50,-2=-2,-1500
50,-3=-3,-2000
50,-4=-4,-2000
