Id,Key,Name,Limit,Reason,RefreshTime,RefreshType,RefreshNum,Action
主键,内容(表的主键),名称(策划用),1.服务器掉落产出上限限制 ,获取路径,"CD时间上下限随机（天数,0点刷新，与RefreshType谁限制时间长谁生效）","刷新类型(0不刷新,1每天0点,2每天5点,3每周周一0点，4每周一5点 5每月1号0点 6每月1号5点)",刷新数量,1.服务器掉落产出上限 
1,4010017,哥布灵首领卡片,1,1|11|113,8|10,1,0,1
2,5030007,封印的天使波利卡片,1,1|11|113,8|10,1,0,1
3,5020002,封印的黄金虫卡片,1,1|11|113,8|10,1,0,1
4,5070012,封印的兽人英雄卡片,1,1|11|113,8|10,1,0,1
5,5040003,封印的恶魔波利卡片,1,1|11|113,8|10,1,0,1
6,5020004,封印的蚁后卡片,1,1|11|113,8|10,1,0,1
7,5030019,封印的兽人酋长卡片,1,1|11|113,8|10,1,0,1
8,5070007,封印的蜂后卡片,1,1|11|113,8|10,1,0,1
9,5010011,封印的海盗之王卡片,1,1|11|113,8|10,1,0,1
10,5010037,封印的皮里恩卡片,1,1|11|113,8|10,1,0,1
11,5050009,封印的虎王卡片,1,1|11|113,8|10,1,0,1
12,5060019,封印的俄塞里斯卡片,1,1|11|113,8|10,1,0,1
13,5010053,封印的德古拉伯爵卡片,1,1|11|113,8|10,1,0,1
14,5010058,封印的死灵卡片,1,1|11|113,8|10,1,0,1
15,5050011,封印的月夜猫卡片,1,1|11|113,8|10,1,0,1
16,5010018,封印的巴风特卡片,1,1|11|113,8|10,1,0,1
17,5070009,封印的法老王卡片,1,1|11|113,8|10,1,0,1
18,5060020,封印的鹗枭男爵卡片,1,1|11|113,8|10,1,0,1
19,5020005,封印的凯美拉卡片,1,1|11|113,8|10,1,0,1
20,5050012,封印的黑暗之王卡片,1,1|11|113,8|10,1,0,1
21,5010060,封印的血腥骑士卡片,1,1|11|113,8|10,1,0,1
22,5030008,封印的卡伦卡片,1,1|11|113,8|10,1,0,1
23,5010062,封印的冰暴骑士卡片,1,1|11|113,8|10,1,0,1
24,5010061,封印的时间管理人卡片,1,1|11|113,8|10,1,0,1
25,5030009,封印的塔奥群卡卡片,1,1|11|113,8|10,1,0,1
26,5010063,封印的半龙人卡片,1,1|11|113,8|10,1,0,1
27,5060043,封印的伊夫利特卡片,1,1|11|113,8|10,1,0,1
28,5010093,封印的阿特罗斯卡片,1,1|11|113,8|10,1,0,1
