BeginDay,ServeLevel,ExpectBaseLevel,ExpectJobLevel,BaseLevelUpperLimit
开始天数,服务器等级节点,预期base等级,预期job等级,base等级上限
1,30,30,35,38
2,35,35,42,43
3,40,40,49,48
4,45,45,59,53
6,50,50,66,58
9,55,55,72,63
13,60,60,78,68
19,65,65,85,73
29,70,70,90,78
43,75,75,106,83
64,80,80,122,88
94,85,85,129,93
139,90,90,129,98
199,95,95,129,103
274,100,100,129,108
364,105,105,129,113
454,110,110,129,118
544,115,115,129,123
634,120,120,129,128
724,125,125,129,133
814,130,130,129,138
904,135,135,129,143
994,140,140,129,148
1084,145,145,129,153
1174,150,150,129,158
1264,155,155,129,163
1354,160,160,129,168
1444,165,165,129,173
1534,170,170,129,178
2000,999,999,999,999
