ID,Decal,Atlas,Icon
ID,贴纸资源,图集,贴纸Icon
1,UI_PhotoSticker001.png,PhotoSticker01,UI_PhotoSticker001.png
2,UI_PhotoSticker002.png,PhotoSticker01,UI_PhotoSticker002.png
3,UI_PhotoSticker003.png,PhotoSticker01,UI_PhotoSticker003.png
4,UI_PhotoSticker004.png,PhotoSticker01,UI_PhotoSticker004.png
5,UI_PhotoSticker005.png,PhotoSticker01,UI_PhotoSticker005.png
6,UI_PhotoSticker006.png,PhotoSticker01,UI_PhotoSticker006.png
7,UI_PhotoSticker007.png,PhotoSticker01,UI_PhotoSticker007.png
8,UI_PhotoSticker008.png,PhotoSticker01,UI_PhotoSticker008.png
9,UI_PhotoSticker009.png,PhotoSticker01,UI_PhotoSticker009.png
10,UI_PhotoSticker010.png,PhotoSticker01,UI_PhotoSticker010.png
,,,
,,,
,,,
