ID,FxID,PlayTime,ShowType,Desc,Audio
ID,特效id,播放时间,表情使用类型（0表情栏，1仇恨转移时）,备注（策划用，橙色的位置不要动）,音效
1,122004,2,0,爱心,event:/UI/Emoji/UI_PopupEmojiLoveHeart
2,122005,2,0,go,event:/UI/Emoji/UI_PopupEmojiGoGo
3,122002,2,0,接吻,event:/UI/Emoji/UI_PopupEmojiKissHeart
4,122010,2,0,轻吻,event:/UI/Emoji/UI_PopupEmojiKissBack
5,122007,2,0,奸笑,event:/UI/Emoji/UI_PopupEmojiDevilLaugh
6,122008,2,0,流口水,
7,122011,2,0,生气,event:/UI/Emoji/UI_PopupEmojiAngry
8,122001,2,0,点头,event:/UI/Emoji/UI_PopupEmojiAffirmative
9,122006,2,0,哈啊,event:/UI/Emoji/UI_PopupEmojiAha
10,122003,2,1,怪物仇恨（待调整）,
11,122009,2,0,滴汗,event:/UI/Emoji/UI_PopupEmojiAwkward
12,122012,2,0,表情特效—错,
13,122013,2,0,表情特效—队标,
14,122014,2,0,表情特效—感谢,
15,122015,2,0,表情特效—害羞,
16,122016,2,0,表情特效—help,
17,122017,2,0,表情特效—欢笑,
18,122018,2,0,表情特效—惊讶,
19,122019,2,0,表情特效—哭泣,
20,122020,2,0,表情特效—枯树枝,
21,122021,2,0,表情特效—灵感,
22,122022,2,0,表情特效—迷惑,
23,122023,2,0,表情特效—漂亮,
24,122024,2,0,表情特效—问号,
25,122025,2,0,表情特效—无言,
26,122026,2,0,表情特效—星星眼,
27,122027,2,0,表情特效—一级棒,
28,122028,2,0,表情特效—音符,
29,122029,2,0,表情特效—过来,
30,122030,2,0,表情特效—摸头,
31,122031,2,0,表情特效—无表情,
32,122032,2,0,表情特效—生气瞪眼,
33,122033,2,0,表情特效—乌云,
34,122034,2,0,表情特效—吓出魂,
35,122035,2,0,表情特效—黑线,
36,122036,2,0,表情特效—好吃,
37,122037,2,0,表情特效—头晕,
38,122038,2,0,表情特效—打哈欠,
39,122039,2,0,表情特效—叹气,
40,122040,2,0,表情特效—sorry,
41,122041,2,0,表情特效—摇头,
