Index,ItemID,Type,Time,TipsId
序号,道具,1表示读取时间,时间,标签ID
1,1078001,1,20210204=050000|20210301=050000,1
2,1088001,1,20210204=050000|20210301=050000,1
3,1098001,1,20210204=050000|20210301=050000,1
4,1108001,1,20210204=050000|20210301=050000,1
5,1078003,1,20210204=050000|20210301=050000,1
6,1088003,1,20210204=050000|20210301=050000,1
7,1098003,1,20210204=050000|20210301=050000,1
8,1108003,1,20210204=050000|20210301=050000,1
9,1018001,1,20210204=050000|20210301=050000,1
10,1018002,1,20210204=050000|20210301=050000,1
11,1078002,1,20210204=050000|20210301=050000,1
12,1088002,1,20210204=050000|20210301=050000,1
13,1098002,1,20210204=050000|20210301=050000,1
14,1108002,1,20210204=050000|20210301=050000,1
15,1078004,1,20210204=050000|20210301=050000,1
16,1088004,1,20210204=050000|20210301=050000,1
17,1098004,1,20210204=050000|20210301=050000,1
18,1108004,1,20210204=050000|20210301=050000,1
19,1018003,1,20210204=050000|20210301=050000,1
20,1018004,1,20210204=050000|20210301=050000,1
