ID,Comment,Type,ServerLv,MinCap,MaxCap
ID,注释,类型,服务器等级节点,额外观看数最大值的下限,额外观看数最大值的上限
1,较低观看人数,1,30,50,55
2,较低观看人数,1,35,55,60
3,较低观看人数,1,40,60,65
4,较低观看人数,1,45,65,70
5,较低观看人数,1,50,70,75
6,较低观看人数,1,55,75,80
7,较低观看人数,1,60,80,85
8,较低观看人数,1,65,85,90
9,较低观看人数,1,70,90,95
10,较低观看人数,1,75,95,100
11,较低观看人数,1,80,100,105
12,较低观看人数,1,85,105,110
13,较低观看人数,1,90,110,115
14,较低观看人数,1,95,115,120
15,较低观看人数,1,100,120,125
16,较低观看人数,1,105,125,130
17,较低观看人数,1,110,130,135
18,较低观看人数,1,115,135,140
19,较低观看人数,1,120,140,145
20,较低观看人数,1,125,145,150
21,较低观看人数,1,130,150,155
22,较低观看人数,1,135,155,160
23,较低观看人数,1,140,160,165
24,较低观看人数,1,145,165,170
25,较低观看人数,1,150,170,175
26,较低观看人数,1,155,175,180
27,较低观看人数,1,160,180,185
28,较低观看人数,1,165,185,190
29,较低观看人数,1,170,190,195
30,较低观看人数,1,999,195,200
101,较高观战人数,2,30,100,105
102,较高观战人数,2,35,105,110
103,较高观战人数,2,40,110,115
104,较高观战人数,2,45,115,120
105,较高观战人数,2,50,120,125
106,较高观战人数,2,55,125,130
107,较高观战人数,2,60,130,135
108,较高观战人数,2,65,135,140
109,较高观战人数,2,70,140,145
110,较高观战人数,2,75,145,150
111,较高观战人数,2,80,150,155
112,较高观战人数,2,85,155,160
113,较高观战人数,2,90,160,165
114,较高观战人数,2,95,165,170
115,较高观战人数,2,100,170,175
116,较高观战人数,2,105,175,180
117,较高观战人数,2,110,180,185
118,较高观战人数,2,115,185,190
119,较高观战人数,2,120,190,195
120,较高观战人数,2,125,195,200
121,较高观战人数,2,130,200,205
122,较高观战人数,2,135,205,210
123,较高观战人数,2,140,210,215
124,较高观战人数,2,145,215,220
125,较高观战人数,2,150,220,225
126,较高观战人数,2,155,225,230
127,较高观战人数,2,160,230,235
128,较高观战人数,2,165,235,240
129,较高观战人数,2,170,240,245
130,较高观战人数,2,999,245,250
