DungeonType,Comment,FactorView,FactorLike,SeatingCapacity,Delay,MainUi,IsPvp,ShowResult,IsGuildEvent,RecCountCap,RecThresholdInfoType,ShareWorldMsgID,ShareGuildMsgID,PushMsgID,ExtraViewsInfoType,ExtraViewsCap
副本类型,注释,推荐指数：当前观众数的权重,推荐指数：点赞数的权重,最多容纳多少观众,延播时间（秒）,MainUI表的ID,是否是PVP副本,显示结算,是否是公会活动副本,该类型进入推荐队列的房间数上限,推荐指数阈值信息类型,玩家分享到世界的消息ID（类型=ID。类型1：PVE，2:5V5PVP，3:10V10PVP）,玩家分享到公会的消息ID（类型=ID。类型1：PVE，2:5V5PVP，3:10V10PVP）,系统推送的消息ID（类型=ID。类型1：PVE，2:5V5PVP，3:10V10PVP）,额外累计观看数增加量的数据类型（时间段不能重复，对应SpectatorExtraViewsInfoTable的Type字段）,额外累计观看数的上限信息，对应SpectatorExtraViewsCapTable的Type字段
2,主题副本,10,10,200,0,21,,1,0,3,1,1=67101,1=67102,1=67103,1,1
3,无限塔,10,10,200,0,21,,,0,3,1,1=67101,1=67102,1=67103,1,2
6,战场,10,10,100,10,29,1,1,0,3,1,3=67121,3=67122,3=67123,2,2
11,擂台,10,10,200,10,23,1,1,0,3,1,2=67111,2=67112,2=67113,2,1
13,极限挑战,10,10,200,0,22,,1,0,3,1,1=67101,1=67102,1=67103,2,1
19,迷雾之森,10,10,200,0,21,,,0,3,1,1=67101,1=67102,1=67103,1,1
25,公会匹配赛,10,10,200,0,27,1,1,1,3,1,2=67111,2=67112,2=67113,2,1
26,主题副本（剧情模式）,10,10,200,0,21,,1,0,3,1,1=67101,1=67102,1=67103,1,1
30,变身大作战,10,10,200,0,38,1,1,1,3,1,2=67111,2=67112,2=67113,2,1
31,金币大作战,10,10,200,0,38,1,1,1,3,1,2=67111,2=67112,2=67113,2,1
32,国王保卫战,10,10,200,0,38,1,1,1,3,1,2=67111,2=67112,2=67113,2,1
28,推车争夺战,10,10,200,0,39,1,1,1,3,1,2=67111,2=67112,2=67113,2,1
