ID,Name,IsChild,FatherId,LocalizationArea
分类,分类名称,是子分类？,父分类ID,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配2+8=10)
1,推荐,0,0,0
2,好友&公会,0,0,0
2000,贤者的回忆,0,0,0
3000,无尽之塔,0,0,0
11000,擂台,0,0,0
13000,极限挑战,0,0,0
25000,公会匹配赛,0,0,0
9000,5V5勇者大赛,0,0,9
2001,北方异变之森,1,2000,0
2002,普隆德拉下水道,1,2000,0
2003,德瑞克幽灵船,1,2000,0
2004,吉芬地下暗影,1,2000,0
2005,蚂蚁地狱巢穴,1,2000,0
2006,金字塔大冒险,1,2000,0
2007,达纳托斯之战,1,2000,0
2008,混沌的枷锁,1,2000,0
2009,夜袭普隆德拉,1,2000,11
2010,探秘哥布灵森林,1,2000,9
2011,净化修道院,1,2000,9
2012,时间的牢笼,1,2000,1
3001,无尽之塔1~5F,1,3000,0
3002,无尽之塔6~10F,1,3000,0
3003,无尽之塔11~15F,1,3000,0
3004,无尽之塔16~20F,1,3000,0
3005,无尽之塔21~25F,1,3000,0
3006,无尽之塔26~30F,1,3000,0
3007,无尽之塔31~35F,1,3000,0
3008,无尽之塔36~40F,1,3000,0
3009,无尽之塔41~45F,1,3000,11
3010,无尽之塔46~50F,1,3000,11
13001,极限挑战★,1,13000,0
13002,极限挑战★★,1,13000,0
13003,极限挑战★★★,1,13000,0
6000,战场,0,0,11
9001,推车争夺战,1,9000,9
9002,变身大作战,1,9000,9
9003,金币大作战,1,9000,9
9004,国王保卫战,1,9000,9
