ID,Name,Atlas,Icon,ServerLevelLimit,Fliter,LocalizationArea
索引ID,索引名称,图集名称,图标文件名,服务器等级限制,筛选,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配2+8=10)
200101,煤炭,,,0,,
200102,火灵原石,,,0,,
200103,水灵原石,,,0,,
200104,土灵原石,,,0,,
200105,风灵原石,,,0,,
200106,速效修复药剂,,,0,,
200107,强效修复药剂,,,0,,
300101,空瓶,,,0,,
300102,杰勒比结晶,,,0,,
300103,三叶幸运草,,,0,,
300104,昆虫外壳,,,0,,
300105,粘稠液体,,,0,,
300106,坚硬外皮,,,0,,
300107,苹果汁,,,0,,
300108,动物外皮,,,0,,
300109,柔毛,,,0,,
300110,玛哪树枝,,,0,,
300111,加勒结晶,,,0,,
300112,死人遗骨,,,0,,
300113,雪勒结晶,,,0,,
300114,剎勒空结晶,,,0,,
300115,珊瑚,,,0,,
300116,腐烂绷带,,,0,,
300117,亡者遗物,,,0,,
300118,葡萄,,,0,,11
300119,苹果,,,0,,11
300120,红色领巾,,,0,,11
300121,圆形外皮,,,0,,11
300122,红色蜡烛,,,0,,11
300123,冰块一角,,,0,,9
300124,青苹果,,,0,,9
300125,柠檬,,,0,,9
300126,触须,,,0,,9
300127,菠萝,,,0,,9
300128,甜瓜,,,0,,9
300129,昆虫的尾巴,,,0,,
300130,昆虫的长腿 ,,,0,,
300131,粉尘,,,0,,
300201,酒精,,,999,,
300202,玻璃珠,,,0,,
300203,光粒,,,0,,
300204,慧眼,,,0,,
300205,布里刊,,,0,,
300206,黄玉碎片,,,0,,
300207,赛依伐,,,0,,
300208,蜂蜜,,,0,,
300209,巨大杰勒比结晶,,,0,,
300210,透明之布,,,0,,
300211,羽毛,,,0,,
300212,破旧书页,,,0,,
300213,植物梗,,,0,,
300214,硬角,,,0,,
300215,锐利鳞片,,,0,,
300216,巨大雪勒结晶,,,0,,
300217,石心,,,0,,
300218,冰碎块,,,0,,11
300219,冰结晶,,,0,,11
300220,熊掌,,,0,,11
300221,螳螂臂,,,0,,11
300222,人鱼鳞片,,,0,,11
300223,背鳍,,,0,,11
300224,老旧汤匙,,,0,,11
300225,行刑者手套,,,0,,11
300226,白云母,,,0,,11
300227,黑云母,,,0,,11
300228,红色流苏,,,0,,9
300229,结实的藤,,,0,,9
300230,西纳雷叶子,,,0,,9
300231,蛤蜊肉,,,0,,9
300232,蛤蜊外壳,,,0,,9
300233,螃蟹外壳,,,0,,9
300234,龙皮,,,0,,
300235,老旧的铁板 ,,,0,,
300236,砂团,,,0,,
300301,大嘴鸟之羽,,,0,,
300302,柔软的羽毛,,,0,,
300303,青绿宝石,,,0,,
300304,白宝石,,,0,,
300305,小恶魔翅膀,,,0,,
300306,欧拉欧拉,,,0,,
300307,怀表,,,0,,
300308,蜜饯香蕉,,,0,,
300309,蜂胶,,,0,,
300310,围兜兜,,,0,,
300311,诅咒红宝石,,,0,,
300312,紫宝石,,,0,,
300313,永恒玫瑰,,,0,,
300314,黄宝石,,,0,,
300315,兽人战士之证,,,0,,
300316,天蓝宝石,,,0,,
300317,发亮鳞片,,,0,,
300318,绿宝石,,,0,,
300319,黑猫娃娃,,,0,,
300320,恶魔角,,,0,,
300321,神之手,,,0,,
300322,人鱼之牙,,,0,,11
300323,年老的树枝,,,0,,11
300324,回忆书签,,,0,,11
300325,红色相框,,,0,,11
300326,魔女之星沙,,,0,,9
300327,老旧魔法图,,,0,,9
300328,辉石,,,0,,9
300329,七彩羽毛,,,0,,
300330,燃烧的心脏,,,0,,
300401,天地树芽,,,0,,
300402,四叶幸运草,,,0,,
300403,超坚硬外皮,,,0,,
300404,珍珠,,,0,,
300405,忠诚之证,,,0,,
300406,黄金,,,0,,
300407,海利翁之眼,,,0,,
300408,圣殿士面具,,,0,,
300409,燃烧的马蹄铁,,,0,,
300410,狮鹫兽的指甲,,,0,,
300411,黄水晶,,,0,,11
300412,古城亡者的牙齿,,,0,,11
300413,古魔法书,,,0,,11
300414,指针,,,0,,9
300415,龙牙,,,0,,9
300416,绿松石,,,0,,
300417,血色符文,,,0,,
300501,断柄之刃,,,0,,
300502,泯灭之心,,,0,,
300503,噩梦之石,,,0,,
300504,兽人英雄之证,,,0,,
300505,虎掌,,,0,,
300506,老旧剑柄,,,0,,11
300507,玫瑰石英,,,0,,11
300508,时间结晶,,,0,,9
300509,卡仑之牙,,,0,,9
300510,宝石原石,,,0,,9
300511,玛瑙,,,0,,
700101,短剑置换器,,,0,,
700102,斧头置换器,,,0,,
700103,钝器置换器,,,0,,
700104,长矛置换器,,,0,,
700105,长剑置换器,,,0,,
700106,双手剑置换器,,,0,,
700107,拳刃置换器,,,0,,
700108,拳套置换器,,,0,,
800201,力量药剂1星,,,0,,
800202,智力药剂1星,,,0,,
800203,敏捷药剂1星,,,0,,
800204,灵巧药剂1星,,,0,,
800205,体质药剂1星,,,0,,
800206,幸运药剂1星,,,0,,
800301,蒸蟹螯1星,,,0,,
800302,口感爽滑的面1星,,,0,,
800303,鲜虾汁1星,,,0,,
800304,什锦饭团1星,,,0,,
800305,热炒蛤蜊1星,,,0,,
800306,蟹肉棒1星,,,0,,
800307,金枪鱼串烧1星,,,0,,
800308,鱼子酱1星,,,0,,
800309,鲜贝粥1星,,,0,,
900001,风之元素卷轴,,,0,,
900002,地之元素卷轴,,,0,,
900003,火之元素卷轴,,,0,,
900004,水之元素卷轴,,,0,,
