ID,Name,Tab,QueryType,IndexList,Atlas,Icon,ServerLevelLimit,LocalizationArea
类型ID(主分类ID从1开始递增，子分类ID用4位数方便筛选),前端显示的类型名,页签类型(填0表示为主分类，填大于0的值，表示当前分类为子分类，填的值是对应的主分类ID),查询类型(1：一层索引；2：两层索引；),索引列表,图集名称,图标文件名,服务器等级限制,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配2+8=10)
1,制造材料,0,2,200101|200102|200103|200104|200105|200106|200107,Common,UI_Common_BtnIcon_04.png,0,
3,材料,0,2,,Common,UI_Common_BtnIcon_02.png,0,
3001,低级,3,2,300101|300102|300103|300104|300105|300106|300107|300108|300109|300110|300111|300112|300113|300114|300115|300116|300117|300118|300119|300120|300121|300122|300123|300124|300125||300126|300127|300128|300129|300130|300131,Common,UI_Common_BtnIcon_02.png,0,
3002,中级,3,2,300201|300202|300203|300204|300205|300206|300207|300208|300209|300210|300211|300212|300213|300214|300215|300216|300217|300218|300219|300220|300221|300222|300223|300224|300225|300226|300227|300228|300229|300230|300231|300232|300233|300234|300235|300236,Common,UI_Common_BtnIcon_02.png,0,
3003,高级,3,2,300301|300302|300303|300304|300305|300306|300307|300308|300309|300310|300311|300312|300313|300314|300315|300316|300317|300318|300319|300320|300321|300322|300323|300324|300325|300326|300327|300328|300329|300330,Common,UI_Common_BtnIcon_02.png,0,
3004,稀有,3,2,300401|300402|300403|300404|300405|300406|300407|300408|300409|300410|300411|300412|300413|300414|300415|300416|300417,Common,UI_Common_BtnIcon_02.png,0,
3005,珍贵,3,2,300501|300502|300503|300504|300505|300506|300507|300508|300509|300510|300511,Common,UI_Common_BtnIcon_02.png,0,
7,置换器,0,2,700101|700102|700103|700104|700105|700106|700107|700108,Common,UI_Common_Zhihuanqi.png,0,
8,生活职业,0,2,,Common,UI_Common_BtnIcon_03.png,0,
8002,药剂,8,2,800201|800202|800203|800204|800205|800206,Common,UI_Common_BtnIcon_03.png,0,
8003,料理,8,2,800301|800302|800303|800304|800305|800306|800307|800308|800309,Common,UI_Common_BtnIcon_03.png,0,
9,卷轴,0,2,900001|900002|900003|900004,Common,UI_Common_Zhihuanqi.png,0,9
