Id,Name,Value
索引,名称,提示文本
ErrStateAAToStateOthers,,转职过程中，无法执行该操作哦！
ErrStateABToStateOthers,,特殊状态下无法执行该操作哦！
ErrStateACToStateOthers,,正在跑商，无法执行该操作哦！
ErrStateADToStateOthers,,正在寻路，无法执行该操作哦！
ErrStateAEToStateB,,正在搬运，无法上载具哦！
ErrStateAEToStateOthers,,正在搬运，无法执行该操作哦！
ErrStateAFToStateF,,当前状态无法执行该操作哦！
ErrStateAFToStateOthers,,当前状态无法执行该操作哦！
ErrStateAGToStateOthers,,正在观战，无法执行该操作哦！
ErrStateAHToStateOthers,,正在跳舞，无法执行该操作哦！
ErrStateAIToStateOthers,,正在尝试脱离卡死，无法执行该操作哦！
ErrStateAJToStateOthers,,当前状态无法执行该操作哦！
ErrStateAKToStateOthers,,暂时无法执行该操作哦！
ErrStateAToStateA,,您已处于变身状态啦！
ErrStateAToStateB,,您现在这个样子无法上载具哦~
ErrStateAToStateC,,您现在这个样子无法上载具哦~
ErrStateAToStateD,,变身状态下不能进行该操作哦~
ErrStateAToStateE,,您现在这个样子举不了自拍杆哦~
ErrStateAToStateF,,您现在这个样子搞不定这个动作哦~
ErrStateAToStateG,,您现在这个样子没办法攀爬哦~
ErrStateAToStateH,,您现在这个没办法进行该操作哦~
ErrStateAToStateI,,对方正在变身中，无法被变身哦~
ErrStateAToStateJ,,您现在这个样子无法使用任务道具哦~
ErrStateAToStateK,,变身中，无法执行该操作哦！
ErrStateAToStateL,,您现在这个样子无法和别人做动作哦~
ErrStateAToStateOthers,,变身中，无法执行该操作哦！
ErrStateAToStateQ,,您现在这个样子无法进行骑乘战斗哦~
ErrStateAToStateS,,您现在这个样子无法钓鱼哦~
ErrStateAToStateT,,暂时无法搭乘该载具哦~
ErrStateAToStateZ,,您现在这个样子无法创建聊天室哦~
ErrStateBToStateOthers,,搭乘地面载具中，无法执行该操作哦！
ErrStateCToStateA,,搭乘飞行载具时无法变身哦~
ErrStateCToStateE,,正在飞行中，无法自拍哦~
ErrStateCToStateF,,正在飞行，无法做单人动作哦~
ErrStateCToStateG,,正在飞行，无法场景交互哦~
ErrStateCToStateH,,正在飞行，无法进行该操作哦~
ErrStateCToStateI,,对方正在飞行，无法被变身哦~
ErrStateCToStateJ,,正在飞行，无法使用任务道具哦~
ErrStateCToStateK,,正在飞行，无法与该角色交互哦~
ErrStateCToStateL,,正在飞行，无法进行双人动作哦~
ErrStateCToStateM,,正在飞行，无法进入战斗哦~
ErrStateCToStateN,,正在飞行，无法进入战斗哦~
ErrStateCToStateOthers,,搭乘飞行载具中，无法执行该操作哦！
ErrStateCToStateS,,空中是没有鱼儿的哦~
ErrStateCToStateT,,暂时不能换载具哦~
ErrStateDToStateAG,,正在进行交互，无法进行观战哦！
ErrStateDToStateI,,对方正在场景交互中，无法被变身哦~
ErrStateDToStateOthers,,正在场景交互，无法执行该操作哦~
ErrStateEToStateI,,对方正在自拍中，无法被变身哦~
ErrStateEToStateM,,自拍时无法进入战斗
ErrStateEToStateOthers,,自拍中，无法执行该操作哦！
ErrStateFToStateOthers,,单人动作中，无法执行该操作哦！
