SuitId,Dec,ItemAtlas,ItemIcon,ComponentID,text,Level,TwoBuffid,ThreeBuffid,FourBuffid,FiveBuffid,SixBuffid,SevenBuffid,TwoBuffidDec,ThreeBuffidDec,FourBuffidDec,FiveBuffidDec,SixBuffidDec,SevenBuffidDec,SortId,RecommendSchool,ProfessionId,isShow,IsLegend,LocalizationArea,CN_ComponentID,Quality
套装ID,套装名称,道具图集(已废弃),道具图标(已废弃),"配置格式：Type=材料ID1=材料ID2,多个类型时用竖线隔开（Type1：装备，Type2:材料，装备时走副Id,材料时走ID）",策划备注,推荐等级(已废弃),2件套效果，配置和装备一致,3件套效果,4件套效果,5件套效果,6件套效果,7件套效果,2件套效果描述,3件套效果描述,4件套效果描述一致,5件套效果描述,6件套效果描述,7件套效果描述,排序Id,推荐流派,推荐职业，仅套装图鉴用,是否显示在图鉴中 0不显示1显示,0或者不配是装备，1是神话时装，2是饰品，3是配饰,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加）,配置套装中对应装备显示名称,"稀有度与颜色（4，3，2对应S，A,B对应橙，紫，蓝）"
1,乐园团的证明,Icon_ItemEquip01,UI_icon_item_leyuantuanzhifu.png,1=7330900=8331500,乐园团制服+乐园团斗篷,50,0=47=150|0=186=1000,,,,,,最大生命+150，无属性减伤+10%,,,,,,1,200001|200003|200002|300001|300002|300011|300012|300003|400001|400002|700001|700002|600001|600002|500002|500001,2000|3000|4000|5000|6000|7000,1,0,,1=乐园团制服=乐园团斗篷,2
2,巡山人套装,Icon_ItemEquip05,UI_icon_item_yangmaoweijin.png,1=8331100=11331800,羊毛围巾+防水靴,50,0=65=300,,,,,,物理伤害+3%,,,,,,2,200001|200003|200002|300001|300002|300003|300011|300012|400001|400002|700001|700002|600001|600002|500002|500001,2000|3000|4000|5000|6000|7000,1,0,,1=羊毛围巾=防水靴,2
3,法力学徒套装,Icon_ItemEquip02,UI_icon_item_mofawaitao.png,1=7330500=11331700,魔力外套+魔力靴,50,0=66=300,,,,,,魔法伤害+3%,,,,,,3,300001|300002|400002|400001,3000|4000,1,0,,1=魔法外套=魔力靴,2
4,茉莉雅娜套装,Icon_ItemEquip04,UI_icon_item_moliyanadoupeng.png,1=8331400=11332000,茉莉雅娜斗篷+茉莉雅娜皮靴,50,0=18=2,,,,,,增加2点敏捷,,,,,,4,200001|300003|500002|500001|600001|700001,2000|3000|5000|6000|7000,1,0,,1=茉莉雅娜斗篷=茉莉雅娜皮靴,2
5,白羽套装,Icon_ItemEquip01,UI_icon_item_baiyuzhanpao.png,1=7333500=8333600=11333700,白羽战袍+白羽羽翼+白羽便鞋,80,,0=55=10|0=249=1000,,,,,,暴击+10，远程物理伤害+10%,,,,,5,700001,7000,1,0,27,1=白羽战袍=白羽羽翼=白羽便鞋,3
6,奔跑套装,Icon_ItemEquip05,UI_icon_item_bengpaokaijia.png,1=7332900=8333100=11333000,奔跑铠甲+奔跑长靴+奔跑者徽章,80,,0=48=700|0=50=700|0=102=-1500|0=66=1000,,,,,,最大生命+7%，最大魔法+7%，公共cd-15%，魔法伤害+10%,,,,,6,400001|400002|300001|300002,3000|4000,1,0,27,1=奔跑铠甲=奔跑者徽章=奔跑长靴,3
7,哥夫内套装,Icon_ItemEquip05,UI_icon_item_geneifudekaijia.png,1=7332300=8332400=11332500,哥夫内盔甲+哥夫内肩饰+哥夫内军靴,80,,0=185=1000|0=182=1000|0=183=1000|0=184=1000|0=50=1500,,,,,,受到水、风、地、火属性伤害减少10%，最大魔法+15%,,,,,7,200001|200003|200002|300001|300002|300011|300012|300003|400001|400002|700001|700002|600001|600002|500002|500001,2000|3000|4000|5000|6000|7000,1,0,27,1=哥夫内盔甲=哥夫内肩饰=哥夫内军靴,3
8,疾风套装,Icon_ItemEquip05,UI_icon_item_jifengzhanpao.png,1=7332600=8332700=11332800,疾风战袍+月影披风+黑皮靴,80,,1=400033001=liuwei=0=96=attrper=0=10=attr1=0=71=value1=0=100,,,,,,每10点敏捷额外增加1%攻击速度,,,,,8,200001|300003|300011|300012|500002|500001|600001|600002|700001,2000|3000|5000|6000|7000,1,0,27,1=疾风战袍=月影披风=黑皮靴,3
9,提尔的祝福,Icon_ItemEquip01,UI_icon_item_tierdezhanjia.png,1=7333200=8333300=11333400,提尔的战甲+贝利的斗篷+迪塔乐长靴,80,,1=400033001=liuwei=0=94=attrper=0=1=attr1=0=27=value1=0=2,,,,,,每1点力量额外增加2点攻击力,,,,,9,200001|200002|300003|300011|300012|500002|500001|700001|600001|600002,2000|3000|5000|6000|7000,1,0,27,1=提尔的战甲=贝利的斗篷=迪塔乐长靴,3
