ID,Type,Args,TargetID,LocalizationArea,,
条件ID（TaskAcceptTable索引的主键）,类型（条件类型：1.成就，2.勋章，3.场景物件交互，4.杀怪，5.使用指定ID道具，6.使用指定类型道具，7.执行指定动作，8.拥有指定ID道具，9.拍照到NPC，10.拍照到怪物，11.触发器，12.与npc交互，13.与玩家交互，14.生活职业等级，15.读到某句对话）,额外参数（条件类型为3，额外参数可配置场景ID也可不配置。条件类型为4，额外参数可配置场景ID也可不配置。条件类型为11，额外参数必须配置场景ID。条件类型为12，额外参数必须配置NPCID。条件类型为15，额外参数必须配置NPCID）,目标（计数目标，具体要做什么。）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12),备注策划用,
1,1,0,20000401,,（模板）解锁成就“积少成多II,成就类，索引AchievementDetailTable的ID字段
2,2,0,3,,（模板）徽章等级达到冒险家Ⅴ,徽章类，索引AchievementBadgeTable中的Level字段
3,3,7,0,,（模板）与普隆德拉的板凳交互,与场景物件交互：0座椅，1开关，2单人烹饪，3双人烹饪，4仅高亮，6惊喜礼盒，7攀爬墙，9制药，10甜点，11熔炼
4,3,0,0,,（模板）与板凳交,
5,4,516,1179,,（模板）杀死蝙蝠,杀怪，索引EntityTable中的ID字段
6,4,0,100,,（模板）破坏木箱,
7,5,0,2010001,,（模板）使用赤色药水。,使用指定ID的道具，索引ItemTable中的ID字段
8,6,0,2,,（模板）使用消耗品,使用指定类型的道具：索引ItemTable中的TypeTab字段
9,7,0,17,,（模板）需要执行动作【躺】,播放指定动作：索引ShowActionTable中的Action字段
10,8,0,2090019,,（模板）拥有zeny袋子,持有道具：索引ItemTable中的ID字段
13,11,47,1,,进入到斐扬返回奇遇记录id值为1的触发器的范围内,走到指定区域：索引配置的触发器的返回值
14,12,2554,18,,（模板）表示与ID为2254的NPC执行拥抱动作,与NPC交互：索引ShowActionTable中的Action字段
15,13,0,4,,（模板）表示与玩家飞吻动作，接取条件达成,与玩家进行交互：索引ShowActionTable中的Action字段
16,1,0,20000501,,解锁成就“武器专家,
17,7,0,2,,需要执行动作【赌气】,
18,8,0,3020004,,最少拥有3个铝,
19,14,0,6040,,烹饪到达N级,生活职业：所以opensystemtable中的systemID
20,13,0,18,,与玩家进行交互,
21,3,0,0,,与板凳交,
22,12,10093,18,,与气球商拥抱一次,
23,14,0,6050,,制药到达N级,
24,11,16,2,,进入吉芬塔编号为2的触发器,
25,11,7,3,,走到普隆德拉标识板附近为3的触发器,
26,7,0,17,,执行躺下动作,
101,15,0,19003310,,船长的委托触发,
301,15,0,19005200,,与ID为13641的npc对话触发任务,
3001,11,26,19002100,,梦罗克触发真理旅人,
3002,11,47,19006600,,斐扬触发野猪风波,
3003,15,13650,19005300,,与Id为13650的npc对话触发任务,
3004,11,7,19007000,,普隆德拉触发被困的超魔导,
3005,11,7,19006000,,普隆德拉触发童年噩梦,
3006,11,47,19010110,9,斐扬触发写给思念的诗,
3007,11,47,19010210,9,斐扬触发远方的灯塔,
6001,11,21,19002200,,进入伊斯鲁德编号为19002200的触发器,
6002,15,2512,19001200,,跟斐扬2512npc闲聊触发,
7001,11,1,19005100,,走到普隆德拉西门区域触发19005100触发器,
7002,1,0,50000601,,达成成就王牌猎人I,
