BookId,Type,Text
索引ID,类型（不同id代表不同信纸样式）,文本内容
1,1,"要提取的货品：\r\n编号为#3F33364和#9I75122货物，分别放在总部的<color=$$Blue$$>1A</color>和2C货柜处。XXX注意XXX，货柜处年久失修，可能有魔物出没，请注意安全！！"
2,2,"姓名：露克希（lux）\r\n性别：女(F)\r\n隶属：刺客工会\r\n乐园团评价：SS\r\n\r\n刺客工会新生代中公认最强的女刺客。\r\n多次接取A级以上任务并成功完成，多次遇到危机总能全身而退。"
3,3,
4,4,
5,5,
6,6,
7,7,"<color=$$Yellow$$>【圣痕】：</color>\r\n源自于教国的一种控心术，可以让人对于某个神圣的念想顶礼膜拜，甚至献上生命。\r\n\r\n表象特征：\r\n中咒者身体某个地方会生长出<color=$$Red$$>黑色的十字</color>，并以此为中心向四周扩散。\r\n被解咒的人说如同进入圣洁的幻象，自己像是"
8,8,
9,9,
10,10,
11,11,
12,12,
13,13,
14,14,
15,15,
16,16,
17,17,
18,18,
19,19,
20,20,
21,21,
22,22,
23,23,
24,24,
25,25,
26,26,
27,27,
28,28,
29,29,
30,30,
31,31,
32,32,
1001,35,"《元素习性》·章节4\r\n\r\n<color=$$Red$$>★火精灵阿格尼</color>\r\n性情非常好斗，力量至上。\r\n\r\n<color=$$Blue$$>★水精灵阿库娅</color>\r\n性格温和，没有安全感，喜欢钻进瓶子里。\r\n\r\n"
1002,34,"《希波克拉底誓言》·卷12\r\n\r\n<color=$$Red$$>★ </color>夸赛魔\r\n<color=$$Gray$$>喜好附身年轻男子，以其痛苦为食物。\r\n 通常会将宿主带回无底深渊位面折磨。<color=$$Red$$>惧怕银质物品。</color></color>\r\n\r\n"
1003,5,"商人入会守则\r\n\r\n<color=$$Red$$>★ </color>顾客利益至上。\r\n<color=$$Red$$>★ </color>尊重其他商人价值。\r\n<color=$$Red$$>★ </color>忌欺骗，口是心非。\r\n<color=$$Red$$>★ </color>顾客隐私保持缄默。\r\n\r\n<color=$$Red$$>本人许诺遵循以上誓言，加入商人工会</color>\r\n"
1004,6,你违反了基础信条：<color=$$Red$$>不擅自打开委托物</color>，转职考试失败了。
1005,4,"<color=$$Red$$>§</color>亲爱的乐园团团长：\r\n        \r\n   <color=$$Yellow$$>见字如面</color>\r\n\r\n你面前的这个冒险者，\r\n在转职考核中表现优异是不可多得的人才。\r\n\r\n推荐加入乐园团，为卢恩王国效力。\r\n\r\n\r\n                    <color=$$Red$$>♥</color>你的老友"
1006,6,"小家伙，桌子旁边那些东西你带走吧\r\n那是我留给你的，你肯定用得到\r\n我们还会再见面的，以另一种形式……"
1007,6,"           蔬菜小姐\r\n           心心相印"
1008,6,"\r\n三角相连，取其中心，可知石板所在 "
1009,6,"取到放置衣服、石心、药草的三个点\r\n把它们连成了三角形\r\n他的中心点就是放置石板的位置"
1010,1,"此地气候湿润，最适合植被生长，我发现即使一朵普通的花朵，也比其他任何地方健硕了不少。妙勒尼山脉真是一个奇妙的地方啊，我决定继续深入庙妙勒尼山脉深处考察。\r\n            ——《艾登考察笔记》"
1011,4,"很遗憾，今天我们遭受了严重的损失，我的同事和好友亚度尼斯不小心被黑蛇咬伤了，最终不治身亡。我要对这件事情负主要责任，让我们为亚度尼斯默哀！但是，考察也取得了重大进展，我们发现这里的魔物比其他地方都狂暴，助教和雅各伯都建议继续深入芋虫峡谷调查，我们只能暂时抛下亚度尼斯了……\r\n            ——《艾登考察笔记》"
1012,6,"走到这里，我发现了一些血迹，艾登教授和助教发生了什么？我不知道，我决定再往前面看看！\r\n                       ——塞缪尔"
1013,6,"终于远远看到了教授和助教的身影，他们正朝着山上走去，我决定跟上看看。你如果看到这条信息，请立即跟来！\r\n                       ——塞缪尔"
1014,4,"芋虫峡谷得天独厚的自然环境使得这里自然资源十分丰富，如果开发，将会带来无尽的财富，但也会让这片雨林遭受毁灭性的破坏！\r\n老师担心对这里进行大力开发会破坏这里的生态环境，而助教却不以为然，而最终的报告必须要有教授签字才能生效，因此，他们之间产生了矛盾……\r\n            ——《雅各伯考察笔记》"
1015,1,"11月3日  晴\r\n此行损失惨重，但也不是一无所获。想要得到宝藏，必须<color=$$Yellow$$>先集齐并混合两种罪者之血</color>，然后在一层召唤出守护者之魂并通过他们的考验。再然后，继续深入二层召唤出法老王并完成他的最终考验。如此方能获得宝藏，否则皆是徒劳。"
1016,1,法老王生前深受爱戴，钟情于美好事物。他的弟弟赛特嫉妒他，打造出一个美丽的箱子（棺椁）进贡给他，并欺骗他说这是专门为他打造的舒适床榻。法老王果然被箱子美丽的外表迷惑……但在进入箱子前发现了异端，可是却被<color=$$Yellow$$>守卫米诺斯</color>背叛，强行推入箱内，被暗藏在内的机关杀死，赛特最终篡权上位……
1017,1,【华丽棺椁计划】的其他参与者有三人：反叛的法老王守卫有<color=$$Yellow$$>“行刑者米诺斯”、华丽棺椁匠人“诺可伊”和“￥%^%^*”(破损)</color>此三人受到马尔杜克之诅咒，将永远成为奴，守卫在斯芬克斯之中，为自己赎罪……
1018,1,"^*#$^%*（破损）下令必须将【自己】以及复国有功的<color=$$Yellow$$>【无面者马尔杜克】</color>，连同【法老王】葬在一处。\r\n忠实的帕莎纳军在其主死后，他们的后人也成了斯芬克斯的守墓一族。强悍的守护者意志和<color=$$Yellow$$>帕莎纳</color>守墓人，守卫着蕴含伟大力量的法老王，以及传说中的丰沃宝藏。"
1019,1,"【篡权者赛特】上位后，忠实的【马尔杜克】假意归顺，暗中却找回王子遗体，使用禁术召回王子的灵魂。王子以【安毕斯】形象复活，并组织残余势力颠覆篡权法老赛特。\r\n【马尔杜克】因禁术失去面容，带上了圣殿士面具，开始暗中辅助安毕斯，并培植了一支忠实的卫队——【帕莎纳军】"
1020,4,迷雾之森，顾名思义，常年被迷雾笼罩，又因地形断裂，无法寻路，除非你能<color=$$Blue$$>静下心来尝试每个传送点，并且总结规律，</color>否则建议你多用<color=$$Blue$$>苍蝇翅膀 </color>！
1021,1,"卢恩之北，迷雾之森，有失落之碑。\r\n石碑所载，乃失落宝藏之线索……"
1022,4,"亲爱的吉丽雅姐姐：\r\n    此次采药并不顺利，我打算去远处的<color=$$Blue$$>哥布灵森林</color>里面碰碰运气，预计今夜才能回来。\r\n                      爱你的欧文"
1023,4,"<color=$$Yellow$$>哀唱草</color>：\r\n每逢满月的夜晚就会独自唱着哀伤歌曲的神秘植物！\r\n传说以前有位少女，她唱着歌思念离开很久的恋人，但是心爱的他终究没有归来。\r\n等着等着他就这样化成了一株草……"
1024,4,"加入商队的少年在商队遇袭之后<color=$$Yellow$$>并未死亡</color>，但失去记忆。为此他与女巫做了交易：<color=$$Yellow$$>用身体换回记忆</color>，灵魂则被女巫封印在沙漠之狼体内。\r\n多年后，少年归来，可少女早已病死。\r\n她的灵魂附在了一种草上。每逢月圆之夜便会发出哀伤之音，那是迎接爱人归来的旋律。"
