Id,PreId,TogetherPreId,Name,TaskDes,Type,Chapter,ChapterName,ServerLevel,AcceptLimitBaseLevel,AcceptLimitJobLevel,PushLevel,AcceptLimitProfession,AcceptLimitSex,AcceptLimitItem,AcceptLimitIdentity,FinishLimitIdentity,FinishLimitCD,AcceptNpc,FinishNpc,ItemAfterAccept,ItemBeforeFinish,AcceptAutoPath,Accepttype,Finishtype,ShortcutShowType,FindwayType,AbandonType,DestroyType,LimitTask,CycleNumber,TargetSubTasks,TargetSubTaskChoose,Target1,SpecialMes1,TargetDes1,Target2,SpecialMes2,TargetDes2,Target3,SpecialMes3,TargetDes3,Target4,SpecialMes4,TargetDes4,Target5,SpecialMes5,TargetDes5,TargetRunType,TaskTrigger,IsReminder,FinishTips,NpcFavors,RewardID,DescAcceptable,DescCanFinish,TalkScript,TaskAcceptScriptTag,TaskFinishScriptTag,HideSymbol,AwardExhibition,IsShield,OpenSystemLimit,LocalizationArea
任务ID（主线任务：1000000—1999999；支线任务：2000000—2999999；职业任务：3000000—3999999；日常任务：4000000—4999999；周常任务：5000000—5999999；引导任务：6000000—6999999；奇遇任务：7000000—7999999；公会任务：8000000—8999999；伊甸园任务：9000000—9999999；爱神任务：10000000—10999999；伊甸园加急：11000000—11999999；冒险任务：12000000—12999999；主题副本：13000000—13999999；生活支线：14000000—14999999）,前置任务ID（任务ID|任务ID……；满足其中一个即可，是“或”的关系，可为空）,并列前置限制（任务ID|任务ID……；不仅要完成前置ID，还需要完成这个并列限制里面的所有任务才算完成所有前置，这个字段里面的id是“与”的关系，可为空）,任务名称,任务简单描述,任务类型（1，主线任务；2，支线任务；3，职业任务；4，日常任务；5，周常任务；6，引导任务；7，奇遇任务；8，公会任务；9，伊甸园任务；10，爱神任务；11，伊甸园加急；冒险任务，类型是12；副本任务，类型是13；生活支线 14；）,所属章节,章节名（可不填）,服务器等级,接取base等级限制（最低等级=最高等级；上限或者下线无限制的地方填0）,接取job等级限制（最低等级=最高等级；上限或者下线无限制的地方填0）,推送等级：推送base等级下限=推送base隐藏等级上限,职业限制（根据职业划分，填取职业ID，可填多个中间用分号隔开；0表示全职业）,性别限制（0，男；1，女；2，无限制）,接取需求道具限制（道具ID=数量|道具ID=数量;接取的时候扣除，可为空）,接取社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,交付社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,完成时间限制（单位：秒；不填表示无限制）,接取NPC（NPCid=所在场景）,交付NPC（NPCid=所在场景）,接任务获得的任务道具（道具ID=数量|道具ID=数量，可为空）,交任务需要扣除的任务道具（道具ID=数量|道具ID=数量，可为空，任务道具给的道具记得在这里回收）,接取后是否自动寻路（0.接取后不自动寻路1.接取后自动寻路）,接取形式（1：正常对话接取；2，自动接取；3，飞鸽传书）,交付形式（1：正常对话交付；2，自动交付）,快捷追踪方式（1，不可接取的时候就显示追踪；2，可接取的时候就显示追踪；3，接取之后才显示追踪）,寻路模式（1，自动寻路；2，引导提示；3，不能寻路，全靠自己找）,放弃类型（0不可放弃，1放弃任务重新开始，不保留目标进度，随机目标可再次随机目标2放弃任务后，重新接取任务，任务目标不变，任务目标的完成程度不保留3放弃任务后，重新接取任务，任务目标完成程度保留，从未完成的任务目标开始做）,销毁方式（本字段仅针对配置了接取等级上限的任务有效。1，普通销毁：已接取的过了等级段还保留；2，全部销毁：表示过了这个等级段不管接取与否，完成与否，强制删除）,任务限制销毁,周期内可以完成多少次（表示在一个刷新周期内这个任务可以重复完成多少次，目前仅对日常任务、周常任务有效）,任务群组（用于配置子任务list，仅是父任务组要配置；如果此处有数据，则后面的123个目标配置无效）,任务群组中子任务选取方式（1，系统随机选取1个任务给你；2，依次接取任务；3，玩家自由选取1个任务；4，伊甸园专用）,任务目标1：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\r\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,任务特殊信息,目标1描述,任务目标2：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\r\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,目标2特殊参数,目标2描述,任务目标3：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\r\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,目标3特殊参数,目标3描述,任务目标4,目标4特殊参数,目标4描述,任务目标5,目标5特殊参数,目标5描述,目标执行方式（1，并列执行；2，依次执行）,场景触发器：时机=时机参数=事件类型=事件参数=其他参数1=其他参数2=其他参数3|……（具体请查看说明文档，路径：rodoc\策划\配置说明文档）\r\n,是否在完成任务的时候飘任务完成的特效反馈,完成任务时飘字（不想飘不填即可）,NPC好感度（NPCID=好感度数值|NPCID=好感度数值，标识完成任务后给该NPC增加好感度，本字段暂时无效）,奖励ID（对应奖励表ID）,任务可接取时的描述,任务已完成时的描述,任务用脚本名字（Assets\Resources\CommandScript\Task路径下面配置任务对白文本名）,接任务剧本tag,交任务剧本tag,是否隐藏npc头顶符号,任务追踪界面奖励预览展示（配置道具ID，不配置则不显示）,是否屏蔽该任务（如果任务通过调整等级，暂时屏蔽了，需要在这里配置，默认0，不屏蔽）,功能开启限制（即使其他条件达成，也需要该功能开启后才会推送该任务，如果已经推送的任务，中途后台关闭了该功能，则也会在刷新任务列表时隐藏该任务）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
22001010,6001000,,失落的黄金乡,,22,2200,失落的黄金乡,,35=0,0=0,35=0,,2,,0,0,1200,2000=26,0=0,,,1,1,2,3,1,1,1,,,,,3|511051=1|25=154.10=12.22=104.38||1,,进行宝物的勘探,,,,,,,,,,,,,2,,,,,,先去领取勘测器，再去梦罗克西部寻找宝藏,在附近探索一番或许能有想不到的意外收获！,6002,Activity_22001010_accept,,0,,,,11
25000000,,,新王的号角,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,1228=7,0=0,,,0,1,2,2,1,1,1,,,,,27|4086=1|7=61.83=9.82=181.50,,查看马勒王国发布的《勇士招募令》,,,,,,,,,,,,,2,2=0=3=15205=7=64.62=9.82=198.22=167.00|4=1=22=4074,,,,1910010,卢恩盟国马勒王国希望借助冒险者的力量以特殊的方式，选拔下任的新王。应召者会获得丰厚的报酬，感兴趣的话就去普隆德拉骑士团问问吧,,6008,Activity_25000000_accept,,0,,,,27
25000010,25000000,,新王的号角,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15205=7,0=0,,,0,1,2,2,1,0,1,,,25000011|25000012,3,16|0=1|,,,,,,,,,,,,,,,2,,,,,1910020,确定了参与意愿，在马勒王国的大臣处登记，并完成相应测试,,6008,Activity_25000010_accept,,0,,,,27
25000011,,,新王的号角（1/15）|选择加入吉永王子阵营,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15205=7,15205=7,,,0,1,1,2,1,0,1,,,,,5|0=1|7=62.09=9.82=193.35,,参与殿前试炼，击败来自马勒的勇士,7|2307=1||7=62.09=9.82=193.35,,参与殿前试炼，击败来自马勒的勇士，通过武力测试,27|4087=1|7=64.57=9.82=196.56,,通过意向度选择和武力测试，去马勒大臣那里领取推荐书,,,,,,,2,4=1=1=2307|4=2=2=2307|2=0=22=4073,,,,1910030,,询问马勒王国大臣后面要去哪里做什么,6008,Activity_25000011_accept,Activity_25000011_finish,0,,,,27
25000012,,,新王的号角（1/15）|选择加入克勒亚王子阵营,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15205=7,15205=7,,,0,1,1,2,1,0,1,,,,,5|0=1|7=62.09=9.82=193.35,,参与殿前试炼，击败来自马勒的勇士,7|2307=1||7=62.09=9.82=193.35,,参与殿前试炼，击败来自马勒的勇士，通过武力测试,27|4087=1|7=64.57=9.82=196.56,,通过意向度选择和武力测试，去马勒大臣那里领取推荐书,,,,,,,2,4=1=1=2307|4=2=2=2307|2=0=22=4073,,,,1910040,,询问马勒王国大臣后面要去哪里做什么,6008,Activity_25000011_accept,Activity_25000011_finish,0,,,,27
25000021,25000011,,新王的号角（2/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15206=27,15207=27,,,0,1,1,2,1,1,1,,,,,5|0=1|27=108.55=11.46=102.98=226.00,,前往皇宫走廊中央寻找隐秘的刺客,7|2308=1||27=107.94=11.46=101.5,,解决隐秘的刺客,3|200619=1|27=107.01=11.46=100.92,,捡起刺客掉落的信件,1|15207=27,Activity_25000021_exec,前往会客室，将获得的信件交给吉永王子,27|4088=1|27=131.38=11.46=71.17,,王子说你通过了忠诚度测试，这封信其实是马勒王国军官写给你的，打开并阅读信件,2,5=0=3=15206=27=112.22=11.46=109.66=189.00|3=0=4=15206|4=1=1=2308|4=2=2=2308|4=2=11=200619=1=27=107.94=11.46=101.5|4=3=12=200619=1|4=3=3=15207=27=130.08=11.46=69.88=30.00|3=0=4=15207|2=0=22=4071|4=3=14=1=0=10990,,,,1910050,前往皇宫走廊寻找王子的侍从,得知了第一位军官的考验，与王子道别,6008,Activity_25000021_accept,Activity_25000021_finish,0,,,,27
25000022,25000012,,新王的号角（2/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15206=27,15208=27,,,0,1,1,2,1,1,1,,,,,5|0=1|27=108.55=11.46=102.98=226.00,,前往皇宫走廊中央寻找隐秘的刺客,7|2308=1||27=107.94=11.46=101.5,,解决隐秘的刺客,3|200619=1|27=107.01=11.46=100.92,,捡起刺客掉落的信件,1|15208=27,Activity_25000021_exec,前往会客室，将获得的信件交给克勒亚王子,27|4088=1|27=131.38=11.46=71.17,,王子说你通过了忠诚度测试，这封信其实是马勒王国军官写给你的，打开并阅读信件,2,5=0=3=15206=27=112.22=11.46=109.66=189.00|3=0=4=15206|4=1=1=2308|4=2=2=2308|4=2=11=200619=1=27=107.94=11.46=101.5|4=3=12=200619=1|4=3=3=15208=27=130.08=11.46=69.88=30.00|3=0=4=15208|2=0=22=4071|4=3=14=1=0=10990,,,,1910060,前往皇宫走廊寻找王子的侍从,得知了第一位军官的考验，与王子道别,6008,Activity_25000021_accept,Activity_25000021_finish,0,,,,27
25000030,25000021|25000022,,新王的号角（3/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,0=0,0=0,,,0,2,2,2,1,1,1,,,,,5|0=1|7=131.73=10.79=220.24,,前往信中提到的地方寻找虔诚的信仰者,1|15209=7,Activity_25000030_exec,教堂旁有个人，询问是否是你找的那位,7|2309=1||7=135.43=10.78=220.54,,击败虔诚的信仰者，获得她的认可,,,,,,,2,1=0=4=15205|1=0=3=15209=7=138.79=10.78=220.24=281|4=1=14=1=0=10997|4=2=1=2309|4=3=2=2309,,,,1910070,,,6008,,,0,,,,27
25000040,25000030,,新王的号角（4/15）,,25,25000,ep1.0预热,40,45=0,0=0,45=0,,2,,0,0,,15209=7,0=0,,,0,1,2,2,1,1,1,,,,,5|0=1|7=167.67=10.78=207.39,,虔诚的信仰者告诉你下一个目标是前往教堂旁的墓地一位军士，他应该正在祭奠自己的战友,1|15210=7,Activity_25000040_exec,询问墓地的祭奠者，找寻信仰者所说的军士,37|3=1,,稍等片刻,5|0=1|7=148.78=9.83=195.04,,跟着忧伤的军士，换个战斗的地方,7|2310=1||7=148.78=9.83=195.04,,战胜忧伤的军士,2,1=0=4=15209|1=0=3=15210=7=172.42=10.78=218.84=86|4=1=14=1=0=10996|4=2=15=25000041|4=3=15=25000040|4=3=14=2=15210=10998|4=4=1=2310|4=4=4=15210|4=4=3=15211=7=149.8=9.83=191.81=11|2=0=2=2310,,,,1910080,已经打败了虔诚的信仰者，她似乎有话要说,,6008,Activity_25000040_accept,,0,,,,27
