Id,PreId,TogetherPreId,Name,TaskDes,Type,Chapter,ChapterName,ServerLevel,AcceptLimitBaseLevel,AcceptLimitJobLevel,PushLevel,AcceptLimitProfession,AcceptLimitSex,AcceptLimitItem,AcceptLimitIdentity,FinishLimitIdentity,FinishLimitCD,AcceptNpc,FinishNpc,ItemAfterAccept,ItemBeforeFinish,AcceptAutoPath,Accepttype,Finishtype,ShortcutShowType,FindwayType,AbandonType,DestroyType,LimitTask,CycleNumber,TargetSubTasks,TargetSubTaskChoose,Target1,SpecialMes1,TargetDes1,Target2,SpecialMes2,TargetDes2,Target3,SpecialMes3,TargetDes3,Target4,SpecialMes4,TargetDes4,Target5,SpecialMes5,TargetDes5,TargetRunType,TaskTrigger,IsReminder,FinishTips,NpcFavors,RewardID,DescAcceptable,DescCanFinish,TalkScript,TaskAcceptScriptTag,TaskFinishScriptTag,HideSymbol,AwardExhibition,IsShield,OpenSystemLimit,LocalizationArea
任务ID（主线任务：1000000—1999999；支线任务：2000000—2999999；职业任务：3000000—3999999；日常任务：4000000—4999999；周常任务：5000000—5999999；引导任务：6000000—6999999；奇遇任务：7000000—7999999；公会任务：8000000—8999999；伊甸园任务：9000000—9999999；爱神任务：10000000—10999999；伊甸园加急：11000000—11999999；冒险任务：12000000—12999999；主题副本：13000000—13999999；生活支线：14000000—14999999）,前置任务ID（任务ID|任务ID……；满足其中一个即可，是“或”的关系，可为空）,并列前置限制（任务ID|任务ID……；不仅要完成前置ID，还需要完成这个并列限制里面的所有任务才算完成所有前置，这个字段里面的id是“与”的关系，可为空）,任务名称,任务简单描述,任务类型（1，主线任务；2，支线任务；3，职业任务；4，日常任务；5，周常任务；6，引导任务；7，奇遇任务；8，公会任务；9，伊甸园任务；10，爱神任务；11，伊甸园加急；冒险任务，类型是12；副本任务，类型是13；生活支线 14；）,所属章节（注意：此字段在热更时会调用，必须配置，每章最好控制在20个任务以内，减少消耗）,章节名（可不填）,服务器等级,接取base等级限制（最低等级=最高等级；上限或者下线无限制的地方填0）,接取job等级限制（最低等级=最高等级；上限或者下线无限制的地方填0）,推送等级：推送base等级下限=推送base隐藏等级上限,职业限制（根据职业划分，填取职业ID，可填多个中间用分号隔开；0表示全职业）,性别限制（0，男；1，女；2，无限制）,接取需求道具限制（道具ID=数量|道具ID=数量;接取的时候扣除，可为空）,接取社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,交付社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,完成时间限制（单位：秒；不填表示无限制）,接取NPC（NPCid=所在场景）,交付NPC（NPCid=所在场景）,接任务获得的任务道具（道具ID=数量|道具ID=数量，可为空）,交任务需要扣除的任务道具（道具ID=数量|道具ID=数量，可为空，任务道具给的道具记得在这里回收）,接取后是否自动寻路（0.接取后不自动寻路1.接取后自动寻路）,接取形式（1：正常对话接取；2，自动接取；3，飞鸽传书）,交付形式（1：正常对话交付；2，自动交付）,快捷追踪方式（1，不可接取的时候就显示追踪；2，可接取的时候就显示追踪；3，接取之后才显示追踪）,寻路模式（1，自动寻路；2，引导提示；3，不能寻路，全靠自己找）,放弃类型（0不可放弃，1放弃任务重新开始，不保留目标进度，随机目标可再次随机目标2放弃任务后，重新接取任务，任务目标不变，任务目标的完成程度不保留3放弃任务后，重新接取任务，任务目标完成程度保留，从未完成的任务目标开始做）,销毁方式（本字段仅针对配置了接取等级上限的任务有效。1，普通销毁：已接取的过了等级段还保留；2，全部销毁：表示过了这个等级段不管接取与否，完成与否，强制删除）,限制任务（完成此处配置的任务，销毁被限制的一整章任务）,周期内可以完成多少次（表示在一个刷新周期内这个任务可以重复完成多少次，目前仅对日常任务、周常任务有效）,任务群组（用于配置子任务list，仅是父任务组要配置；如果此处有数据，则后面的123个目标配置无效）,任务群组中子任务选取方式（1，系统随机选取1个任务给你；2，依次接取任务；3，玩家自由选取1个任务；4，伊甸园专用）,任务目标1：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\r\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,任务特殊信息,目标1描述,任务目标2：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\r\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,目标2特殊参数,目标2描述,任务目标3：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\r\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,目标3特殊参数,目标3描述,任务目标4,目标4特殊参数,目标4描述,任务目标5,目标5特殊参数,目标5描述,目标执行方式（1，并列执行；2，依次执行）,场景触发器：时机=时机参数=事件类型=事件参数=其他参数1=其他参数2=其他参数3|……（具体请查看说明文档，路径：rodoc\策划\配置说明文档）\r\n,是否在完成任务的时候飘任务完成的特效反馈,完成任务时飘字（不想飘不填即可）,NPC好感度（NPCID=好感度数值|NPCID=好感度数值，标识完成任务后给该NPC增加好感度，本字段暂时无效）,奖励ID（对应奖励表ID）,任务可接取时的描述,任务已完成时的描述,任务用脚本名字（Assets\Resources\CommandScript\Task路径下面配置任务对白文本名）,接任务剧本tag,交任务剧本tag,是否隐藏npc头顶符号,任务追踪界面奖励预览展示（配置道具ID，不配置则不显示）,是否屏蔽该任务（如果任务通过调整等级，暂时屏蔽了，需要在这里配置，默认0，不屏蔽）,功能开启限制（即使其他条件达成，也需要该功能开启后才会推送该任务，如果已经推送的任务，中途后台关闭了该功能，则也会在刷新任务列表时隐藏该任务,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
2000000,12001060,,魔物驱逐,普隆德周围已经爆发了一场严重的魔物危机，一些蛰伏的魔物都有了要苏醒的迹象。与此同时，一些魔物变得狂躁不安，卢恩王国境内已经出现了多起魔物伤人的事件。为了应付魔物危机，骑士团和圣歌教会一起提供了物资作为奖励，发出了魔物驱逐的号召，号召冒险者去驱除魔物！为此，圣歌教会还特意提供了圣歌祝福。每个冒险者<color=$$Yellow$$>每天都能获得20分钟的祝福时间</color>，这段时间内击败魔物能获得<color=$$Yellow$$>多倍经验奖励</color>。,2,2000000,魔物驱逐,,999=0,0=0,999=0,0,2,,,,,10043=7,10043=7,,,1,1,2,2,1,1,,,,,,30|9=30|,,帮助骑士团驱逐魔物（击杀与自身等级相近的怪物，建议<color=#6bbfff>组队</color>别忘了开启魔物驱逐<color=#6bbfff>祝福</color>）,,,,,,,,,,,,,2,,,,,1500010,骑士团团长请求你的帮助,告诉团长，此次魔物驱逐已完成,2000,Branch_2000000_accept,,,,1,,
2000910,1004520,,项链,经历黑夜红莲之后，露克希带着众多的秘密死亡。班波说他的一位线人在调查火场发现了一枚被封印的项链，心思缜密的班波发现这项链正是露克希的物品。,2,2000100,项链,,37=0,0=0,37=0,0,2,,,,,3511=41,0=0,,,1,1,2,2,1,1,1,1006910,,,,27|4073=1|41=65.34=12.40=96.94,,查看班波给你的被封印的项链,1|3542=41,Branch_2000910_exec,去教堂偏厅找善于解咒的大祭司伊欧娜问问吧,2|1173=5|503=112.07=7.33=46.23,,击杀盗虫集齐材料，就能解开项链的咒印了,5|0=1|503=112.07=7.33=46.23,,集齐了大祭司伊欧娜要求的盗虫触角，现在回教堂交给他解开咒印吧,,,,2,4=2=18=503=112.07=7.33=46.23=263.57|4=1=16=4052|2=0=18=41=99.76=12.27=64.70=118.00,,,,1500020,班波说他有事找你帮忙，他就在教堂正厅等你,,2002,Branch_2000910_accept,,,,,,
2000920,2000910,,项链,将集齐的盗虫汁液浇筑在咒印之上，那项链上的力量便逐渐散去。打开后看到是露克希和一个白发婆婆的合影……,2,2000100,项链,,37=0,0=0,37=0,0,2,,,,,3542=41,14320=26,,,1,1,1,2,1,1,1,,,,,27|4072=1|41=108.94=12.27=66.80,,查看伊欧娜已经解封的项链,1|3511=41,Branch_2000920_exec1,去教堂正厅给班波看看这解封的项链,1|1905=26,Branch_2000920_exec2,前往梦罗克寻找照片之中的白发婆婆，去问问卫兵吧,5|0=1|26=156.00=9.91=162.25,,前往卫兵所说的点打探需要的信息,2|140083=1|26=156.00=9.91=162.25,,击败带有敌意的刺客,2,4=1=22=4051|1=0=24=2690927=41=110.43=14.07=67.94|4=1=25=2690927|4=4=14=1=0=10923|4=4=7=140083=1=26=155.47=9.91=165.65=0|2=0=8=140083=1|2=0=3=14320=26=155.91=9.91=166.46=188.21|3=0=4=14320|3=0=24=2690939=26=155.91=9.91=166.46,,,,1500030,集齐了大祭司伊欧娜要求的盗虫触角，现在回教堂交给他解开咒印吧,士兵提供的信息似乎有误，有个带有敌意的刺客突然袭击，问问他为什么这么做,2002,Branch_2000920_accept,Branch_2000920_finish,,,,,
2000930,2000920,,项链,,2,2000100,项链,,37=0,0=0,37=0,0,2,,,,,2020=26,14321=26,,,1,1,1,2,1,1,1,,,,,2|140084=5|26=164.18=9.91=186.39,,清理旅馆扰客的老鼠，换取旅馆接待员的情报,1|2020=26,Branch_2000930_exec1,如约清理了老鼠，问问旅馆接待员婆婆的信息吧,3|200595=1|26=139.10=9.91=181.89,,前往婆婆的住所调查,1|14321=26,Branch_2000930_exec2,突然和你搭话的女子是谁？,27|4012=1|26=134.48=9.91=183.29,,查看霖提供的任务记录，判断她的话是否值得相信,2,1=0=7=140084=5=26=164.42=9.91=192.10=5|4=1=8=140084=5|4=2=11=200595=1=26=139.31=9.91=182.94|4=3=12=200595=1|4=3=3=14321=26=133.68=9.91=183.94=179.61|4=3=24=2690928=26=133.68=9.91=183.94|4=4=25=2690928|2=0=22=4052|3=0=3=14322=11=51.15=1.74=112.74=153.32|1=0=25=2690939|4=3=22=4058,,,,1500040,去问问旅店的接待员吧，或许是个有效的探查渠道,突然出现的女子证明了她和露克希的身份，应该值得信任，她好像还有什么想说的,2002,Branch_2000930_accept,Branch_2000930_finish,,,,,
2000940,2000930,,项链,,2,2000100,项链,,37=0,0=0,37=0,0,2,,,,,14322=11,3511=41,,,1,1,1,2,1,1,1,,,,,2|140085=5|11=56.49=1.74=128.88,,帮助婆婆清理沿路的魔物，护送她安全通过此路段,2|140086=3|11=69.40=1.74=126.57,,击败沙漠强盗，护送婆婆安全通过此路段,1|14325=11,Branch_2000940_exec1,询问婆婆是否受到惊吓,1|14323=11,Branch_2000940_exec2,与刺客公会其他成员交接护送任务,,,,2,1=0=4=14321|1=0=3=14324=11=57.89=1.74=129.50=208.74|1=0=7=140085=5=11=57.89=1.74=129.50=5|4=1=8=140085=5|4=1=7=140086=3=11=73.21=1.74=126.26=3|4=2=8=140086=3|4=2=4=14324|4=2=4=14322|4=2=3=14323=11=96.20=1.74=135.84=304.96|4=2=3=14325=11=85.71=1.74=131.89=253.89|3=0=4=14323|3=0=4=14325|4=1=14=2=14326=10924|4=1=3=14326=11=76.50=1.74=130.72=179.87|4=2=4=14326|4=2=14=2=14326=10925,,,,1500050,去沙漠岔道和刺客公会的护送者见面交接,顺利完成了任务，去回复班波吧,2002,Branch_2000940_accept,Branch_2000940_finish,,,,,
2000010,1004690,,特殊事件调查团,特里斯坦三世近来召见班波，秘密重启了对王子之死悬案的调查，这是王国的最高机密，甚至骑士团对此也不知情，班波召集你和他最信任的心腹成立了特殊事件调查团,2,2000010,特殊事件调查团,,40=0,0=0,40=0,0,2,,,,,3511=41,14270=41,,,1,1,1,2,1,1,1,,,,,1|14270=41,Branch_2000010_exec,找到班波的心腹神官索林，开启你们的秘密调查计划,27|6099=1|41=117.10=12.27=69.73,47.8,索林给了你一本灵魂学著作，里面有调查王子死因的有用信息,,,,,,,,,,2,1=0=3=14270=41=117.59=12.27=70.18=218.26|4=2=22=6034|3=0=14=1=0=11548|3=0=3=14271=27=131.24=11.46=77.84=136.24,,,,1500060,班波忽然紧急召见你，去看看是何要事,索林想给你交代些东西,2000,Branch_2000010_accept,Branch_2000010_finish,,,,,
2000020,2000010,,特殊事件调查团,从索林以及管家了解到的线索推断，三位王子的死亡各有其蹊跷，管家声称要将一份不知真伪的密函交给你，似乎将成为解开这堆谜团的钥匙,2,2000010,特殊事件调查团,,40=0,0=0,40=0,0,2,,,,,14271=27,0=0,,,1,1,2,2,1,1,1,,,,,2|150053=3|27=135.20=11.46=75.82,,有刺客跳出想要杀人灭口，将他们全部消灭,1|14271=27,Branch_2000020_exec_1,和惊魂未定的管家交谈，继续下一步调查,1|14270=41,Branch_2000020_exec_2,将你从管家处得到的密函交给索林，分析下一步的计划,27|6100=1|41=117.10=12.27=69.73,47.8,打开密函，调查其中有价值的线索,,,,2,1=0=7=150053=3=27=135.20=11.46=75.82=2|4=1=8=150053=3|4=2=14=1=0=11549|4=4=22=6035|1=0=14=1=0=11550|1=0=15=2000020,,,,1500070,去和负责三位王子日常的管家碰面,关于这封密函听听索林的分析,2000,Branch_2000020_accept,,,,,,
2000030,2000020,,特殊事件调查团,密函未署名，但是索林声称有办法定位到信的作者目前的位置，赶紧去收集他所需要的仪式材料,2,2000010,特殊事件调查团,,40=0,0=0,40=0,0,2,,,,,14270=41,0=0,,,1,1,2,2,1,1,1,,,,,2|1023=12|10=75.21=11.62=38.10,,传送前往吉芬北部获得足量的狸猫尾巴,27|6069=1|10=75.21=11.62=38.10,,使用定向蝴蝶翅膀折回教堂,1|14270=41,Branch_2000030_exec,仪式素材收集完了，回去向索林汇报,3|201062=1|41=114.14=12.27=67.29,,帮助神官索林抛洒圣水，协助索林完成定位仪式,,,,2,1=0=4=14271|4=1=14=1=0=11551|4=3=15=20000301|4=4=24=803014=41=116.08=14.07=69.58|1=0=7=1005=6=501=68.50=1.93=149.51=3|4=1=8=1005=6|4=3=11=201062=1=41=114.14=12.27=67.29|2=0=12=201062=1|1=0=18=10=75.21=11.62=38.10=0.00|4=2=18=41=71.81=12.12=64.68=156.75,,,,1500080,索林声称自己有办法定位到写信人的位置,仪式成功了，问问索林的发现,2000,Branch_2000030_accept,,,,,,
2000040,2000030,,特殊事件调查团,索林成功的定位到信的作者的位置了，根据仪式的结果，前往弓手村找到这位关键的之人,2,2000010,特殊事件调查团,,40=0,0=0,40=0,0,2,,,,,14270=41,0=0,,,1,1,2,2,1,1,1,,,,,5|0=1|52=48.55=12.01=77.25,,前往弓手村，找到那封密函的作者,3|201063=1|52=55.49=13.38=89.31,,密函的作者倒在了路边，检查他是否还活着,27|6101=1|52=55.49=13.38=89.31,312.14,这个人只是晕过去，用清醒药剂看看能否救醒他,,,,,,,2,1=0=3=14275=52=55.44=13.38=90.28=267.14|4=1=14=1=0=11552|4=1=11=201063=1=52=55.49=13.38=89.31|4=2=12=201063=1|4=3=4=14275|4=3=3=14276=52=55.44=13.38=90.28=200|4=3=24=2691104=52=55.44=13.38=90.28|4=2=14=1=0=11554|1=0=25=803014,,,,1500090,仪式定位的结果显示写信人身处弓手村,终于救醒了昏迷的侍从，问问他发生了什么,2000,Branch_2000040_accept,,,,,,
