Id,PreId,TogetherPreId,Name,TaskDes,Type,Chapter,ChapterName,ServerLevel,AcceptLimitBaseLevel,AcceptLimitJobLevel,PushLevel,AcceptLimitProfession,AcceptLimitSex,AcceptLimitItem,AcceptLimitIdentity,FinishLimitIdentity,FinishLimitCD,AcceptNpc,FinishNpc,ItemAfterAccept,ItemBeforeFinish,AcceptAutoPath,Accepttype,Finishtype,ShortcutShowType,FindwayType,AbandonType,DestroyType,LimitTask,CycleNumber,TargetSubTasks,TargetSubTaskChoose,Target1,SpecialMes1,TargetDes1,Target2,SpecialMes2,TargetDes2,Target3,SpecialMes3,TargetDes3,Target4,SpecialMes4,TargetDes4,Target5,SpecialMes5,TargetDes5,TargetRunType,TaskTrigger,IsReminder,FinishTips,NpcFavors,RewardID,DescAcceptable,DescCanFinish,TalkScript,TaskAcceptScriptTag,TaskFinishScriptTag,HideSymbol,AwardExhibition,IsShield,OpenSystemLimit,LocalizationArea
任务ID（主线任务：1000000—1999999；支线任务：2000000—2999999；职业任务：3000000—3999999；日常任务：4000000—4999999；周常任务：5000000—5999999；引导任务：6000000—6999999；奇遇任务：7000000—7999999；公会任务：8000000—8999999；伊甸园任务：9000000—9999999；爱神任务：10000000—10999999；伊甸园加急：11000000—11999999；冒险任务：12000000—12999999；主题副本：13000000—13999999；生活支线：14000000—14999999）,前置任务ID（任务ID|任务ID……；满足其中一个即可，是“或”的关系，可为空）,并列前置限制（任务ID|任务ID……；不仅要完成前置ID，还需要完成这个并列限制里面的所有任务才算完成所有前置，这个字段里面的id是“与”的关系，可为空）,任务名称,任务简单描述,任务类型（1，主线任务；2，支线任务；3，职业任务；4，日常任务；5，周常任务；6，引导任务；7，奇遇任务；8，公会任务；9，伊甸园任务；10，爱神任务；11，伊甸园加急；冒险任务，类型是12；副本任务，类型是13；生活支线 14；）,所属章节（注意：此字段在热更时会调用，必须配置，每章最好控制在20个任务以内，减少消耗）,章节名（可不填）,服务器等级,接取base等级限制（最低等级=最高等级；上限或者下线无限制的地方填0）,接取job等级限制（最低等级=最高等级；上限或者下线无限制的地方填0）,推送等级：推送base等级下限=推送base隐藏等级上限,职业限制（根据职业划分，填取职业ID，可填多个中间用分号隔开；0表示全职业）,性别限制（0，男；1，女；2，无限制）,接取需求道具限制（道具ID=数量|道具ID=数量;接取的时候扣除，可为空）,接取社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,交付社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,完成时间限制（单位：秒；不填表示无限制）,接取NPC（NPCid=所在场景）,交付NPC（NPCid=所在场景）,接任务获得的任务道具（道具ID=数量|道具ID=数量，可为空）,交任务需要扣除的任务道具（道具ID=数量|道具ID=数量，可为空，任务道具给的道具记得在这里回收）,接取后是否自动寻路（0.接取后不自动寻路1.接取后自动寻路）,接取形式（1：正常对话接取；2，自动接取；3，飞鸽传书；4.公会宴会用，任务不处理逻辑，系统请求任务）,交付形式（1：正常对话交付；2，自动交付）,快捷追踪方式（1，不可接取的时候就显示追踪；2，可接取的时候就显示追踪；3，接取之后才显示追踪）,寻路模式（1，自动寻路；2，引导提示；3，不能寻路，全靠自己找）,放弃类型（0不可放弃，1放弃任务重新开始，不保留目标进度，随机目标可再次随机目标2放弃任务后，重新接取任务，任务目标不变，任务目标的完成程度不保留3放弃任务后，重新接取任务，任务目标完成程度保留，从未完成的任务目标开始做）,销毁方式（本字段仅针对配置了接取等级上限的任务有效。1，普通销毁：已接取的过了等级段还保留；2，全部销毁：表示过了这个等级段不管接取与否，完成与否，强制删除）,任务限制销毁,周期内可以完成多少次（表示在一个刷新周期内这个任务可以重复完成多少次，目前仅对日常任务、周常任务有效）,任务群组（用于配置子任务list，仅是父任务组要配置；如果此处有数据，则后面的123个目标配置无效）,任务群组中子任务选取方式（1，系统随机选取1个任务给你；2，依次接取任务；3，玩家自由选取1个任务；4，伊甸园专用）,任务目标1：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\r\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,任务特殊信息,目标1描述,任务目标2：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\r\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,目标2特殊参数,目标2描述,任务目标3：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\r\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,目标3特殊参数,目标3描述,任务目标4,目标4特殊参数,目标4描述,任务目标5,目标5特殊参数,目标5描述,目标执行方式（1，并列执行；2，依次执行）,场景触发器：时机=时机参数=事件类型=事件参数=其他参数1=其他参数2=其他参数3|……（具体请查看说明文档，路径：rodoc\策划\配置说明文档）\r\n,是否在完成任务的时候飘任务完成的特效反馈,完成任务时飘字（不想飘不填即可）,NPC好感度（NPCID=好感度数值|NPCID=好感度数值，标识完成任务后给该NPC增加好感度，本字段暂时无效）,奖励ID（对应奖励表ID）,任务可接取时的描述,任务已完成时的描述,任务用脚本名字（Assets\Resources\CommandScript\Task路径下面配置任务对白文本名）,接任务剧本tag,交任务剧本tag,NPC显示头顶符号。不配置则默认为0。若配置为1则该任务NPC不显示头顶符号。,任务追踪界面奖励预览展示（配置道具ID，不配置则不显示）,是否屏蔽该任务（如果任务通过调整等级，暂时屏蔽了，需要在这里配置，默认0，不屏蔽）,功能开启限制（即使其他条件达成，也需要该功能开启后才会推送该任务，如果已经推送的任务，中途后台关闭了该功能，则也会在刷新任务列表时隐藏该任务）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
28001010,,,救治伤员,,28,28001,城防部署,,0=0,0=0,0=0,0,2,,,,,0=0,61780=7,,,1,2,1,3,1,1,1,,,,,1|3510=41,Explore_28001010_exec,教会正在招募人手协助治疗伤员,3|200430=1|41=100.47=12.13=69.46,,为受伤的战士包扎伤口,3|200431=1|41=103.66=12.13=69.51,,为受伤的战士上药,1|61710=41,Explore_28001010_exec2,已经处理好伤员的伤势了，向神官回报吧,3|200432=1|41=104.61=12.13=62.21,,为这位英勇牺牲的战士祈祷,2,1=0=3=61710=41=103.72=12.13=62.59=177.00|1=0=3=61719=41=100.47=12.13=69.46=147.00|1=0=3=61720=41=103.66=12.13=69.51=147.00|1=0=3=61721=41=103.68=12.13=60.31=31.00|4=1=11=200430=1=41=100.47=12.13=69.46|4=2=11=200431=1=41=103.66=12.13=69.51|4=2=12=200430=1|4=3=12=200431=1|4=4=11=200432=1=41=104.61=12.13=62.21|4=4=4=61721|4=4=3=61722=41=103.68=12.13=60.31=31.00|4=5=12=200432=1|3=0=4=61710|3=0=4=61719|3=0=4=61720|3=0=4=61722,,,,8760010,,事情处理完毕，回去向威尔士报告吧,28001,,Evil_28001010_finish,,,,,9
28001020,,,安抚民众,,28,28001,城防部署,,0=0,0=0,0=0,0,2,,,,,0=0,61780=7,,,1,2,1,3,1,1,1,,,,,1|1007=7,Explore_28001020_exec,城中的卫兵正在寻求帮助,1|1235=7,Explore_28001020_exec2,稳定商贩的情绪,1|1264=7,Explore_28001020_exec3,稳定居民的情绪,1|1056=7,Explore_28001020_exec4,稳定女孩的情绪,,,,2,,,,,8760010,,事情处理完毕，回去向威尔士报告吧,28001,,Evil_28001020_finish,,,,,9
28001030,,,补充武器,,28,28001,城防部署,,0=0,0=0,0=0,0,2,,,,,0=0,61780=7,,,1,2,1,3,1,1,1,,,,,1|61780=7,Explore_28001040_exec,威尔士需要你的帮助,1|3484=24,Explore_28001040_exec2,前往装备店询问骑士团订购的装备,3|200437=1|24=77.77=10.55=62.68,,将打造好的装备运送到北门,1|61712=5,Explore_28001040_exec3,将装备交给骑士团小队长,,,,2,4=2=11=200437=1=24=77.77=10.55=62.68|4=3=12=200437=1,,,,8760010,,事情处理完毕，回去向威尔士报告吧,28001,,Evil_28001040_finish,,,,,9
28001040,,,制造圣水,,28,28001,城防部署,,0=0,0=0,0=0,0,2,,,,,0=0,61780=7,,,1,2,1,3,1,1,1,,,,,1|61724=41,Explore_28001050_exec,教会正在招募人手协助,3|200438=1|41=118.08=12.13=58.58,,将一旁用完的圣水瓶整理好,1|61724=41,Explore_28001050_exec2,将空瓶带给神官,3|200439=1|41=104.16=12.13=60.93=224.00,,将圣水交给一旁的伤员,,,,2,1=0=3=61724=41=103.72=12.13=62.59=177.00|1=0=3=61725=41=100.47=12.13=69.46=147.00|1=0=3=61726=41=103.66=12.13=69.51=147.00|1=0=3=61727=41=103.68=12.13=60.31=31.00|4=1=11=200438=1=41=118.08=12.13=58.58|4=2=12=200438=1|4=3=11=200439=1=41=104.16=12.13=60.93=224.00|4=4=12=200439=1|4=4=14=2=61725=10615|3=0=4=61724|3=0=4=61725|3=0=4=61726|3=0=4=61727,,,,8760010,,事情处理完毕，回去向威尔士报告吧,28001,,Evil_28001050_finish,,,,,9
28001050,,,张贴告示,,28,28001,城防部署,,0=0,0=0,0=0,0,2,,,,,0=0,61780=7,,,1,2,1,3,1,1,1,,,,,1|1191=7,Explore_28001060_exec,城中的卫兵正在寻求帮助,3|200440=1|7=80.66=9.82=205.54,,将骑士团的告示张贴到公告板上,1|61728=7,Explore_28001060_exec2,安抚惊慌的民众,1|1191=7,Explore_28001060_exec3,将这里发生的事告知卫兵,,,,2,4=1=11=200440=1=7=80.66=9.82=205.54|4=2=12=200440=1|4=2=3=61728=7=81.17=9.82=194.98=2.00|4=2=3=61729=7=70.14=9.82=200.00=55.00|4=2=3=61730=7=82.78=9.82=204.37=289.00|4=2=14=2=61728=10591|3=0=4=61728|3=0=4=61729|3=0=4=61730,,,,8760010,,事情处理完毕，回去向威尔士报告吧,28001,,Evil_28001060_finish,,,,,9
28001060,,,教训奸商,,28,28001,城防部署,,0=0,0=0,0=0,0,2,,,,,0=0,61780=7,,,1,2,1,3,1,1,1,,,,,1|61780=7,Explore_28001070_exec,威尔士需要你的帮助,1|61731=7,Explore_28001070_exec2,前往市场寻找肆意涨价的商人,2|120081=5|7=65.15=9.82=46.67,,击败商人的打手,1|61731=7,Explore_28001070_exec3,再次与这位商人交涉,,,,2,1=0=3=61731=7=70.06=9.82=46.92=279.00|4=2=7=120081=5=7=65.15=9.82=46.67=5|4=3=8=120081=5|4=3=14=2=61731=10592|3=0=4=61731,,,,8760010,,事情处理完毕，回去向威尔士报告吧,28001,,Evil_28001070_finish,,,,,9
28001070,,,拦截信件,,28,28001,城防部署,,0=0,0=0,0=0,0,2,,,,,0=0,61780=7,,,1,2,1,3,1,1,1,,,,,1|61780=7,Explore_28005060_exec,威尔士需要你的帮助,3|200483=1|7=63.56=10.80=139.73,,前往城中间谍据点搜查,2|120084=5|7=63.00=10.80=145.64,,击败四周的他国间谍,3|200484=1|7=63.00=10.80=145.64,,捡起间谍掉落的信件,,,,2,4=1=11=200483=1=7=63.56=10.80=139.73|4=2=12=200483=1|4=2=14=3=120084=10596|4=2=7=120084=5=7=63.00=10.80=145.64=5|4=3=8=120084=5|4=3=11=200484=1=7=63.00=10.80=145.64|4=4=12=200484=1|4=4=14=1=0=10597,,,,8760010,,事情处理完毕，回去向威尔士报告吧,28001,,Evil_28005060_finish,,,,,9
28005010,,,调查污染,,28,28002,邪能调查,,0=0,0=0,0=0,0,2,,,,,0=0,61780=7,,,1,2,1,3,1,1,1,,,,,1|61712=5,Explore_28005020_exec,前线需要支援，快赶往协助,5|0=1|5=146.23=10.01=146.40,,前往邪能污染地采集样本,2|15201=8|5=149.42=10.01=148.98,,击败四周的邪能波利,3|200435=1|5=153.23=10.01=151.79,,采取污染地样本,1|61712=5,Explore_28005020_exec2,将采集到的污染样本带给骑士团小队长,2,4=1=11=200435=1=5=153.23=10.01=151.79|4=2=14=1=0=10590|4=5=12=200435=1,,,,8760010,,事情处理完毕，回去向威尔士报告吧,28001,,Evil_28005020_finish,,,,,9
28005020,,,失踪的战士,,28,28002,邪能调查,,0=0,0=0,0=0,0,2,,,,,0=0,61780=7,,,1,2,1,3,1,1,1,,,,,1|61781=7,Explore_28001030_exec,教会正在招募人手协助,3|200433=1|5=69.20=13.08=146.09,,寻找失踪的战士,1|61711=7,Explore_28001030_exec2,将战士的遗体带回教会,3|200434=1|7=173.89=10.78=202.38=95.00,,向牺牲的战士献上敬意,,,,2,1=0=11=200433=1=5=69.20=13.08=146.09|4=1=3=61711=7=171.98=10.78=202.42=78.00|4=3=12=200433=5|4=3=11=200434=1=7=173.89=10.78=202.38|4=4=12=200434=1|3=0=4=61711,,,,8760010,,事情处理完毕，回去向威尔士报告吧,28001,,Evil_28001030_finish,,,,,9
