Id,PreId,TogetherPreId,Name,TaskDes,Type,Chapter,ChapterName,ServerLevel,AcceptLimitBaseLevel,AcceptLimitJobLevel,PushLevel,AcceptLimitProfession,AcceptLimitSex,AcceptLimitItem,AcceptLimitIdentity,FinishLimitIdentity,FinishLimitCD,AcceptNpc,FinishNpc,ItemAfterAccept,ItemBeforeFinish,AcceptAutoPath,Accepttype,Finishtype,ShortcutShowType,FindwayType,AbandonType,DestroyType,LimitTask,CycleNumber,TargetSubTasks,TargetSubTaskChoose,Target1,SpecialMes1,TargetDes1,Target2,SpecialMes2,TargetDes2,Target3,SpecialMes3,TargetDes3,Target4,SpecialMes4,TargetDes4,Target5,SpecialMes5,TargetDes5,TargetRunType,TaskTrigger,IsReminder,FinishTips,NpcFavors,RewardID,DescAcceptable,DescCanFinish,TalkScript,TaskAcceptScriptTag,TaskFinishScriptTag,HideSymbol,AwardExhibition,IsShield,OpenSystemLimit,LocalizationArea
任务ID（主线：1000000~1999999）,前置任务ID,并列前置限制（任务ID|任务ID……；不仅要完成前置ID，还需要完成这个并列限制ID的任务才算完成所有前置）,任务名称,任务简单描述,任务类型（1，主线任务；2，支线任务；3，职业任务；4，日常任务；5，周环任务；6，引导任务；7，奇遇任务；8，公会任务；9，伊甸园任务；10，爱神任务；11，伊甸园加急）,所属章节（注意：此字段在热更时会调用，必须配置，每章最好控制在20个任务以内，减少消耗）,章节名（可不填）,服务器等级,接取base等级限制（最低等级=最高等级）,接取job等级限制（最低等级=最高等级）,推送等级：推送base等级下限=推送base隐藏等级上限,职业限制（根据职业划分，填取职业ID，可填多个中间用分号隔开；0表示全职业）,性别限制（0，男；1，女；2，无限制）,接取需求道具限制（道具ID=数量|道具ID=数量;接取的时候扣除，可为空）,接取社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,交付社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,完成时间限制（单位：秒；不填表示无限制）,接取NPC（NPCid=所在场景）,交付NPC（NPCid=所在场景）,接任务获得的任务道具（道具ID=数量|道具ID=数量，可为空）,交任务需要扣除的任务道具（道具ID=数量|道具ID=数量，可为空）,接取后是否自动寻路（0.接取后不自动寻路1.接取后自动寻路）,接取形式（1：正常对话接取；2，自动接取；3，飞鸽传书）,交付形式（1：正常对话交付；2，自动交付）,快捷追踪方式（1，不可接取的时候就显示追踪；2，可接取的时候就显示追踪；3，接取之后才显示追踪）,寻路模式（1，自动寻路；2，引导提示；3，不能寻路，全靠自己找）,放弃类型（0不可放弃，1放弃任务重新开始，不保留目标进度，随机目标可再次随机目标2放弃任务后，重新接取任务，任务目标不变，任务目标的完成程度不保留3放弃任务后，重新接取任务，任务目标完成程度保留，从未完成的任务目标开始做）,销毁方式（本字段仅针对配置了接取等级上限的任务有效。1，普通销毁：已接取的过了等级段还保留；2，全部销毁：表示过了这个等级段不管接取与否，完成与否，强制删除）,任务限制销毁,周期内可以完成多少次（表示在一个刷新周期内这个任务可以重复完成多少次，目前仅对日常任务、周常任务有效）,任务群组（用于配置子任务list，如果此处有数据，则后面的123个目标配置无效）,任务群组中子任务选取方式（1，系统随机选取1个任务给你；2，依次接取任务；3，玩家自由选取1个任务；4，伊甸园专用）,任务目标1：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z\r\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,任务特殊信息,目标1描述,任务目标2,目标2特殊参数,目标2描述,任务目标3,目标3特殊参数,目标3描述,任务目标4,目标4特殊参数,目标4描述,任务目标5,目标5特殊参数,目标5描述,目标执行方式（1，并列执行；2，依次执行）,场景触发器：时机=时机参数=事件类型=事件参数=其他参数1=其他参数2=其他参数3|……（具体配置方式请查看“Comments_task配置字段说明”sheet）\r\n,完成反馈是否在完成任务的时候飘,完成任务时飘字（不想飘不填即可）,NPC好感度（NPCID=好感度数值|NPCID=好感度数值，标识完成任务后给该NPC增加好感度）,奖励ID,任务可接取时的描述,任务已完成时的描述,任务用脚本名字（Assets\Resources\CommandScript\Task路径下面配置任务对白文本名）,接任务剧本tag,交任务剧本tag,是否隐藏npc头顶符号,任务追踪界面奖励预览展示（配置道具ID，不配置则不显示）,是否屏蔽该任务（如果任务通过调整等级，暂时屏蔽了，需要在这里配置，默认0，不屏蔽）,功能开启限制（即使其他条件达成，也需要该功能开启后才会推送该任务，如果已经推送的任务，中途后台关闭了该功能，则也会在刷新任务列表时隐藏该任务）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
20001010,,,结识佣兵,,30,20010,佣兵引导,,20=0,0=0,20=0,0,2,,0,,,10131=15,,,,0,1,2,2,1,1,1,,,,,1|10132=15,Mercenary_20001010_accept01,找团长旁边的导师详细了解一下佣兵吧,,,,,,,,,,,,,2,4=1=19=122,,,,,乐园团团长似乎有事对你说,,20010,Mercenary_20001010_accept,,,,,,16
20000310,,,星光剑士雷金,你来到伊斯鲁得，发现最近城里有些人心惶惶，于是找到当地士兵询问发生了什么事,20,20003,剑士佣兵男,,28=0,0=0,28=0,0,2,,0,,,1324=21,50246=21,,,0,1,1,3,1,1,1,,,,,1|1382=21,Adventure_20000310_exec_1,找到骑士团报名加入治安小队,1|50245=21,Adventure_20000310_exec_2,一个青年拦住了你，询问他有什么事,5|0=1|21=120.39=17.18=135.72,,与雷金一起前往魔物清剿地,2|150076=5|21=111.81=17.29=135.89,,先消灭这些魔物吧,,,,2,4=1=3=50245=21=140.32=17.29=158.21=320.28|1=0=22=5031|4=2=4=50245|4=2=10=3530301|4=3=23=3530301|4=3=3=50246=21=114.61=17.29=138.24=259.62|4=3=7=150076=5=21=111.81=17.29=135.89=4|4=4=8=150076=5|4=3=14=1=0=11086|4=2=3=50256=21=111.79=17.29=137.89=160.00|4=4=4=50256|4=4=3=50257=21=111.79=17.29=137.89=160.00|4=4=14=1=0=11088|3=0=14=1=0=11089,,,,1400010,最近伊斯鲁得城内出现了一些状况，去打听看看发生了什么事,雷金没有出手帮忙，你十分奇怪雷金的行为，问问他原因,20003,Adventure_20000310_accept,Adventure_20000310_finish,,,,,
20000320,20000310,,星光剑士雷金,得知城中受到魔物侵扰的你，报名成为了魔物清剿小队的一员，与雷金一起赶往清剿现场清剿魔物,20,20003,剑士佣兵男,,28=0,0=0,28=0,0,2,,0,,,50257=21,50249=21,,,1,1,1,2,1,1,1,,,,,5|0=1|21=102.00=17.29=165.07,,继续去赶往魔物清剿地,7|2214=1||21=98.82=17.29=165.63,,帮助魔物清剿小队消灭魔物,,,,,,,,,,2,1=0=4=50246|4=1=3=50247=21=101.18=17.29=168.30=264.77|1=0=3=50249=21=94.87=17.29=165.70=57.40|1=0=3=50250=21=96.87=17.29=169.32=119.99|1=0=3=50251=21=99.31=17.29=164.93=352.34|1=0=10=3530401|4=1=23=3530401|4=1=15=20000320|1=0=5=1357|1=0=5=1358|1=0=7=1047=5=21=98.10=17.29=167.11=4|4=2=8=1047=5|1=0=4=50257|4=1=1=2214|4=2=2=2214,,,,1400020,去关心一下落单的成员有没有事,消灭了这些扰城的魔物，小队成员开始讨论起了雷金,20003,Adventure_20000320_accept,Adventure_20000320_finish,,,,,
20000330,20000320,,星光剑士雷金,雷金的小心思被小队成员发现，但雷金确实帮助了大家，雷金感谢你为他说话，告诉了你佣兵相关的事宜,20,20003,剑士佣兵男,,28=0,0=0,28=0,0,2,,0,,,50247=21,50247=21,,,1,1,1,2,1,1,1,,,,,27|5043=1|21=99.53=17.29=168.16,45,查看雷金出示的战力表,1|50251=21,Adventure_20000330_exec_1,看看他们还有什么话要说,,,,,,,,,,2,4=2=4=50249|4=2=4=50250|4=2=4=50251|4=1=22=5032|4=5=22=5033|3=0=4=50247|3=0=19=122,,,,1400030,雷金似乎不服，询问雷金的为什么这么做,误会已经解除了，雷金似乎还有什么话要说,20003,Adventure_20000330_accept,Adventure_20000330_finish,,,,,
20000210,,,傲娇弓手申智,去弓手村找到弓手佣兵的负责人，让他给你介绍一位合适的弓手佣兵吧！,20,20002,弓箭手佣兵,,20=0,0=0,20=0,0,2,,0,,,5704=52,0=0,,,1,1,2,2,1,1,1,,,,,5|0=1|52=71.84=10.38=64.23,,去找到申智说明自己的来意,3|200810=1|52=68.05=10.38=63.61,,捡起地上的箭袋看看,1|50230=52,Adventure_20000210_exec,找到申智，把路上捡到的箭袋还给她,27|5041=1|52=69.97=13.38=78.63,,把箭袋归还给申智,,,,2,1=0=11=200810=1=52=66.97=10.38=63.84|4=2=12=200810=1|4=1=14=1=0=11081|4=2=14=1=0=11082|1=0=3=50230=52=70.85=13.38=78.88=332.45,,,,1400040,去弓手村寻找一位合适的弓手佣兵吧,,20002,Adventure_20000210_accept,,,,,,
20000220,20000210,,傲娇弓手申智,申智是一个十分傲娇的人，非要打赢她证明自己的实力才能获得她的认可，只好先接受申智的挑战了,20,20002,弓箭手佣兵,,20=0,0=0,20=0,0,2,,0,,,50230=52,50230=52,,,1,1,1,2,1,1,1,,,,,7|2218=1||52=70.45=13.38=79.62,,接受申智的测试，向她展示你的实力,,,,,,,,,,,,,2,3=0=3=50233=52=65.39=13.38=78.56=92.43|1=0=1=2218|2=0=2=2218,,,,1400050,申智对自己的箭袋不屑一顾，先告知她你的来意吧,申智被你打败，看起来十分沮丧，安慰一下她吧,20002,Adventure_20000220_accept,Adventure_20000220_finish,,,,,
20000230,20000220,,傲娇弓手申智,被我打败的申智有些沮丧，说起了她的心事，骄傲面具下的她有些令人心疼,20,20002,弓箭手佣兵,,20=0,0=0,20=0,0,2,,0,,,50233=52,50238=52,,,1,1,1,2,1,1,1,,,,,5|0=1|52=52.02=13.38=87.41,,赶往报信员说的魔物暴动现场看看,2|150075=5|52=43.87=13.38=84.97,,与申智一起消灭这些魔物,,,,,,,,,,2,4=1=4=50233|1=0=4=50230|1=0=10=3530201|4=1=23=3530201|4=1=3=50231=52=44.30=13.38=89.87=150.39|1=0=3=50234=52=42.08=13.38=83.44=29.05|1=0=3=50235=52=41.87=13.38=87.61=142.89|1=0=3=50236=52=43.53=13.38=86.06=72.30|4=2=4=50234|4=2=4=50235|4=2=4=50236|4=2=3=50237=52=42.08=13.38=83.44=29.05|4=2=3=50238=52=41.87=13.38=87.61=142.89|4=2=3=50239=52=43.53=13.38=86.06=72.30|3=0=4=50237|3=0=4=50238|3=0=4=50239|4=1=14=1=0=11083|4=1=7=150075=5=52=46.89=13.30=87.87=3|4=2=8=150075=5|4=2=4=50231|4=2=3=50240=52=44.30=13.38=89.87=150.39,,,,1400060,原来骄傲面具下的申智，也有难以排解的忧伤,与申智一起消灭了魔物，拯救了村民，村民们似乎有话要说,20002,Adventure_20000230_accept,Adventure_20000230_finish,,,,,
20000240,20000230,,傲娇弓手申智,帮助了村民的申智面对大家的夸奖，显得有些局促，但因为这件事，申智心中的问题慢慢有了答案,20,20002,弓箭手佣兵,,20=0,0=0,20=0,0,2,,0,,,50240=52,50240=52,,,1,1,1,2,1,1,1,,,,,3|200811=1|52=88.66=13.38=42.97,,帮助申智去寻找修补箭袋的皮革制品,27|5042=1|52=45.59=13.38=88.16,,将皮革交给申智,37|2=1,,等待申智修复好箭袋,,,,,,,2,1=0=11=200811=1=52=89.33=13.38=42.77|4=1=12=200811=1|4=1=14=1=0=11084|4=3=14=2=50240=11085|3=0=4=50240|3=0=19=122,,,,1400070,村民们的话似乎给了申智一些思考，申智陷入了沉思,申智修补好了箭袋并找到了弓手的意义，看起来对接下来的佣兵历练充满兴趣。,20002,Adventure_20000240_accept,Adventure_20000240_finish,,,,,
20000510,,,爱心服事莉莉拉,普隆德拉的服事佣兵负责人向你推荐一位服事佣兵。如果需要的话，就去看看吧！,20,20005,服事佣兵,,28=0,0=0,28=0,0,2,,0,,,3542=41,1248=7,,,1,1,1,3,1,1,1,,,,,5|0=1|7=51.19=10.00=50.12,,去集市上碰碰运气，看看能不能找到莉莉拉,1|1244=7,Mercenary_20000510_exec_1,找附近的摊主打听一下,3|200477=1|7=46.15=9.82=44.44,,这里有有一些脚印,5|0=1|7=44.09=10.00=57.90,,跟上脚印去看看,,,,2,4=2=11=200477=1=7=45.73=10.00=45.99|4=3=12=200477=1|4=1=14=1=0=10475|4=3=14=1=0=10476|1=0=3=50283=7=44.45=10.00=71.72=180|4=2=14=1=0=11097|2=0=14=1=0=11099,,,,1400080,可以拥有一位服事做为你的佣兵啦！快去看看吧！,脚印消失了，跟周围的路人打听一下,20050,Mercenary_20000510_accept,Mercenary_20000510_finish,,,,,
