Id,PreId,TogetherPreId,Name,TaskDes,Type,Chapter,ChapterName,ServerLevel,AcceptLimitBaseLevel,AcceptLimitJobLevel,PushLevel,AcceptLimitProfession,AcceptLimitSex,AcceptLimitItem,AcceptLimitIdentity,FinishLimitIdentity,FinishLimitCD,AcceptNpc,FinishNpc,ItemAfterAccept,ItemBeforeFinish,AcceptAutoPath,Accepttype,Finishtype,ShortcutShowType,FindwayType,AbandonType,DestroyType,LimitTask,CycleNumber,TargetSubTasks,TargetSubTaskChoose,Target1,SpecialMes1,TargetDes1,Target2,SpecialMes2,TargetDes2,Target3,SpecialMes3,TargetDes3,Target4,SpecialMes4,TargetDes4,Target5,SpecialMes5,TargetDes5,TargetRunType,TaskTrigger,IsReminder,FinishTips,NpcFavors,RewardID,DescAcceptable,DescCanFinish,TalkScript,TaskAcceptScriptTag,TaskFinishScriptTag,HideSymbol,AwardExhibition,IsShield,OpenSystemLimit,LocalizationArea
任务ID（主线任务：1000000—1999999；支线任务：2000000—2999999；职业任务：3000000—3999999；日常任务：4000000—4999999；周常任务：5000000—5999999；引导任务：6000000—6999999；奇遇任务：7000000—7999999；公会任务：8000000—8999999；伊甸园任务：9000000—9999999；爱神任务：10000000—10999999；伊甸园加急：11000000—11999999；冒险任务：12000000—12999999；主题副本：13000000—13999999；生活支线：14000000—14999999）,前置任务ID（任务ID|任务ID……；满足其中一个即可，是“或”的关系，可为空）,并列前置限制（任务ID|任务ID……；不仅要完成前置ID，还需要完成这个并列限制里面的所有任务才算完成所有前置，这个字段里面的id是“与”的关系，可为空）,任务名称,任务简单描述,任务类型（1，主线任务；2，支线任务；3，职业任务；4，日常任务；5，周常任务；6，引导任务；7，奇遇任务；8，公会任务；9，伊甸园任务；10，爱神任务；11，伊甸园加急；冒险任务，类型是12；副本任务，类型是13；生活支线 14；）,所属章节（注意：此字段在热更时会调用，必须配置，每章最好控制在20个任务以内，减少消耗）,章节名（可不填）,服务器等级,接取base等级限制（最低等级=最高等级；上限或者下线无限制的地方填0）,接取job等级限制（最低等级=最高等级；上限或者下线无限制的地方填0）,推送等级：推送base等级下限=推送base隐藏等级上限,职业限制（根据职业划分，填取职业ID，可填多个中间用分号隔开；0表示全职业）,性别限制（0，男；1，女；2，无限制）,接取需求道具限制（道具ID=数量|道具ID=数量;接取的时候扣除，可为空）,接取社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,交付社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,完成时间限制（单位：秒；不填表示无限制）,接取NPC（NPCid=所在场景）,交付NPC（NPCid=所在场景）,接任务获得的任务道具（道具ID=数量|道具ID=数量，可为空）,交任务需要扣除的任务道具（道具ID=数量|道具ID=数量，可为空，任务道具给的道具记得在这里回收）,接取后是否自动寻路（0.接取后不自动寻路1.接取后自动寻路）,接取形式（1：正常对话接取；2，自动接取；3，飞鸽传书）,交付形式（1：正常对话交付；2，自动交付）,快捷追踪方式（0，在所有任务界面里都不显示1，不可接取的时候就显示追踪；2，可接取的时候就显示追踪；3，接取之后才显示追踪）,寻路模式（1，自动寻路；2，引导提示；3，不能寻路，全靠自己找）,放弃类型（0不可放弃，1放弃任务重新开始，不保留目标进度，随机目标可再次随机目标2放弃任务后，重新接取任务，任务目标不变，任务目标的完成程度不保留3放弃任务后，重新接取任务，任务目标完成程度保留，从未完成的任务目标开始做）,销毁方式（本字段仅针对配置了接取等级上限的任务有效。1，普通销毁：已接取的过了等级段还保留；2，全部销毁：表示过了这个等级段不管接取与否，完成与否，强制删除）,任务限制销毁,周期内可以完成多少次（表示在一个刷新周期内这个任务可以重复完成多少次，目前仅对日常任务、周常任务有效）,任务群组（用于配置子任务list，仅是父任务组要配置；如果此处有数据，则后面的123个目标配置无效）,任务群组中子任务选取方式（1，系统随机选取1个任务给你；2，依次接取任务；3，玩家自由选取1个任务；4，伊甸园专用）,任务目标1：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,任务特殊信息（1：非打怪类回收任务）,目标1描述,任务目标2：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,目标2特殊参数,目标2描述,任务目标3：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z；具体请查看说明文档，路径：rodoc\策划\配置说明文档\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,目标3特殊参数,目标3描述,任务目标4,目标4特殊参数,目标4描述,任务目标5,目标5特殊参数,目标5描述,目标执行方式（1，并列执行；2，依次执行）,场景触发器：时机=时机参数=事件类型=事件参数=其他参数1=其他参数2=其他参数3|……（具体请查看说明文档，路径：rodoc\策划\配置说明文档）\n,是否在完成任务的时候飘任务完成的特效反馈,完成任务时飘字（不想飘不填即可）,NPC好感度（NPCID=好感度数值|NPCID=好感度数值，标识完成任务后给该NPC增加好感度，本字段暂时无效）,奖励ID（对应奖励表ID）,任务可接取时的描述,任务已完成时的描述,任务用脚本名字（Assets\Resources\CommandScript\Task路径下面配置任务对白文本名）,接任务剧本tag,交任务剧本tag,NPC显示头顶符号。不配置则默认为0。若配置为1则该任务NPC不显示头顶符号。,任务追踪界面奖励预览展示（配置道具ID，不配置则不显示）,是否屏蔽该任务（如果任务通过调整等级，暂时屏蔽了，需要在这里配置，默认0，不屏蔽）,功能开启限制（即使其他条件达成，也需要该功能开启后才会推送该任务，如果已经推送的任务，中途后台关闭了该功能，则也会在刷新任务列表时隐藏该任务）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
16010101,,,接委托啦I,Base等级达到16级开启冒险委托，摆脱了一成不变的日常，每天可依据喜好自由选择委托，是获取经验、升级的不二之选,16,16000,,,1=0,0=0,1=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020101=1|,2=117=0,累计完成2次势力委托任务,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010102,,,装扮收藏,"完成主线任务""冒险者的衣橱""即可开启衣橱功能，在衣橱中进行装扮，是不会改变人物属性的哦！",16,16000,,,1=0,0=0,1=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020102=1|,2=106=0,在衣橱中存入任意2件配饰,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010103,,,可靠的伙伴,"Base等级到达20级后，完成佣兵任务""傲娇弓手申智""即可开启佣兵功能，在佣兵界面中可设置出战和培养佣兵能力，是最可靠的伙伴哟！",16,16000,,,1=0,0=0,1=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020103=1|,2=122=0,成功设置1名佣兵伙伴出战,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010104,,,恶魔宝藏,前往普隆德拉南门、西门等地方，尝试解救被困的小恶魔，有几率开启恶魔宝藏，获得小恶魔的报恩奖励，快去解救它们吧！,16,16000,,,1=0,0=0,1=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020104=1|,2=117=0,累计开启10次恶魔宝藏,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010105,,,波利团,米德加兹大陆上隐藏着许多波利精灵，Base等级达到25级之后，即可寻找到它们，获得稀有道具奖励！,16,16000,,,1=0,0=0,1=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020105=1|,2=11403=0,寻找1只波利精灵,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010106,,,成就等级I,在日常冒险过程中，达成指定目标即可解锁成就，获得成就点数。成就点数达到指定值，即可提升成就等级，解锁特权。,16,16000,,,1=0,0=0,1=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020106=1|,2=113=0,成就等级达到【初心者II】,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010107,,,使用卡片,Base等级达到23级后，完成主线任务“获取卡片变强”即可解锁插卡功能。为已穿戴的装备插卡，可大幅提高攻击和防御能力哦！,16,16000,,,1=0,0=0,1=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020107=1|24=61.51=10.58=73.55=355.00,,为任意1把武器插1张卡片,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010108,,,锻造武器I,前往普隆德拉的装备商店，找到装备大师罗布托，请教如何锻造武器，锻造高等级武器可大幅提升攻击能力哦！,16,16000,,,1=0,0=0,1=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020108=1|24=74.33=10.55=65.97=64.60,,锻造1件30级武器,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010201,,,接委托啦II,Base等级达到16级开启冒险委托，摆脱了一成不变的日常，每天可依据喜好自由选择委托，是获取经验、升级的不二之选,16,16000,,,30=0,0=0,30=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020201=1|,2=117=0,累计完成3次势力委托任务,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010202,,,锻造防具I,前往普隆德拉的装备商店，找到装备大师罗必托，请教如何锻造防具，锻造高等级防具可大幅提升防御能力哦！,16,16000,,,30=0,0=0,30=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020202=1|24=71.87=10.55=66.36=21.00,,锻造1件30级防具,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010203,,,装备精炼I,前往普隆德拉的装备商店，找到装备精炼师忽克连，请教如何精炼装备，精炼可持续提升装备属性哦！,16,16000,,,30=0,0=0,30=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020203=1|24=81.44=11.27=51.19=18.83,,任意1件装备精炼至+4,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010204,,,贤者回忆,组上小伙伴们前往贤者之间，登上贤者的阶梯并触摸贤者之书，亲身体验大贤者巴雷蒙德的奇幻记忆旅程！,16,16000,,,30=0,0=0,30=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020204=1|57=60.895=14.96=81.77776,,通关【贤者回忆】章节一,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010205,,,工具人联盟,在“冒险委托”，“贤者回忆”等组队玩法中使用助战帮助队友完成挑战，助战完成后还能获得协同之证，可在助战商店中购买指定道具。,16,16000,,,30=0,0=0,30=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020205=1|,,助战状态下帮助队友完成3次组队挑战,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010206,,,魔物爱好者I,前往世界各地挑战各种魔物，积累研究进度提升魔物总研究等级，单个魔物研究进度到达8级还可以解锁对应魔物头像哟！,16,16000,,,30=0,0=0,30=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020206=1|,2=11405=0,魔物总研究等级达到2级,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010207,,,卡片租赁,完成日常活动可获得租赁道具“魔力晶石”，可前往普隆德拉时空商人乌尔德处用于租赁心仪的时效性卡片,16,16000,,,30=0,0=0,30=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020207=1|7=140.56=9.82=166.46=43.00,,租赁1张卡片,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010208,,,初级理论测试,乐园团开展了初级知识普及，将围绕自身职业的优势，加点方向以及后续发展进行初步的指导哟！,16,16000,,,30=0,0=0,30=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020208=1|,3=12005600,前往乐园团进行初级知识普及,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
16010301,,,进击的冒险家,Base和Job等级达到40级后完成任务，可以转职为二转职业，体验更多职业技能和特色，向更高级冒险家前进吧！,16,16000,,,40=0,0=0,40=0,0,2,,0,0,,,,,,0,2,2,0,1,0,,,,,,11|90020301=1|,,达成职业二转,,,,,,,,,,,,,2,,0,,,,,,,,,0,,,,
