Id,PreId,TogetherPreId,Name,TaskDes,Type,Chapter,ChapterName,ServerLevel,AcceptLimitBaseLevel,AcceptLimitJobLevel,PushLevel,AcceptLimitProfession,AcceptLimitSex,AcceptLimitItem,AcceptLimitIdentity,FinishLimitIdentity,FinishLimitCD,AcceptNpc,FinishNpc,ItemAfterAccept,ItemBeforeFinish,AcceptAutoPath,Accepttype,Finishtype,ShortcutShowType,FindwayType,AbandonType,DestroyType,LimitTask,CycleNumber,TargetSubTasks,TargetSubTaskChoose,Target1,SpecialMes1,TargetDes1,Target2,SpecialMes2,TargetDes2,Target3,SpecialMes3,TargetDes3,Target4,SpecialMes4,TargetDes4,Target5,SpecialMes5,TargetDes5,TargetRunType,TaskTrigger,IsReminder,FinishTips,NpcFavors,RewardID,DescAcceptable,DescCanFinish,TalkScript,TaskAcceptScriptTag,TaskFinishScriptTag,HideSymbol,AwardExhibition,IsShield,OpenSystemLimit,LocalizationArea
任务ID（主线：1000000~1999999）,前置任务ID,并列前置限制（任务ID|任务ID……；不仅要完成前置ID，还需要完成这个并列限制ID的任务才算完成所有前置）,任务名称,任务简单描述（策划用）,任务类型（1，主线任务；2，支线任务；3，职业任务；4，日常任务；5，周环任务；6，引导任务；7，奇遇任务；8，公会任务；9，伊甸园任务；10，爱神任务；11，伊甸园加急）,所属章节（注意：此字段在热更时会调用，必须配置，每章最好控制在20个任务以内，减少消耗）,章节名（可不填）,服务器等级,接取base等级限制（最低等级=最高等级）,接取job等级限制（最低等级=最高等级）,推送等级：推送base等级下限=推送base隐藏等级上限,职业限制（根据职业划分，填取职业ID，可填多个中间用分号隔开；0表示全职业）,性别限制（0，男；1，女；2，无限制）,接取需求道具限制（道具ID=数量|道具ID=数量;接取的时候扣除，可为空）,接取社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,交付社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,完成时间限制（单位：秒；不填表示无限制）,接取NPC（NPCid=所在场景）,交付NPC（NPCid=所在场景）,接任务获得的任务道具（道具ID=数量|道具ID=数量，可为空）,交任务需要扣除的任务道具（道具ID=数量|道具ID=数量，可为空）,接取后是否自动寻路（0.接取后不自动寻路1.接取后自动寻路）,接取形式（1：正常对话接取；2，自动接取；3，飞鸽传书）,交付形式（1：正常对话交付；2，自动交付）,快捷追踪方式（1，不可接取的时候就显示追踪；2，可接取的时候就显示追踪；3，接取之后才显示追踪）,寻路模式（1，自动寻路；2，引导提示；3，不能寻路，全靠自己找）,放弃类型（0不可放弃，1放弃任务重新开始，不保留目标进度，随机目标可再次随机目标2放弃任务后，重新接取任务，任务目标不变，任务目标的完成程度不保留3放弃任务后，重新接取任务，任务目标完成程度保留，从未完成的任务目标开始做）,销毁方式（本字段仅针对配置了接取等级上限的任务有效。1，普通销毁：已接取的过了等级段还保留；2，全部销毁：表示过了这个等级段不管接取与否，完成与否，强制删除）,任务限制销毁,周期内可以完成多少次（表示在一个刷新周期内这个任务可以重复完成多少次，目前仅对日常任务、周常任务有效）,任务群组（用于配置子任务list，如果此处有数据，则后面的123个目标配置无效）,任务群组中子任务选取方式（1，系统随机选取1个任务给你；2，依次接取任务；3，玩家自由选取1个任务；4，伊甸园专用）,任务目标1：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z\r\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,任务特殊信息,目标1描述,任务目标2,目标2特殊参数,目标2描述,任务目标3,目标3特殊参数,目标3描述,任务目标4,目标4特殊参数,目标4描述,任务目标5,目标5特殊参数,目标5描述,目标执行方式（1，并列执行；2，依次执行）,场景触发器：时机=时机参数=事件类型=事件参数=其他参数1=其他参数2=其他参数3|……（具体配置方式请查看“Comments_task配置字段说明”sheet）\r\n,完成反馈是否在完成任务的时候飘,完成任务时飘字（不想飘不填即可）,NPC好感度（NPCID=好感度数值|NPCID=好感度数值，标识完成任务后给该NPC增加好感度）,奖励ID,任务可接取时的描述,任务已完成时的描述,任务用脚本名字（Assets\Resources\CommandScript\Task路径下面配置任务对白文本名）,接任务剧本tag,交任务剧本tag,NPC显示头顶符号。不配置则默认为0。若配置为1则该任务NPC不显示头顶符号。,任务追踪界面奖励预览展示（配置道具ID，不配置则不显示）,是否屏蔽该任务（如果任务通过调整等级，暂时屏蔽了，需要在这里配置，默认0，不屏蔽）,功能开启限制（即使其他条件达成，也需要该功能开启后才会推送该任务，如果已经推送的任务，中途后台关闭了该功能，则也会在刷新任务列表时隐藏该任务）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
1000000,,,新手装扮,一路跋涉，立志成为冒险家的你终于来到了初心者学院。快去找初心者引导员进行登记吧。,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,6310=31,6310=31,,,0,1,2,1,1,0,,,,,,1|6310=31,Main_1000000_exe,去找新手装扮师了解一下新手装扮的事情吧,,,,,,,,,,,,,2,,,,,1100010,马上就要开启新的冒险征程了，还需要再打扮一下自己吗？去找新手装扮师了解一下吧,,1000,Main_1000000_accept,,0,,,,
1000010,,,初心者登记,一路跋涉，立志成为冒险家的你终于来到了初心者学院。快去找初心者引导员进行登记吧。,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,6060=31,6060=31,,,0,1,2,1,1,0,,,,,,8|1100=1,6060=31,在登记板上填上你的基本信息,,,,,,,,,,,,,2,1=0=19=1100|2=0=14=2=6060=10158,,,,1100010,终于来到了初心者学院，快去找引导员登记吧,,1000,Main_1000010_accept,Main_1000010_finish,0,,,,
1000011,1000010|1000000,,领取初心者背包,登记完成，按照引导员的指示进行下一步操作吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,6060=31,10391=31,,,0,1,2,1,1,1,,,,,,1|10390=31,Main_1000011_exe,跟随引导员前去找管理员，向她申请领取初心者背包,3|200005=1|31=72.85=8.24=60.35,,背包就在管理员旁边，请自己领取吧，她会帮你做好登记的,,,,,,,,,,2,1=0=5=6060|1=0=22=1030|1=0=27=104|1=0=3=10391=31=62.43=8.13=60.46=215|1=0=11=200005=1=31=73.77=8.24=59.87|2=0=12=200005=1,,,,1100020,准备就绪，让引导员指导你进入下一步流程吧,找管理员领取初心者背包吧,1000,Main_1000011_accept,Main_1000011_finish,0,,,,
1000020,1000011,,进入学院,想要正式成为初心者学员，必须得到教授的认可才行。请跟随引导员进入学院去找教授吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10391=31,10392=32,,,1,1,1,1,1,1,,,,,,5|0=1|31=141.77=8.24=90.40,,请跟随引导员进入学院<color=$$Blue$$>（请跟紧引导员，前往学院外面的小花园中心处）</color>,,,,,,,,,,,,,2,1=0=4=10391|1=0=3=10411=31=73.02=8.24=63.89=196.22|1=0=14=2=10391=10067|2=0=14=2=10391=10068|2=0=3=10392=32=50.46=30.17=45.6=180|2=0=4=10411,,,,1100030,你已经领取了背包，让引导员带你进入学院报道吧,进入学院大厅报到吧，当然，你也可以先参观一下小花园,1000,Main_1000020_accept,Main_1000020_finish,0,,,,
1000021,,,进入学院,,1,1000,初心者学院,,999=0,0=0,999=0,0,2,,,,,,10392=32,,,1,2,1,1,1,1,,,,,,9|0=1|31=141.77=8.24=90.40,"SelfPhoto|275.15,40.25",尝试在花园中心拍个照吧！<color=$$Blue$$>（点击聊天框上方的相机图标就能打开拍照界面）</color>,,,,,,,,,,,,,2,4=1=14=2=10391=13497|2=0=3=10392=32=50.46=30.17=45.6=180|2=0=4=10411,,,,,,跟随斯普拉琪进入学院大厅,1000,,NAMain_1000020_finish,0,,1,,
1000030,1000020,,了解冒险生活,教授正在隔壁会客，先让引导员带你了解一下冒险生活吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10392=32,10393=32,,,1,1,1,1,1,1,,,,,,5|0=1|32=39.16=30.20=41.55,,跟随引导员去参观学院的照片墙，了解精彩的冒险生活,,,,,,,,,,,,,2,1=0=4=10392|1=0=3=10393=32=50.46=30.17=45.6=180,,,,1100040,听引导员给你介绍一下初心者学院和今后的冒险生活,已经参观完照片墙了，有什么感受吗？引导员想和你聊聊,1000,Main_1000030_accept,Main_1000030_finish,0,,,,
1000040,1000030,,拜访教授,想必你已经对初心者学院有了初步的了解，也对未来的冒险生活充满了憧憬，但教授还没有回来。请让引导员带你去直接去找他吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10393=32,10400=32,,,0,1,2,1,1,1,,,,,,1|10400=32,Main_1000040_exec,跟随引导员去旁边的房间找到教授，并获得他的认可,,,,,,,,,,,,,2,1=0=4=10393|1=0=3=10394=32=99.30=30.168=39.54=251.66|1=0=14=2=10393=10069,,,,1100050,已经对冒险有了初步认识，让引导员开始下一步安排吧,,1000,Main_1000040_accept,Main_1000040_finish,0,,,,
1000050,1000040,,相机的使用,教授居然给你赠送了一个相机，让引导员教你如何使用它吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10394=32,10394=32,,,1,1,1,1,1,1,,,,,,9|0=1|32=96.02=30.30=43.64,"SelfPhoto|275.15,40.25",按照引导员教你的方法，自己试拍一次，学习如何使用相机,,,,,,,,,,,,,2,,,,,1100060,恭喜你获得了教授的认可，他赠送了一部相机，让引导员教你如何使用吧,把拍好的照片给引导员看看，告诉她你已经学会使用相机了,1000,Main_1000050_accept,Main_1000050_finish,0,,,,
1000060,1000050,,前往训练场,你已经获得了教授的认可，可以前往训练场接受训练了。当然，你也可以在学院再了解一下,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10400=32,10396=33,,,1,1,1,1,1,1,,,,,,1|10400=32,Main_1000060_exec,教授还有交代，听听他怎么说,27|1056=1|32=98.86=30.12=38.44,156,教授赠送了你一个<color=$$Blue$$>特殊的限时波利串串</color>，快使用了看看吧,,,,,,,,,,2,2=0=10=904101|2=0=4=10394|2=0=22=1033=0|2=0=27=103|2=0=3=10396=33=93.9=12.64=44.42=185.98|2=0=15=1000070|3=0=4=10396|3=0=23=904101,,,,1100070,按照引导员的指示，与教授告别吧,可以跟随引导员<color=$$Blue$$>前往训练场</color>找教官进行实战训练了，当然，你也可以先在学院大厅了解一下其他冒险知识,1000,Main_1000060_accept,Main_1000060_finish,0,,,,
1000070,,,基础冒险知识,让教官教你基本攻击技能的使用方法,1,1000,初心者学院,,999=0,0=0,999=0,0,2,,,,,10401=33,10401=33,,,1,1,1,1,1,1,,,,,,2|5702=1|33=91.57=12.49=34.99,,尝试使用<color=$$Blue$$>普通攻击</color>或<color=$$Blue$$>强攻</color>技能打倒木桩,,,,,,,,,,,,,2,1=0=7=5702=1=33=92.39=12.49=33.59=0|4=1=8=5702=1,,,,1100080,听教官讲解基础的冒险知识,完成了练习，告诉教官你已经掌握了基础的技能使用方法,1000,Main_1000070_accept,Main_1000070_finish,0,,1,,
1000080,1000060,,基础冒险知识,听教官教导你如何使用装死和治愈术吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10401=33,10401=33,,,1,1,1,1,1,1,,,,,,7|2052=1||33=91.69=12.64=44.66,,向教官学习装死和治愈术的使用技巧,,,,,,,,,,,,,2,1=0=1=2052|2=0=2=2052,,,,1100090,让教官教你基础的冒险知识吧,继续聆听教官的教诲,1000,Main_1000080_accept,Main_1000080_finish,0,,,,
1000090,1000080,,实战训练,学了这么多，出去清理一些魔物，实战一番吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10401=33,10402=33,20000000=1,,0,1,1,1,1,0,,,,,,2|1209=5|33=73.43=10.65=85.75,,装备上教官给你的武器，挑战魔物，进行实战训练吧,,,,,,,,,,,,,2,1=0=22=1031|1=0=27=104|1=0=3=10402=33=93.35=12.48=43.13=-57.55|1=0=5=10401|1=0=7=1209=5=33=73.43=10.65=85.75=5|2=0=8=1209=5,,,,1100100,你已经掌握了基础冒险知识，让教官安排下一步训练内容吧,实战结束，去找教官汇报吧,1000,Main_1000090_accept,Main_1000090_finish,0,,,,
1000100,1000090,,致敬女武神,按照传统，每一个初心者学会了基础的冒险技能之后，都需要去向女武神致敬。跟随教官，前往遗迹处，向女武神致敬吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10402=33,,,,0,1,2,1,1,1,,,,,,5|0=1|33=155.59=10.04=92.95,,跟随教官，前往遗迹处向女武神的神像致敬,1|10403=33,Main_1000100_exec,向女武神致敬是件很神圣的事情，教官要和你说说注意事项,3|200006=1|33=159.80=10.04=92.06,,按教官的指示，走到雕像前，屏住心神，怀着虔诚的心向女武神致敬吧,,,,,,,2,1=0=22=1034|1=0=27=103|1=0=4=10402|1=0=3=10403=33=84.11=10.64=75.98=337.33|4=1=14=2=10403=10106|4=2=14=2=10403=10105|4=2=11=200006=1=33=159.80=10.04=92.06|2=0=12=200006=1|2=0=4=10403|2=0=3=10412=33=156.31=10.04=96.06=172.93,,,,1100110,按教官的吩咐进行下一步训练,,1000,Main_1000100_accept,,0,,,,
1000110,1000100,,女武神的考验,接受女武神的指引和考验，突破自身的桎梏,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,,10412=33,,,1,2,1,1,1,1,,,,,,7|2211=1|33=159.78=10.04=91.81,,受到女武神的召唤，你进入了奇异空间，请完成她的考验<color=$$Blue$$>（进入英灵殿副本，参考界面正上方的副本目标提示，通关副本）</color>,,,,,,,,,,,,,2,1=0=17=2211=21.70=99.98=56.10=0|1=0=20=33=2|2=0=21=33=2|2=0=15=1000071,,,,1100120,,恭喜你已经完成了瓦尔基里的洗礼和考验，去找教官汇报吧,1000,,Main_1000110_finish,0,,,,
1000120,,,结业仪式？（废弃）,终于完成了试炼，去参加结业仪式吧,1,1000,初心者学院,,999=0,0=0,999=0,0,2,,,,,10412=33,10404=33,,,0,1,1,1,1,1,,,,,,5|0=1|33=153.24=10.64=130.93,,跟随教官，前去找引导员进行结业仪式吧,,,,,,,,,,,,,2,1=0=3=10397=33=156.96=10.64=132.91=297.07|1=0=3=10404=33=155.47=10.04=95.38=175.66|2=0=14=2=10397=10107|3=0=4=10404,,,,1100130,让教官开始下一步的教学吧,典礼台还没装饰好，教官似乎有事吩咐,1000,Main_1000120_accept,Main_1000120_finish,0,,1,,
1000130,1000120,,结业仪式准备（废弃）,马上你就可以选择职业，离开初心者学院了。在这之前，请与引导员和教官合影留恋。引导员正在搭建合影用的典礼台，她需要你的帮助,1,1000,初心者学院,,999=0,0=0,999=0,0,2,,,,,10397=33,10397=33,,,1,1,1,1,1,1,,,,,,34|101000=1|33=162.68=10.64=137.97,33=164.39=11.64=154.68,帮助引导员把最后一个装饰物搬到典礼台上去并摆放好,,,,,,,,,,,,,2,1=0=11=200101=1=33=162.90=10.64=137.55|4=1=12=200101=1|2=0=4=10397,,,,1100140,按照教官的吩咐，问问引导员还需要什么帮助,告诉引导员你已经按照她的要求，把装饰物都搬过去了,1000,Main_1000130_accept,Main_1000130_finish,0,,1,,
1000140,1000110,,头饰的魅力,为了感谢你的帮助，引导员为你准备好了一份特殊的礼物，快去找礼物管理员领取吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10412=33,,,,1,1,2,1,1,1,,,,,,1|10422=33,Main_1000140_exec,去找旁边的礼物管理员，领取引导员给你准备的答谢礼物吧,,,,,,,,,,,,,2,1=0=22=1035|1=0=27=103|1=0=4=10412,,,,1100150,别着急，教官好像还有什么事情要交代呢,,1000,Main_1000140_accept,,0,,,,
1000150,1000140,,冒险者的衣橱,去找礼物管理员领取礼物的时候，旁边的一个冒险者热情地向你打招呼，和她聊聊吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,6400=33,,,,1,1,2,1,1,1,,,,,,1|6400=33,Main_1000150_exec,听这个冒险者给你介绍衣橱,,,,,,,,,,,,,2,2=0=3=10398=33=171.107=11.89=159.302=-88.6|2=0=3=10409=33=168.79=11.89=160.9=104.1|2=0=3=10410=33=169.08=11.89047=159.56=72.8,,,,1100160,请留步，旁边有个冒险者向你打招呼，她似乎有话对你说,,1000,Main_1000150_accept,,0,,,,
1000160,1000150,,终于结业啦,返回典礼台，与导师们汇合，然后合影留念,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10398=33,10399=33,,,1,1,1,1,1,1,,,,,,21|138438=1|2092=164.93=11.64=153.96|33=169.55=11.96=158.36,,<color=$$Blue$$>设置好自动相机</color>，与导师们拍照留影,1|10407=2092||33=166.22=12.44=154.16,Main_1000160_exec,把拍好的照片给教官看一下,,,,,,,,,,2,1=0=1=2092|2=0=2=2092|2=0=4=10398|2=0=3=10399=33=171.107=11.89=159.302=-88.6|3=0=4=10409,,,,1100170,返回典礼台，与引导员和教官们汇合，准备合影留念,合影结束，按教官的吩咐，去找引导员领取考核成绩单吧,1000,Main_1000160_accept,Main_1000160_finish,0,,,,
