ID,keyid,BaseLevelRegion,ServerLevelRegion,Weight,AcceptLimitProfession,Target,TargetDes,SpecialMes,TaskTrigger,LocalizationArea
ID,key（将目标规划进不同的库中，同一个目标可以隶属于多个keyid，策划自定义，支持多个库，格式如：1|2|3）,base等级区间(最低等级=最高等级，最低等级或者最高等级配为0则表示对应的最低等级或者最高等级限制为无限制；如果上下限都配了则表示必须要在这个等级段以内才能被选中),服务器等级区间(最低等级=最高等级，最低等级或者最高等级配为0则表示对应的最低等级或者最高等级限制为无限制；如果上下限都配了则表示必须要在这个等级段以内才能被选中),类型内的权重分布（不同类型不相干），用于标识每个目标被随机到的权重,职业限制（根据职业划分，填取职业ID，可填多个中间用 | 隔开；0表示全职业）。\r\n,目标,目标描述,任务特殊信息,场景触发器，配置针对每个目标的触发器,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
1001,1,0=10,0=100,1000,,1|1001=7,普通对话,1017=Main_1005640_accept,,
1002,1,0=10,0=100,1000,,2|1137=3|19=117.19=12.30=142.38,打怪目标,,,
1003,1|3,0=10,0=100,1000,,3|200551=1|26=62.32=9.91=162.01,刷出采集物目标,,1=0=11=200551=1=26=62.32=9.91=162.01,
1004,1,0=10,0=100,1000,,1|12669=7,刷出npc对话测试,1016=Main_1005460_exec,1=0=3=12669=7=171.33=10.80=214.40=90,
1005,2,0=10,0=100,3000,,5|0=1|41=42.80=12.13=44.81=110.21,寻路,,,
1006,2,0=10,0=100,1000,,27|6025=1|7=171.99=10.80=218.89,假使用道具,,,
1007,4,0=10,0=100,1000,,5|0=1|26=59.41=9.84=104.28,寻路,,,
1008,1,0=10,0=100,2000,,41|1001=7,收集道具对话,1270001=3=1001=Main_Test_accept,,
1009,4,0=10,0=100,4000,,2|1001=3|4=94.36=10.17=139.48,打波利,,,
1010,4,0=10,0=100,4000,,2|1001=3|4=94.36=10.17=139.48,继续打波利,,,
1011,3,0=10,0=100,1000,,2|1014=2|7=95.07=10.00=38.16,大斧哥布林，刷出怪物,,1=0=7=1014=2=7=95.07=10.00=38.16=2,
1012,3,0=10,0=100,1000,,41|1002=7,收集道具对话2,1270002=3=1001=Main_Test_accept,,
1013,3,0=10,0=100,1000,,7|2068=1|41=106.97=12.27=65.02|2068=106.97=12.27=65.02,副本测试,,1=0=20=41=8,
2000,5,16=0,0=0,1000,,1|1223=7,普通对话,17021=LoopTask_1223_talk,,
2001,5,16=0,0=0,1000,,2|1001=1|4=91.71=10.17=136.98,击杀魔物,,,
2002,5,16=0,0=0,1000,,3|101=1|1=151.01=7.44=61.38,采集矮灌木,,,
2003,5,16=0,0=0,1000,,41|1230=7,收集道具对话,2010001=1=17021=LoopTask_accepitem,,
2004,5,16=0,0=0,1000,,8|6030=1|4=160.00=6.57=120.80,钓鱼,,,
2005,5,16=0,0=0,1000,,1|1225=7,普通对话,17021=LoopTask_1223_talk,,
10001,6,30=35,30=0,400,,1|1212=7,听听城中一位老士兵的故事,17023=Main_10001_exec,,
10009,6,30=35,30=0,400,,1|1220=7,梅丽德斯很喜欢跟大家讨论她的新发现，去听听她又有什么新鲜事,17023=Main_10009_exec,,
10018,6,30=35,30=0,400,,1|1227=7,骑士团的团员们在休息时间经常会聊天，听听他们在聊什么吧,17023=Main_10018_exec,,
10021,6,30=35,30=0,400,,1|1234=7,胖妹有发现新的美食，想要分享给你,17023=Main_10021_exec,,
