Id,Type,Theme,Order,Title,TargetSelectionType,TaskSignTip,UnTakeOrder,ShowProgress
ID,任务类型（1，主线任务；2，支线任务；3，职业任务；4，日常任务；5，周常任务；6，引导任务；7，奇遇任务；8，公会任务；9，伊甸园任务；10，爱神任务；11，伊甸园加急；12冒险任务；13副本任务14生活支线15世界任务16萌新手册）,主题（1任务2玩法3奇遇）,任务显示排序,任务小标题,并列执行的任务，玩家在追踪时的选取规则（1，默认依次选；2，弹出界面可自选先做哪个）,任务状态标志（NPC头顶气泡，代表着不同的任务状态。1.红色2.蓝色3.绿色4紫色）,不可接取排序,是否显示任务进度
1,主线任务,1,2,<color=$$Yellow$$>[剧情]</color>,1,1,702,
2,支线任务,1,9,<color=$$Blue$$>[支线]</color>,2,3,708,
3,职业任务,1,1,<color=$$Yellow$$>[职业]</color>,1,1,701,
4,日常任务,2,2,<color=$$Blue$$>[日常]</color>,2,2,702,
5,周常任务,2,7,<color=$$Blue$$>[每周]</color>,2,2,707,
6,引导任务,1,6,<color=$$Yellow$$>[引导]</color>,2,1,705,
7,奇遇任务,3,2,<color=$$Purple$$>[奇遇]</color>,1,4,702,
8,公会任务,2,1,<color=$$Blue$$>[公会]</color>,2,3,701,
9,伊甸园任务,2,10,<color=$$Blue$$>[委托]</color>,2,3,710,
10,爱神任务,2,11,<color=$$Blue$$>[爱神]</color>,2,4,711,
11,伊甸园加急,2,12,<color=$$Blue$$>[加急]</color>,2,2,712,
12,冒险任务,1,4,<color=$$Yellow$$>[冒险]</color>,1,1,703,
13,主题副本,2,4,<color=$$Blue$$>[副本]</color>,2,3,704,
14,生活支线,2,6,<color=$$Blue$$>[生活]</color>,2,3,706,
15,世界任务,3,1,<color=$$Blue$$>[时空]</color>,2,4,701,
16,萌新手册,2,8,<color=$$Blue$$>[萌新]</color>,2,3,708,
17,委托任务,1,5,<color=$$Blue$$>[委托]</color>,2,3,704,
18,装备追踪,2,9,<color=$$Blue$$>[追踪]</color>,2,3,709,
19,清扫任务,2,3,<color=$$Blue$$>[狩猎]</color>,1,2,703,
20,佣兵任务,1,8,<color=$$Blue$$>[佣兵]</color>,1,2,707,
21,挑战任务,2,5,<color=$$Blue$$>[挑战]</color>,1,2,705,
22,活动任务,1,7,<color=$$Blue$$>[活动]</color>,2,2,706,
23,勋章任务,2,3,<color=$$Blue$$>[勋章]</color>,2,2,703,
24,活动引导任务,1,6,<color=$$Yellow$$>[引导]</color>,2,1,705,
25,勇士招募任务,2,1,<color=$$Yellow$$>[征召]</color>,1,1,702,
26,节日活动,1,7,<color=$$Yellow$$>[节日]</color>,1,1,706,
27,活动限时任务,1,7,<color=$$Blue$$>[活动任务]</color>,2,2,706,
28,邪能入侵,1,7,<color=$$Blue$$>[活动任务]</color>,2,2,706,
29,宠物任务,1,8,<color=$$Blue$$>[宠物]</color>,1,1,703,
30,伙伴任务,1,3,<color=$$Yellow$$>[伙伴]</color>,1,1,703,
