ID,Comment,DungeonID,Wave,Level,MinionFactors,EliteFactors,BossFactors
ID,注释,副本ID,波数,等级,小怪难度参数,精英怪难度参数,Boss难度参数
1,单人1,2168,1,42,1594=13,19134=49,57404=65
2,单人1,2168,2,42,2600=18,19502=63,58508=82
3,单人1,2168,3,42,3759=23,20504=79,61512=101
4,单人1,2168,4,43,4870=29,20872=93,62616=118
5,单人1,2168,5,43,5794=34,21730=110,65191=138
6,单人1,2168,6,44,6629=40,22098=124,66295=156
7,单人1,2168,7,44,7980=46,23940=144,71821=180
8,单人1,2168,8,45,8507=52,25523=159,76571=198
9,单人1,2168,9,45,9290=58,27872=179,83617=223
10,单人1,2168,10,45,9854=97,29562=316,88687=404
11,单人1,2168,11,46,10426=70,31278=213,93836=265
12,单人1,2168,12,46,10868=78,32606=232,97820=286
13,单人1,2168,13,46,11608=86,34825=257,104475=317
14,单人1,2168,14,47,12075=94,36226=276,108678=340
15,单人1,2168,15,47,12551=133,37654=415,112963=522
16,单人1,2168,16,47,13301=109,39904=319,119712=391
17,单人1,2168,17,47,13801=116,41403=338,124209=414
18,单人1,2168,18,48,14309=124,42929=358,128788=436
19,单人1,2168,19,48,16954=137,50862=400,152586=490
20,单人1,2168,20,48,17826=178,53478=544,160436=679
21,单人1,2168,21,48,18717=152,56151=441,168453=538
22,单人1,2168,22,48,20152=161,60458=468,181375=571
23,单人1,2168,23,49,21097=169,63291=488,189875=595
24,单人1,2168,24,49,21958=175,65876=506,197630=617
25,单人1,2168,25,49,23015=202,69045=601,207135=742
26,单人1,2168,26,49,23799=188,71397=545,214193=667
27,单人1,2168,27,50,24482=191,73446=556,220339=680
28,单人1,2168,28,50,24937=196,74812=571,224436=699
29,单人1,2168,29,50,25655=203,76966=595,230898=730
30,单人1,2168,30,50,26120=208,78360=610,235082=749
31,单人1,2168,-1,51,27883=222,83650=652,250950=800
32,单人1,2168,-2,51,30299=241,90898=708,272695=869
33,单人1,2168,-3,51,34282=273,102848=801,308545=983
34,单人1,2168,-4,52,40225=320,120675=940,362027=1154
35,单人1,2168,-5,52,48518=386,145555=1134,436665=1392
36,单人1,2168,-6,52,50943=405,152832=1190,458498=1461
37,单人1,2168,-7,53,53490=425,160473=1249,481422=1534
38,单人1,2168,-8,53,56164=446,168496=1311,505493=1610
39,单人1,2168,-9,53,58972=468,176920=1376,530767=1690
40,单人1,2168,-10,54,61920=491,185766=1444,557305=1774
41,单人1,2168,-11,54,65016=515,195054=1516,585170=1862
42,单人1,2168,-12,54,68266=540,204806=1591,614428=1955
43,单人1,2168,-13,55,71679=567,215046=1670,645149=2052
44,单人1,2168,-14,55,75262=595,225798=1753,677406=2154
45,单人1,2168,-15,55,79025=624,237087=1840,711276=2261
46,单人1,2168,-16,55,82976=655,248941=1932,746839=2374
47,单人1,2168,-17,55,87124=687,261388=2028,784180=2492
48,单人1,2168,-18,56,91480=721,274457=2129,823389=2616
49,单人1,2168,-19,56,96054=757,288179=2235,864558=2746
50,单人1,2168,-20,56,100856=794,302587=2346,907785=2883
51,单人1,2168,-21,56,105898=833,317716=2463,953174=3027
52,单人1,2168,-22,56,111192=874,333601=2586,1000832=3178
53,单人1,2168,-23,57,116751=917,350281=2715,1050873=3336
54,单人1,2168,-24,57,122588=962,367795=2850,1103416=3502
55,单人1,2168,-25,57,128717=1010,386184=2992,1158586=3677
56,单人1,2168,-26,57,135152=1060,405493=3141,1216515=3860
57,单人1,2168,-27,57,141909=1113,425767=3298,1277340=4053
58,单人1,2168,-28,58,149004=1168,447055=3462,1341207=4255
59,单人1,2168,-29,58,156454=1226,469407=3635,1408267=4467
60,单人1,2168,-30,58,164276=1287,492877=3816,1478680=4690
61,单人1,2168,-31,58,174132=1364,522449=4044,1567400=4971
62,单人1,2168,-32,58,184579=1445,553795=4286,1661444=5269
63,单人1,2168,-33,59,195653=1531,587022=4543,1761130=5585
64,单人1,2168,-34,59,207392=1622,622243=4815,1866797=5920
65,单人1,2168,-35,59,219835=1719,659577=5103,1978804=6275
66,单人1,2168,-36,59,233025=1822,699151=5409,2097532=6651
