ID,Comment,MapAtlas,MapName,SummonCircleInfo,TdUnitSpawnInfo,ScoreFactor,TreeRootId,RootFactor,WaveFactor,TimeFactor,WaveFactorEndless,TimeFactorEndless,MercenaryBuff,ReturnHomeBuff,Weathers
副本ID,注释,,,召唤阵ID=空模型ID=英灵召唤上限（竖线隔开）,英灵出生点信息（英灵ID=x=y=z=半径，竖线隔开,难度系数,树根的Entity ID,"树根剩余血量系数。分数 = Max((树根剩余血量 * 系数1 + 消灭魔物波数 * 系数2 - 关卡总时间 * 系数3） * 难度系数, 0)",魔物波数系数,时间系数,"无尽模式的魔物波数系数。分数 = Max((消灭魔物波数 * 系数4 – 无尽模式下经过的总时间 * 系数5） * 难度系数, 0)",无尽模式的时间系数,佣兵入场buff（竖线隔开）,回城生效buff,通常模式天气类型|无尽模式天气类型
2169,塔防单人本难度1,,,0=26151=4,1=98.05=64.79=138.17=5|2=103.06=64.79=146.39=5|3=92.97=64.79=146.49=5,1,26156,5,200,1.1,500,8.2,5156001|5157601,5157901,1|6
2170,塔防单人本难度2,,,0=26151=4,1=98.05=64.79=138.17=5|2=103.06=64.79=146.39=5|3=92.97=64.79=146.49=5,1.4,26157,5,200,1.86,500,9.75,5156001|5157601,5157901,1|6
2171,塔防单人本难度3,,,0=26151=4,1=98.05=64.79=138.17=5|2=103.06=64.79=146.39=5|3=92.97=64.79=146.49=5,1.6,26158,5,200,1.81,500,10.7,5156001|5157601,5157901,1|6
2172,塔防单人本难度4,,,0=26151=4,1=98.05=64.79=138.17=5|2=103.06=64.79=146.39=5|3=92.97=64.79=146.49=5,1.8,26163,5,200,2.16,500,9.06,5156001|5157601,5157901,1|6
2173,塔防单人本难度5,,,0=26151=4,1=98.05=64.79=138.17=5|2=103.06=64.79=146.39=5|3=92.97=64.79=146.49=5,1.8,26164,5,200,2.26,500,9.84,5156001|5157601,5157901,1|6
2179,塔防双人本难度1,,,0=26151=4,1=98.05=64.79=138.17=5|2=103.06=64.79=146.39=5|3=92.97=64.79=146.49=5,2,26160,5,200,0.51,500,5.54,5156001|5157601,5157901,1|6
2180,塔防双人本难度2,,,0=26151=4,1=98.05=64.79=138.17=5|2=103.06=64.79=146.39=5|3=92.97=64.79=146.49=5,2.2,26161,5,200,1.01,500,6.86,5156001|5157601,5157901,1|6
2181,塔防双人本难度3,,,0=26151=4,1=98.05=64.79=138.17=5|2=103.06=64.79=146.39=5|3=92.97=64.79=146.49=5,2.4,26162,5,200,1.01,500,8.01,5156001|5157601,5157901,1|6
2182,塔防双人本难度4,,,0=26151=4,1=98.05=64.79=138.17=5|2=103.06=64.79=146.39=5|3=92.97=64.79=146.49=5,2.5,26165,5,200,1.29,500,6.04,5156001|5157601,5157901,1|6
2183,塔防双人本难度5,,,0=26151=4,1=98.05=64.79=138.17=5|2=103.06=64.79=146.39=5|3=92.97=64.79=146.49=5,2.5,26166,5,200,1.38,500,6.78,5156001|5157601,5157901,1|6
