ID,Comment,Comment2,DungeonID,TdUnitID,Factors
ID,注释,注释2,副本ID,英灵ID,动态数值参数（等级=HP=攻击，不同等级按顺序用竖线隔开）
1,单人塔防1,英灵剑士,2168,1,42=3401=376|48=4204=445|55=6063=539
2,单人塔防1,英灵牧师,2168,2,42=3092=-118|45=3655=-78|49=4850=-38
3,单人塔防1,英灵法师,2168,3,42=2628=193|48=3107=286|55=4123=471
4,单人塔防2,英灵剑士,2169,1,42=3401=376|48=4204=445|55=6063=539
5,单人塔防2,英灵牧师,2169,2,42=3092=-118|48=3655=-78|55=4850=-38
6,单人塔防2,英灵法师,2169,3,42=2628=193|48=3107=286|55=4123=471
7,单人塔防3,英灵剑士,2170,1,60=6077=903|65=7688=916|69=9660=965
8,单人塔防3,英灵牧师,2170,2,60=5525=-101|65=6685=-1|69=7304=99
9,单人塔防3,英灵法师,2170,3,60=4696=463|65=5682=590|69=6208=777
10,单人塔防4,英灵剑士,2171,1,70=10667=1116|75=14479=1421|79=18579=1608
11,单人塔防4,英灵牧师,2171,2,70=9697=112|75=12591=212|79=14049=312
12,单人塔防4,英灵法师,2171,3,70=8242=573|75=10702=915|79=11941=1294
13,单人塔防5,英灵剑士,2172,1,80=16865=2119|85=19612=2308|89=24196=2417
14,单人塔防5,英灵牧师,2172,2,80=15331=238|85=17054=338|89=18296=438
15,单人塔防5,英灵法师,2172,3,80=13032=1088|85=14496=1486|89=15551=1945
16,单人塔防6,英灵剑士,2173,1,90=20575=2714|95=23773=2860|99=29457=3146
17,单人塔防6,英灵牧师,2173,2,90=15705=384|95=20672=484|99=22274=584
18,单人塔防6,英灵法师,2173,3,90=15899=1393|95=17571=1841|99=18933=2533
19,双人塔防1,英灵剑士,2178,1,42=3401=376|48=4204=445|55=6063=539
20,双人塔防1,英灵牧师,2178,2,42=3092=-118|45=3655=-78|49=4850=-38
21,双人塔防1,英灵法师,2178,3,42=2628=193|48=3107=286|55=4123=471
22,双人塔防2,英灵剑士,2179,1,42=3401=376|48=4204=445|55=6063=539
23,双人塔防2,英灵牧师,2179,2,42=3092=-118|48=3655=-78|55=4850=-38
24,双人塔防2,英灵法师,2179,3,42=2628=193|48=3107=286|55=4123=471
25,双人塔防3,英灵剑士,2180,1,60=6077=903|65=7688=916|69=9660=965
26,双人塔防3,英灵牧师,2180,2,60=5525=-101|65=6685=-1|69=7304=99
27,双人塔防3,英灵法师,2180,3,60=4696=463|65=5682=590|69=6208=777
28,双人塔防4,英灵剑士,2181,1,70=10667=1116|75=14479=1421|79=18579=1608
29,双人塔防4,英灵牧师,2181,2,70=9697=112|75=12591=212|79=14049=312
30,双人塔防4,英灵法师,2181,3,70=8242=573|75=10702=915|79=11941=1294
31,双人塔防5,英灵剑士,2182,1,80=16865=2119|85=19612=2308|89=24196=2417
32,双人塔防5,英灵牧师,2182,2,80=15331=238|85=17054=338|89=18296=438
33,双人塔防5,英灵法师,2182,3,80=13032=1088|85=14496=1486|89=15551=1945
34,双人塔防6,英灵剑士,2183,1,90=20575=2714|95=23773=2860|99=29457=3146
35,双人塔防6,英灵牧师,2183,2,90=15705=384|95=20672=484|99=22274=584
36,双人塔防6,英灵法师,2183,3,90=15899=1393|95=17571=1841|99=18933=2533
