ID,Name,HasFatherType,BelongType,LevelLimit,LvRecommend,Time,RelativeDungeonId,MemberCountStopPipei,IsDuty,Sort,LocalizationArea,LevelRange,ExpandLvRange,LvExpandInterval,LvExpandTimes,TimeOutLimit
编号,名字,是否有父选项,父选项ID,等级限制,等级要求修正,时间限制客户端显示,副本ID,匹配人数,是否职责确认,排序（数字越小排序越高，只针对父选项）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12),匹配等级范围差,每次扩张等级范围,等级范围扩张时间,等级范围扩张次数上限,超时时间限制(-1表示不限制)
1000,无,0,0,1=200,100,全天,,,0,1,0,10,5,10,3,-1
2000,贤者回忆剧情,0,0,30=200,30,全天,,,1,15,0,10,5,10,3,-1
3000,无尽之塔,0,0,55=200,30,全天,,,1,35,0,10,5,10,3,-1
4000,圣歌试炼,0,0,20=200,100,委托开启当天,3,5,0,5,0,10,5,10,3,-1
5000,魔物驱逐,0,0,40=200,50,全天,,5,0,50,11,10,5,10,3,-1
6000,战场,0,0,200=200,20,周六12:50-14:30&21:50-23:30,,5,0,45,0,10,5,10,3,-1
7000,时空调查团,0,0,200=200,50,全天,,5,0,40,0,10,5,10,3,-1
8000,迷雾之森,0,0,30=200,20,委托开启当天,7500,5,0,10,0,10,5,10,3,-1
9000,极限挑战,0,0,40=200,20,周二、周四20:30-22:00,,5,1,25,0,10,5,10,3,-1
10000,天地树守卫战,0,0,42=200,20,周六、周日10:00-24:00,,2,1,30,0,10,5,10,3,-1
11000,赫尔海姆扰动,0,0,45=200,20,全天,,5,1,20,0,10,5,10,3,-1
12000,时空模拟战,0,0,70=200,70,周一、周三、周五20:00-22:00,9000,5,1,21,9,10,5,10,3,-1
2001,剧情·北森异变,1,2000,30=200,30,全天,4050,5,1,,0,10,5,10,3,-1
2002,剧情·下水道,1,2000,40=200,30,全天,4000,5,1,,0,10,5,10,3,-1
2003,剧情·海盗船,1,2000,50=200,20,全天,4010,5,1,,0,10,5,10,3,-1
2004,剧情·吉芬地下,1,2000,60=200,20,全天,4020,5,1,,0,10,5,10,3,-1
2005,剧情·蚂蚁巢穴,1,2000,65=200,20,全天,4030,5,1,,0,10,5,10,3,-1
2006,剧情·金字塔,1,2000,70=200,20,全天,4040,5,1,,0,10,5,10,3,-1
2007,剧情·达纳托斯,1,2000,75=200,20,全天,4060,5,1,,0,10,5,10,3,-1
2008,剧情·混沌的枷锁,1,2000,80=200,20,全天,4070,5,1,,0,10,5,10,3,-1
2009,剧情·夜袭普隆德拉,1,2000,85=200,20,全天,4080,5,1,,11,10,5,10,3,-1
2010,剧情·探秘哥布灵森林,1,2000,90=200,20,全天,4090,5,1,,9,10,5,10,3,-1
2011,剧情·净化修道院,1,2000,95=200,20,全天,4100,5,1,,9,10,5,10,3,-1
2012,剧情·时间的牢笼,1,2000,100=200,20,全天,4110,5,1,,1,10,5,10,3,-1
3001,无尽之塔1层,1,3000,55=200,30,全天,3101,5,1,,0,10,5,10,3,-1
3002,无尽之塔11层,1,3000,55=200,30,全天,3111,5,1,,0,10,5,10,3,-1
3003,无尽之塔21层,1,3000,55=200,30,全天,3121,5,1,,0,10,5,10,3,-1
3004,无尽之塔31层,1,3000,55=200,30,全天,3131,5,1,,0,10,5,10,3,-1
3005,无尽之塔41层,1,3000,55=200,20,全天,3141,5,1,,0,10,5,10,3,-1
6001,45-150级战场,1,6000,45=200,30,周六、周日12:50-14:30&21:20-23:00,,5,0,,0,10,5,10,3,-1
10001,守卫战42-59级,1,10000,42=59,30,周六、周日10:00-24:00,2179,2,1,,0,10,5,10,3,-1
10002,守卫战60-69级,1,10000,60=69,30,周六、周日10:00-24:00,2180,2,1,,0,10,5,10,3,-1
10003,守卫战70-79级,1,10000,70=79,30,周六、周日10:00-24:00,2181,2,1,,0,10,5,10,3,-1
10004,守卫战80-89级,1,10000,80=89,30,周六、周日10:00-24:00,2182,2,1,,0,10,5,10,3,-1
10005,守卫战90-110级,1,10000,90=110,30,周六、周日10:00-24:00,2183,2,1,,0,10,5,10,3,-1
11001,赫尔海姆试炼,1,11000,45=200,20,全天,,5,1,,0,10,5,10,3,-1
11002,赫尔海姆挑战,1,11000,45=200,20,全天,,5,1,,0,10,5,10,3,-1
