ID,AwardId,ItemIds
����,����ID,��ƷID�б�
1,205110,3040200|3040201|3040202|3040203|3040204|3040100|3040101|2090025|2090020
2,205120,3040200|3040201|3040202|3040203|3040204|3040100|3040101|3040102|2090021
3,205130,3040200|3040201|3040202|3040203|3040204
4,205140,3040200|3040201|3040202|3040203|3040204
5,205210,3041200|3041201|3041202|3041203|3041204|3041100|3041101|2090025|2090020
6,205220,3041200|3041201|3041202|3041203|3041204|3041100|3041101|3041102|2090021
7,205230,3041200|3041201|3041202|3041203|3041204
8,205240,3041200|3041201|3041202|3041203|3041204
9,205300,101
10,205310,2063001
11,205320,102
12,205330,2052002
13,205340,101
14,205350,2063001
15,205360,102
16,205370,2052002
17,205380,101
18,205390,2063001
19,205400,102
20,205410,2052002
21,205420,101
22,205430,2063001
23,205440,102
24,205450,2052002|1031305|1031307
25,205460,101
26,205470,2063001
27,205480,102
28,205490,1080092
29,205500,2052002|1031306|1031308
30,205510,2052100|2052101
31,1100000,201|202|101|2031003|60649999
32,1100010,
33,1100020,201|202
34,1100030,
35,1100040,201|202
36,1100050,
37,1100060,201|202|2010001|2010005
38,1100070,201|202
39,1100080,
40,1100090,201|202
41,1100100,201|202|2040011
42,1100110,
43,1100120,201|202
44,1100130,
45,1100140,
46,1100150,201|202|2090011
47,1100160,
48,1100170,201|202|101|2031003
49,1100180,
50,1100190,
51,1100200,
52,1100210,
53,1100220,
54,1100230,
55,1100240,
56,1100250,
57,1100260,2010001|2010005|2010012
58,1100270,2010001|2010005|2010012
59,1100280,2010001|2010005|2010012
60,1100290,2010001|2010005|2010012
61,1100300,2010001|2010005|2010012
62,1100310,2010001|2010005|2010012
63,1100320,201
64,1100330,
65,1100340,201
66,1100350,201
67,1100360,201
68,1100370,201
69,1100380,201|202|7000001|101
70,1100390,201|202
71,1100400,201|202
72,1100410,201|202|2090009
73,1100420,201|202
74,1100430,201|202|2031002
75,1100440,201|202|101
76,1100450,201|202|21000002|2010001|2010005
77,1100460,201
78,1100470,201
79,1100480,
80,1100490,201
81,1100500,201
82,1100510,201
83,1100520,201
84,1100530,201
85,1100540,201
86,1100550,201
87,1100560,201
88,1100570,201|202|10000001|101
89,1100580,201|202
90,1100590,201|202
91,1100600,201|202|2090009
92,1100610,201|202
93,1100620,201|202|2031002
94,1100630,201|202|101
95,1100640,201
96,1100650,
97,1100660,201
98,1100670,
99,1100680,201
100,1100690,201
101,1100700,201
102,1100710,201
103,1100720,201|202|10000001|101
104,1100730,201|202
105,1100740,201|202
106,1100750,201|202|2090009
107,1100760,201|202
108,1100770,201|202|2031002
109,1100780,201|202|101
110,1100790,201|202|21000002|2010001|2010005
111,1100800,201
112,1100810,
113,1100820,201
114,1100830,
115,1100840,
116,1100850,
117,1100860,201
118,1100870,201|9000001|101
119,1100880,201|202
120,1100890,201|202
121,1100900,201|202
122,1100910,201|202|2090009
123,1100920,201|202
124,1100930,201|202|2031002
125,1100940,201|202|101
126,1100950,201
127,1100960,
128,1100970,
129,1100980,201
130,1100990,201
131,1101000,
132,1101010,201
133,1101020,201
134,1101030,201|202|5000001|101
135,1101040,201|202
136,1101050,201|202
137,1101060,201|202|2090009
138,1101070,201|202
139,1101080,201|202|2031002
140,1101090,201|202|101
141,1101100,201
142,1101110,
143,1101120,
144,1101130,
145,1101140,
146,1101150,201
147,1101160,201|202|12000001|101
148,1101170,201|202
149,1101180,201|202
150,1101190,
151,1101200,201|202|2090009
152,1101210,201|202
153,1101220,201|202|2031002
154,1101230,201|202|101
155,1101240,201|202|21000002|2010001|2010005
156,1101250,201|202|23000002
157,1101260,
158,1101270,
159,1101280,201|202
160,1101290,
161,1101300,201|202|22000002
162,1101310,201|202
163,1101320,201|202|2091030|2010001|2010005
164,1101330,
165,1101340,201|202|1290015|1290014|101
166,1101350,
167,1101360,201|202|101|2010012
168,1101370,201|202
169,1101380,
170,1101390,201|202
171,1101400,201|202|101|2010001|2010005
172,1101410,
173,1101420,201|202|101|3054001
174,1101430,201|202
175,1101440,201|202|101|2090019
176,1101450,201|202
177,1101460,201|202
178,1101470,201|202
179,1101480,201|202|101|2010001|2010005
180,1101490,201|202
181,1101500,201|202
182,1101510,201|202|101|2091031
183,1101520,201|202|101
184,1101530,201|202|101
185,1101540,201|202
186,1101550,201|202|101
187,1101560,201|202
188,1101570,201|202
189,1101580,201|202|101|2090019
190,1101590,201|202
191,1101600,201|202
192,1101610,
193,1101620,201|202|2090021
194,1101630,201|202|2090021
195,1101640,201|202|2090021
196,1101650,201|202|2090021
197,1101660,201|202|2090021
198,1101670,201|202|2090021
199,1101680,201|202
200,1101690,201|202
201,1101700,201|202
202,1101710,201|202
203,1101720,201|202|101|3022002
204,1101730,201|202
205,1101740,201|202
206,1101750,201|202|2010005
207,1101760,201|202
208,1101770,201|202|2031004
209,1101780,201|202
210,1101790,201|202|101
211,1101800,201|202
212,1101810,201|202|101
213,1101820,201|202
214,1101830,201|202|2090023|101
215,1101840,201|202
216,1101850,201|202|101
217,1101860,201|202
218,1101870,201|202|101
219,1101880,201|202
220,1101890,201|202|2090019
221,1101900,201|202
222,1101910,201|202
223,1101920,201|202|101|2090023
224,1101930,201|202
225,1101940,201|202
226,1101950,201|202|101
227,1101960,201|202
228,1101970,201|202
229,1101980,201|202|101
230,1101990,201|202
231,1102000,201|202
232,1102010,201|202|2031004|101
233,1102020,201|202
234,1102030,201|202
235,1102040,201|202
236,1102050,201|202|2090023|101
237,1102060,
238,1102070,
239,1102080,201|202
240,1102090,201|202
241,1102100,201|202
242,1102110,201|202
243,1102120,201|202|101
244,1102130,201|202
245,1102140,201|202
246,1102150,201|202|2090023|101
247,1102160,201|202|2035002|101
248,1102170,201|202
249,1102180,201|202|101
250,1102190,201|202
251,1102200,201|202|2031004|101
252,1102210,201|202
253,1102220,201|202
254,1102230,201|202|101
255,1102240,201|202
256,1102250,201|202
257,1102260,201|202
258,1102270,201|202|101
259,1102280,201|202
260,1102290,201|202|2090023|101
261,1102300,201|202
262,1102310,201|202|101
263,1102320,201|202
264,1102330,201|202
265,1102340,201|202|2090021
266,1102350,201|202
267,1102360,201|202|2090019|101
268,1102370,201|202|2035002|101
269,1102380,201|202
270,1102390,201|202
271,1102400,201|202|2090023|101
272,1102410,201|202
273,1102420,201|202
274,1102430,201|202|2031004|101
275,1102440,201|202
276,1102450,201|202|101
277,1102460,201|202|2035002|101
278,1102470,201|202
279,1102480,201|202
280,1102490,201|202|101
281,1102500,201|202
282,1102510,201|202
283,1102520,201|202|101
284,1102530,201|202|2090023|101
285,1102540,201|202|2035002|101
286,1102550,201|202
287,1102560,201|202
288,1102570,201|202|101
289,1102580,201|202
290,1102590,201|202
291,1102600,201|202
292,1102610,201|202|101
293,1102620,201|202
294,1102630,201|202|2090023|101
295,1102640,201|202|2035002|101
296,1102650,201|202
297,1102660,201|202|101
298,1102670,201|202
299,1102680,201|202|2090019|101
300,1102690,201|202
301,1102700,201|202
302,1102710,201|202
303,1102720,201|202|101|2090023
304,1102730,201|202
305,1102740,201|202|2035002|101
306,1102750,201|202
307,1102760,201|202
308,1102770,201|202|101
309,1102780,201|202
310,1102790,201|202
311,1102800,201|202|2090019
312,1102810,201|202
313,1102820,201|202
314,1102830,201|202|101|2090023
315,1102840,201|202
316,1102850,201|202
317,1102860,201|202|2035002|101
318,1102870,201|202|2035002|101
319,1102880,
320,1102890,
321,1102900,
322,1102910,
323,1102920,
324,1102930,
325,1102940,
326,1102950,
327,1102960,
328,1102970,2090011
329,1102980,1070016
330,1102990,1070031
331,1103000,1070051
332,1103010,201|202
333,1103020,201|202|2035002|101
334,1103030,201|202
335,1103040,201|202|101
336,1103050,201|202
337,1103060,201|202|2090019|101
338,1103070,201|202
339,1103080,201|202|2090044|101
340,1103090,201|202
341,1103100,201|202
342,1103110,201|202|2035002|101
343,1103120,201|202
344,1103130,201|202|2035002|101
345,1103140,201|202
346,1103150,
347,1103160,201|202
348,1103170,201|202
349,1103180,201|202|2090019|101
350,1103190,201|202
351,1103200,201|202
352,1103210,201|202|2090023|101
353,1103220,
354,1103230,
355,1103240,
356,1103250,
357,1103260,201|202|3020022|101
358,1103270,201|202
359,1103280,201|202|2035002|101
360,1103290,201|202
361,1103300,201|202
362,1103310,201|202|2090024|101
363,1103320,201|202
364,1103330,201|202|3021009|2010008
365,1103340,201|202
366,1103350,201|202|2035002|101
367,1103360,201|202
368,1103370,201|202|3020016|101
369,1103380,201|202
370,1103390,201|202|2090045|101
371,1103400,201|202|3021009|2010008
372,1103410,201|202
373,1103420,201|202|2035002|101
374,1103430,201|202
375,1103440,201|202|101
376,1103450,
377,1103460,201|202|3021001|3021009
378,1103470,201|202|3021001|3021009
379,1103480,201|202
380,1103490,201|202
381,1103500,201|202|2090024|2010008
382,1103510,201|202|3020016|101
383,1103520,
384,1103530,
385,1103540,
386,1103550,
387,1103560,
388,1103570,201|202|2063002|2051001|2034003|101
389,1103580,201|202
390,1103590,201|202
391,1103600,201|202
392,1103610,201|202|2035002|101
393,1103620,201|202
394,1103630,201|202|3020016|101
395,1103640,201|202
396,1103650,201|202
397,1103660,201|202|3021001|3021009
398,1103670,201|202
399,1103680,201|202
400,1103690,201|202|3021001|3021009
401,1103700,201|202|2035002|101
402,1103710,201|202
403,1103720,201|202
404,1103730,201|202
405,1103740,201|202|3020022|101
406,1103750,
407,1103760,
408,1103770,
409,1103780,
410,1103790,
411,1103800,
412,1103810,
413,1103820,
414,1103830,
415,1103840,201|202|3020022|101|3020016
416,1103850,201|202
417,1103860,201|202
418,1103870,201|202
419,1103880,201|202|101
420,1103890,201|202|3020016|101
421,1103900,201|202
422,1103910,201|202
423,1103920,201|202
424,1103930,201|202|2035002|101
425,1103940,201|202
426,1103950,201|202|3020022|101
427,1103960,201|202
428,1103970,201|202
429,1103980,201|202|3021001|3021009
430,1103990,201|202
431,1104000,201|202
432,1104010,201|202|101
433,1104020,201|202|3020016|101
434,1200010,201|202
435,1200020,201|202
436,1200030,201|202
437,1200040,201|202
438,1200050,201|202
439,1200060,201|202|101|3054001|2091029
440,1200070,201|202|2010001|2010005
441,1200080,201|202
442,1200090,201|202
443,1200100,201|202
444,1200110,201|202|3023001|1290008|1290007
445,1200120,201|202|101|2031004|3060425
446,1200130,201|202
447,1200140,201|202|2010001|2010005
448,1200150,201|202
449,1200160,201|202
450,1200170,201|202
451,1200180,201|202|101|3054001
452,1200190,201|202
453,1200200,201|202|101|2031004
454,1200210,201|202
455,1200220,201|202
456,1200230,201|202
457,1200240,201|202|101
458,1200250,201|202
459,1200260,201|202
460,1200270,201|202|101
461,1200280,201|202|101|2035002
462,1200290,201|202
463,1200300,
464,1200310,201|202
465,1200320,
466,1200330,201|202|101
467,1200340,201|202
468,1200350,201|202
469,1200360,201|202
470,1200370,201|202
471,1200380,201|202|101|2035002
472,1200390,201|202
473,1200400,201|202
474,1200410,201|202
475,1200420,201|202|101
476,1200430,
477,1200440,201|202|101
478,1200450,201|202|101
479,1200460,201|202
480,1200470,201|202
481,1200480,201|202|101
482,1200490,201|202
