KeyString,DefaultKeyValue,Name,MinValue,MaxValue,MobCanInherit
属性键名称（EQUIP_[装备名]_[具体效果]）,属性默认值,属性名称（策划备注）,属性最小值,属性最大值,召唤兽是否继承
SKILL_PG_DAMAGEINC,0,普通攻击伤害增加,-999999,999999,
SKILL_EXDAM_MAG,0,魔法额外伤害,0,999999,
SKILL_EXDAM_PHY,0,物理额外伤害,0,999999,
EQUIP_PTD_REFINE6,0,PTD机械核心精炼+6标记,0,1,
EQUIP_PTD_EQUIPED,0,PTD机械核心装备标记,0,1,
EQUIP_PTD_REFINE10,0,PTD机械核心精炼+10标记,0,1,
EQUIP_BKZF_BARROWDAMUP,0,贝克战斧伤害提升相关,0,100000,
EQUIP_QYGH_REFINE6,0,痊愈光辉精炼+6标记,0,1,
EQUIP_QYGH_REFINE15,0,痊愈光辉精炼+15标记,0,1,
EQUIP_QYGH_MOBRATE,0,痊愈光辉精炼+10，范围治疗效果提升比例,0,100000,
EQUIP_QYGH_DEHEAL,0,痊愈光辉减治疗效果,-10000,10000,
EQUIP_YLDJ_INTDAMUP,0,月灵短剑智力部分伤害提升,0,10000,
EQUIP_YLDJ_REFINEDAMUP,0,月灵短剑+10智力部分伤害提升,0,10000,
EQUIP_YCDJ_EXDAMRATE,0,月辰短剑额外伤害rate,0,100000,
EQUIP_YCDJ_REFINERATE,0,月辰短剑精炼额外伤害rate,0,100000,
EQUIP_SZJY_DAMUPBASEPRO,0,圣杖英灵多倍伤害基础概率,0,100000,
EQUIP_SZJY_DAMUPRATE,0,圣杖英灵多倍伤害倍率,0,100000,
EQUIP_SZJY_DAMUPLUKRATE,2000,圣杖英灵多倍伤害luk比例,0,100000,
EQUIP_SZJY_PERUPRATE,0,圣杖英灵提升技能基础倍率比例,0,100000,
EQUIP_YHZQ_ASPDUP,0,永恒之枪攻速提升比例,0,100000,
EQUIP_YHZQ_REFINELV,0,永恒之枪精炼等级,0,100,
EQUIP_WZHY_MAXCOUNT,2,巫杖魂咬灵巫最高buff层数,0,6,
EQUIP_WZHY_EXDAMRATE,0,巫杖魂咬魂咬额外伤害倍率,0,100000,
EQUIP_WZHY_EXDAMRATE_SNAPSHOT,0,巫杖魂咬魂咬额外伤害倍率_快照,0,100000,
EQUIP_MDTS_EXDAMRATE,100,魔刀吞神额外伤害比例,-100000,100000,
EQUIP_MDTS_EXDAMRATE_SNAPSHOT,0,魔刀吞神额外伤害比例_快照,0,100000,
EQUIP_SCSZX_EXDAMRATE,0,圣锤十字星额外伤害比例,0,100000,
EQUIP_SCSZX_EXDAMRATE_SNAPSHOT,0,圣锤十字星额外伤害比例_快照,0,100000,
EQUIP_YSZG_EXDAMRATE,0,鹰隼之弓额外伤害比例,0,100000,
