Setting,Comment,Value
事项,注释,值
PartyWeekDay,派对每周开启日,7
PartyStartTime,派对开始时间,200000
PartyDanceStartTime,派对跳舞预热阶段开始时间,200230
PartyDanceOfficalTime,派对正式跳舞阶段开始时间,200500
PartyLotteryStartTime,派对抽奖阶段开始时间,201500
PartyEndTime,派对结束时间,203000
MedalAllType,纹章所有类型,601|602|605|606|608|609
MedalNumLimit,兑换所需纹章数量,5
MedalChangeCoinRate,单个纹章可以兑换物品,2040009=1
InvitationLetterId,邀请函道具ID,2040008
LoveLightTimeLimit,点亮爱心次数上限,10
PartyFirstPrizeInfo,派对一等奖（人数|时间|描述）,1|202400|PARTY_FIRST_PRIZE
PartySecondPrizeInfo,派对二等奖（人数|时间|描述）,2|202100|PARTY_SECOND_PRIZE
PartyThirdPrizeInfo,派对三等奖（人数|时间|描述）,3|201800|PARTY_THIRD_PRIZE
PartyLuckyPrizeInfo,派对幸运奖（分组人数|时间|奖励）,5|202700|PARTY_LUCKY_PRIZE
PartyNormalPrizeInfo,派对参与奖（分组人数|时间|奖励）,5|202700|PARTY_NORMAL_PRIZE
PartyFirstPrizeAward,派对一等奖奖励,2090028=1=0
PartySecondPrizeAward,派对二等奖奖励,2090029=1=0
PartyThirdPrizeAward,派对三等奖奖励,2090030=1=0
PartyLuckyPrizeAward,派对幸运奖奖励,2090031=1=0
PartyNormalPrizeAward,派对参与奖奖励（道具id）,2090034=1=0
PartyDancePrizeAward,派对跳舞跳对奖励,3640010
PartyDancePrizeAwardMes,派对跳舞跳对奖励提示文字,PARTY_DANCE_PRIZE_TIPS
PartyDancerSpecialAwardAnnounceId,派对跳舞获得舞娘的礼物公告,62111
PartyPrizeAwardMail,派对获奖邮件ID,5101
PartyLotteryCountdown,抽奖倒计时,10
PartyLotteryShowTime,抽奖动画时长,8
PartyKickStartTime,派对场景踢人时间,194500
PartyKickPosition,派对场景踢人位置,7=126=10.32=59.5=180=180
PartyStartEnterTime,派对场景允许进入时间,195500
PartySceneId,派对场景ID,59
PartyInviteMsg,派对邀请函信息显示,PARTY_INVITE_MESSAGE
PartyKickAnnouceId,踢人清场公告id,PARTY_START_KICK_OUT_TIPS
DancActionNum,歌曲出场顺序对应的动作数,5|3|3|4|5
DanceBgmLastTime,每首歌持续时间（秒）,150
PartyMainInfo,显示在阶段旁边的按钮的Tips里面的文字,PARTY_MAIN_INFORMATION
PartyGuideInformation,派对引导UI文字（1时间点2活动开始3活动结束4开奖5预热开始6跳舞开始前10秒）,1=20=62103|1=24=62104|1=28=62105|1=60=62119|1=64=62120|4=62108|5=62101|6=62102|3=62107|1=960=62119|1=964=62120|1=1050=62115|1=1230=62114|1=1410=62113|1=1590=62116
PartyExpAward,派对泡点奖励,90|PartyExp
PartyCustomSkillEditInfo,自定义技能按钮边上的Tips文字信息,PARTY_SKILL_INFORMATION
PartyImageFashionMinNum,创建镜像所需最小典藏值数,0
PartyDancerBeforeStartTime,舞娘正式跳舞阶段提前时间（秒）,10
PartyImageAnnounceId,镜像创建场景中跑马灯id（单人id=双人id）,62109=62110
PartyDancePrizeSpecialAward,派对跳舞跳对特别奖励id和概率（万分比）,3640030=100
PartyInfoTitle,活动入口标题,PARTY_INFO_TITLE
PartyInfoMainTxt,活动入口介绍文字,PARTY_INFO_MAINTXT
PartyNearByRefreshTime,附近的人刷新时间（秒）,60
PartyLotteryKeepTime,抽奖揭晓的保留时间（s）,30
