MainId,FunctionID,ActivityName,,ActivitySystemId,ShowTime,AtlasName,IconName,ServerLevelLimit,IsShow
父活动主键ID（唯一标识）,对应opensystem表中的功能ID,活动名称,活动备注（策划用）,策划用，程序读子活动表生效，子活动功能ID（多个用|分隔）,"功能界面显示时间，时分秒格式为000000，不可配超过235959,0点配为000000",图标图集,界面背景显示,服务器等级限制（0表示无限制）未达到条件的，不显示活动信息,是否显示该活动（1显示，0为不显示）不显示也会隐藏主界面的APP图标
110,180,节日活动,绵绵岛2,1053,20200806=050000|20200814=050000,PrefabBg,UI_Festival_Bg_01.jpg,30,1
160,180,节日活动,狩猎场测试,1101,20200814=050100|20200830=050000,PrefabBg,UI_Festival_Bg_01.jpg,40,1
111,180,节日活动,BINGO,1054|1055,20200822=050000|20200910=050000,PrefabBg,UI_Festival_Bg_01.jpg,30,1
112,180,节日活动,MVP活动|极限挑战,1056|1058,20200912=050000|20200925=050000,PrefabBg,UI_Festival_Bg_01.jpg,30,1
161,180,节日活动,博仁斯|无限塔|喵喵岛,1102|1060|1061,20200930=050000|20201014=235900,PrefabBg,UI_Festival_Bg_01.jpg,30,1
200,180,节日活动,EP2.0嘉年华,1800|2001|2002|2003|4001|4002|4003|5001|1103,20201019=050000|20211215=050000,PrefabBg,UI_Festival_Bg_01.jpg,30,1
210,180,节日活动,节日活动,,20200801=050000|20220230=050000,PrefabBg,UI_Festival_Bg_01.jpg,30,1
220,180,RAO上线纪念活动,RAO上线纪念活动,,20200628=050000|20220112=050000,PrefabBg,UI_Festival_Bg_01.jpg,30,1
230,180,节日活动,邪能入侵测试,,20221031=050000|20221120=050000,PrefabBg,UI_Festival_Bg_01.jpg,30,1
