MainSonId,Group,FunctionID,TimeLimit,ServerDaysLimit,ActivityName,,Sort,GiftMajorId,CountShow
礼包主键ID（唯一标识）,父子关联（0为标识父功能，子功能配服功能的主键ID）,功能ID，如果open表里基础开启条件一样可以用同一个功能ID，否则配不一样的功能ID（比如要求的角色等级或服务器等级不一样）,"生效时间，时分秒格式为000000，不可配超过235959,0点配为000000",服务器开服时间天数限制（10=30，两边值包含在内）,礼包名称（仅显示Group=0的，走本地化）,礼包具体内容（策划用）,排序（显示活动框架配置0或者不配置）,礼包功能填主键ID（GiftPackageTable),限购描述（直接填文本，不填默认为：购买周限制在每周一5点重置）
1,0,11209,20200627=000000|20200704=000000,,卡普拉礼包1,,10,,
2,1,11210,20200627=000000|20200704=000000,,,对应卡普拉礼包中的金币礼包123,10,400001|400002,
3,0,11209,20200725=050000|20200814=050000,,夏日礼包,,10,,
4,3,11210,20200725=050000|20200728=050000,,,对应夏日登陆/特惠/增强礼包,10,400003|400004|400005,
5,3,11210,20200727=000000|20200728=050000,,,对应夏日纵情礼包,20,400006,
6,3,11211,20200807=050000|20200814=050000,,,20200807新增礼包,9,400008|400009|400010|400012,
7,0,11209,20200901=000000|20200923=050000,,九月礼包,,20,,
8,7,11210,20200901=000000|20200923=050000,,,九月礼包,10,400013|400015|400016|400017|400014,
9,7,11211,20200916=150000|20200923=050000,,,抗击新冠肺炎福利礼包,9,400018,
10,0,11209,20201001=000000|20201023=050000,,十月礼包,,10,,
11,10,11210,20201001=000000|20201023=050000,10=9999,,1-13服礼包,10,400019|400020|400021|400022|400033,
17,10,11210,20201001=000000|20201023=050000,0=9,,0923新服,10,400019|400032|400028|400030|400034,
18,10,11210,20201001=000000|20201023=050000,0=9,,0923新服老礼包,20,400020|400021|400022|400033,
19,0,11209,20201101=000000|20201123=050000,,十月礼包,,10,,
20,19,11210,20201101=000000|20201123=050000,75=9999,,1-13服礼包,10,400044|400045|400035|400036|400037|400039|400040,
21,19,11210,20201101=000000|20201123=050000,35=74,,14服,20,400044|400045|400035|400036|400038|400039|400041,
22,19,11210,20201101=000000|20201123=050000,0=34,,15服,30,400044|400045|400035|400043|400036|400042|400039,
23,0,11209,20201201=000000|20201223=050000,,十二月礼包,,20,,
24,23,11210,20201201=000000|20201223=050000,101=9999,,1-13服礼包,10,400046|400047|400048|400049|400051|400052,
25,23,11210,20201201=000000|20201223=050000,40=100,,14服礼包,20,400046|400047|400048|400049|400051|400053,
26,23,11210,20201201=000000|20201223=050000,0=39,,15服礼包,30,400046|400047|400048|400050|400051|400053,
27,0,11209,20210101=000000|20210123=050000,,一月礼包,,30,,
28,27,11210,20210101=000000|20210123=050000,41=9999,,1-15服礼包,10,400054|400055|400056|400057|400058,
29,27,11210,20210101=000000|20210123=050000,0=40,,16服礼包,20,400054|400055|400059|400060|400061,
30,0,11209,20210201=000000|20210227=235900,,二月礼包,,40,,
31,30,11210,20210201=000000|20210227=235900,120=9999,,1-14服礼包1-27,20,400062|400064|400065|400066|400068|400069,
32,30,11210,20210201=000000|20210227=235900,90=119,,15服礼包1-27,21,400062|400064|400065|400066|400068|400070,
33,30,11210,20210201=000000|20210227=235900,0=89,,16服礼包1-27,22,400062|400064|400065|400067|400068|400071,
34,30,11211,20210210=000000|20210227=235900,0=9999,,1-16服礼包10-27,10,400063,
35,0,11209,20210301=000000|20210329=235900,,三月礼包,,50,,
36,35,11210,20210301=000000|20210329=235900,150=9999,,,51,400072|400073|400074|400075|400077,
37,35,11210,20210301=000000|20210329=235900,50=149,,15-16,52,400072|400073|400074|400076|400078,
38,0,11209,20210401=000000|20210428=235900,,四月礼包,,60,,
39,38,11210,20210401=000000|20210428=235900,180=9999,,1-14服礼包1-28,61,400079|400080|400081|400082|400083|400084,
40,38,11210,20210401=000000|20210428=235900,80=179,,15-16服礼包1-28,62,400079|400080|400081|400085|400086|400087,
41,38,11210,20210401=000000|20210428=235900,0=79,,17服礼包1-28,63,400079|400080|400081|400088|400089|400090,
42,0,11209,20210501=000000|20210528=235900,,五月礼包,,70,,
43,42,11210,20210501=000000|20210528=235900,0=9999,,1-17服礼包,71,400091|400092|400093|400094|400095|400096,
44,0,11209,20210601=000000|20210628=235900,,六月礼包,,80,,
45,44,11210,20210601=000000|20210628=235900,200=9999,,1-15服礼包,81,400097|400098|400099|400101|400102,
46,44,11210,20210601=000000|20210628=235900,0=199,,16-17服礼包,82,400097|400098|400099|400103|400102,
47,0,11209,20210702=120000|20210731=235900,,七月礼包,,90,,
48,47,11210,20210702=120000|20210731=235900,0=9999,,1-17服礼包,91,400104|400105|400106|400107|400108,
49,0,11209,20210801=000000|20210831=235900,,八月礼包,,100,,
