TimeId,LoopType,ShowTime,StartTime,
时间编号（2000-2999为祈愿抽奖用；3000-3999为日本节日礼包用）700-799意见反馈占用，绝对不要占用,循环类型（1.不循环,"显示时间，时分秒格式为000000，不可配超过235959,0点配为000000","生效时间，时分秒格式为000000，不可配超过235959,0点配为000000",备注策划用
1,1,20200627=000000|20200704=000000,20200627=000000|20200704=000000,对应卡普拉礼包中的金币礼包123
2,1,20200725=050000|20200814=050000,20200725=050000|20200814=050000,
3,1,20200725=050000|20200728=050000,20200725=050000|20200728=050000,
4,1,20200727=000000|20200728=050000,20200727=000000|20200728=050000,
5,1,20200807=050000|20200814=050000,20200807=050000|20200814=050000,
6,1,20200901=000000|20200923=050000,20200901=000000|20200923=050000,韩国礼包时间，国内不开
7,1,20200901=000000|20200923=050000,20200901=000000|20200923=050000,韩国礼包时间，国内不开
8,1,20200916=150000|20200923=050000,20200916=150000|20200923=050000,抗击新冠肺炎福利礼包
1001,1,20200918=050000|20200925=050000,20200919=050000|20200925=050000,松饼第2天开售原料
1002,1,20200918=050000|20200925=050000,20200919=050000|20200925=050000,松饼第2天开售原料
1003,1,20200918=050000|20200925=050000,20200920=050000|20200925=050000,松饼第3天开售原料
1004,1,20200918=050000|20200925=050000,20200920=050000|20200925=050000,松饼第3天开售原料
1005,1,20200918=050000|20200925=050000,20200921=050000|20200925=050000,松饼第4天开售原料
1006,1,20200918=050000|20200925=050000,20200921=050000|20200925=050000,松饼第4天开售原料
1010,1,20210914=050000|20210928=050000,20210914=050000|20210928=050000,蔬菜饼活动期间出售
1011,1,20210914=050000|20210928=050000,20210915=050000|20210928=050000,蔬菜饼第2天开售原料
1012,1,20210914=050000|20210928=050000,20210915=050000|20210928=050000,蔬菜饼第2天开售原料
1013,1,20210914=050000|20210928=050000,20210916=050000|20210928=050000,蔬菜饼第3天开售原料
1014,1,20210914=050000|20210928=050000,20210916=050000|20210928=050000,蔬菜饼第3天开售原料
1015,1,20210914=050000|20210928=050000,20210917=050000|20210928=050000,蔬菜饼第4天开售原料
1016,1,20210914=050000|20210928=050000,20210917=050000|20210928=050000,蔬菜饼第4天开售原料
1017,1,20210914=050000|20210928=050000,20210921=050000|20210928=050000,蔬菜饼第8天开售原料
1000,1,20200918=050000|20200925=050000,20200918=050000|20200925=050000,松饼活动期间出售
9,1,20201001=000000|20201023=050000,20201001=000000|20201023=050000,十月礼包
10,1,20201101=000000|20201123=050000,20201101=000000|20201123=050000,十一月礼包
11,1,20201008=000000|20201023=050000,20201008=000000|20201023=050000,十月8号开启礼包
12,1,20201025=050000|20201202=050000,20201025=050000|20201202=050000,助战活动嘉年华币
801,1,20201125=150000|20210127=150000,20201125=150000|20210127=150000,第1期累充
802,1,20210127=150000|20210324=050000,20210127=150000|20210324=050000,第2期累充
803,1,20210324=050000|20210525=050000,20210324=050000|20210525=050000,第3期累充
13,1,20201201=000000|20201223=050000,20201201=000000|20201223=050000,十二月礼包
14,1,20210101=000000|20210123=050000,20210101=000000|20210123=050000,2021一月礼包
15,1,20210201=000000|20210227=235900,20210201=000000|20210227=235900,2021二月礼包1-27
16,1,20210210=000000|20210227=235900,20210210=000000|20210227=235900,2021二月礼包10-27
17,1,20210301=000000|20210329=235900,20210301=000000|20210329=235900,2021三月礼包
18,1,20210401=000000|20210428=235900,20210401=000000|20210428=235900,2021四月礼包
19,1,20210501=000000|20210528=235900,20210501=000000|20210528=235900,2021五月礼包
700,1,20210528=000000|20210628=235900,20210528=000000|20210628=235900,意见反馈第1期
701,1,20210825=050000|20210925=045959,20210825=050000|20210925=045959,意见反馈第2期
702,1,20210925=050000|20211025=045959,20210925=050000|20211025=045959,意见反馈第3期
703,1,20211025=050000|20211125=045959,20211025=050000|20211125=045959,意见反馈第4期
704,1,20211125=050000|20211225=045959,20211125=050000|20211225=045959,意见反馈第5期
705,1,20211225=050000|20220125=045959,20211225=050000|20220125=045959,意见反馈第6期
706,1,20220125=050000|20220225=045959,20220125=050000|20220225=045959,意见反馈第7期
707,1,20220225=050000|20220325=045959,20220225=050000|20220325=045959,意见反馈第8期
708,1,20220325=050000|20220425=045959,20220325=050000|20220425=045959,意见反馈第9期
709,1,20220425=050000|20220525=045959,20220425=050000|20220525=045959,意见反馈第10期
710,1,20220525=050000|20220625=045959,20220525=050000|20220625=045959,意见反馈第11期
711,1,20220625=050000|20220725=045959,20220625=050000|20220725=045959,意见反馈第12期
712,1,20220725=050000|20220825=045959,20220725=050000|20220825=045959,意见反馈第13期
713,1,20220825=050000|20220925=045959,20220825=050000|20220925=045959,意见反馈第14期
714,1,20220925=050000|20221025=045959,20220925=050000|20221025=045959,意见反馈第15期
715,1,20221025=050000|20221125=045959,20221025=050000|20221125=045959,意见反馈第16期
716,1,20221125=050000|20221225=045959,20221125=050000|20221225=045959,意见反馈第17期
717,1,20221225=050000|20230125=045959,20221225=050000|20230125=045959,意见反馈第18期
718,1,20230125=050000|20230225=045959,20230125=050000|20230225=045959,意见反馈第19期
719,1,20230225=050000|20230325=045959,20230225=050000|20230325=045959,意见反馈第20期
720,1,20230325=050000|20230425=045959,20230325=050000|20230425=045959,意见反馈第21期
20,1,20210408=050000|20210608=050000,20210408=050000|20210608=050000,限时抽奖奖池
21,1,20210408=050000|20210508=050000,20210408=050000|20210508=050000,限时无限抽奖奖池
30,1,20210601=000000|20210628=235900,20210601=000000|20210628=235900,2021六月礼包
2000,1,20210601=050000|20610601=050000,20210601=050000|20610601=050000,日本抽奖积分长期有效
2001,1,20210729=050000|20210809=045959,20210729=050000|20210809=045959,抽奖积分有效时间1
2002,1,20210809=050000|20210816=045959,20210809=050000|20210816=045959,抽奖积分有效时间2
2003,1,20210816=050000|20210823=045959,20210816=050000|20210823=045959,抽奖积分有效时间3
2004,1,20210823=050000|20210830=045959,20210823=050000|20210830=045959,抽奖积分有效时间4
2005,1,20210830=050000|20210906=045959,20210830=050000|20210906=045959,抽奖积分有效时间5
2006,1,20210906=050000|20210913=045959,20210906=050000|20210913=045959,抽奖积分有效时间6
2010,1,20210601=050000|20210810=045900,20210601=050000|20210810=045900,时装奖池抽取时间
2011,1,20210920=050000|20210927=045959,20210920=050000|20210927=045959,秋日外观扭蛋IV
2012,1,20210927=050000|20211004=045959,20210927=050000|20211004=045959,秋日外观扭蛋V
2013,1,20211004=050000|20211011=045959,20211004=050000|20211011=045959,十月外观扭蛋1
2014,1,20211011=050000|20211018=045959,20211011=050000|20211018=045959,十月外观扭蛋2
2015,1,20211018=050000|20211025=045959,20211018=050000|20211025=045959,十月外观扭蛋3
2016,1,20211025=050000|20211101=045959,20211025=050000|20211101=045959,十月外观扭蛋4
2017,1,20211101=050000|20211108=045959,20211101=050000|20211108=045959,十一月外观扭蛋1
2018,1,20211108=050000|20211115=045959,20211108=050000|20211115=045959,十一月外观扭蛋2
2019,1,20211115=050000|20211122=045959,20211115=050000|20211122=045959,十一月外观扭蛋3
2020,1,20211122=050000|20211129=045959,20211122=050000|20211129=045959,十一月外观扭蛋4
