TipsID,TipsType,LevelLimit,TipsContent,TipsTheme,SystemId
公告ID,提示类型（1全局2无限塔 可新增）,等级区间,任务内容,,tips对应功能id（填id则id对应功能开启后才显示tips，填空则显示不受功能开启影响）
101,1,1=10,升到10级可以进行转职，想想都有点小激动呢~(>▽<)~,转职,9001
102,1,1=10,可以使用紧急治疗技能对自身进行恢复，前期非常实用~,紧急治疗,102
103,1,7=30,升级后，及时分配素质点可以提升能力，战胜更强大的魔物,素质点,102
104,1,1=30,遇到危难时，可以通过使用装死技能脱离魔物的攻击~,装死,102
105,1,0=30,在设置中可以选择适合自己的画质和操作模式,画质，操作模式,107
106,1,0=50,感到卡顿的时候可以在设置中适当降低画质，获得更流畅的游戏体验,画质,
107,1,9=300,在衣橱搭配自己钟爱的装扮，并不会影响属性，请不用担心呢,装扮,106
108,1,15=50,职业等级提升后，可以分配对应的技能点，提升或者学习技能,技能点,102
109,1,27=60,贤者回忆剧情模式首次通关后可以获得大量奖励，之后帮助他人通关也能获得助战奖励,贤者回忆,5025
110,1,35=300,更换装备时，装备助手可以将旧装备的精炼和附魔属性转移给新装备,装备助手,3099
111,1,75=300,更换装备时，可以在装备助手处附魔提炼，提炼后会返还一定比例的附魔材料,附魔提炼,10810
112,1,20=300,可以自由选择通过委托，任务，活动等方式提升等级,升级方式,
113,1,11=40,补给药水不足时，可以找各地的道具商人进行购买,药水购买,101
114,1,11=300,善用蝴蝶翅膀和苍蝇翅膀，可以提升地图探索、寻路时的效率,蝴蝶翅膀/苍蝇翅膀,101
115,1,11=50,使用道具马牌可以提高移动速度，可以在各地道具商人处购买,马牌,101
116,1,20=300,善于利用元素的相生相克关系，能够事半功倍的提升练级效率,属性相克,
117,1,20=300,研究魔物的种族、体型等特性，使用合适的卡片和装备就能更加轻松的应付他们,怪物特性,9007
118,1,20=300,使用2个手指可以放大和缩小镜头，选择适合自己喜欢的效果,大小拉伸,
119,1,30=300,前一天有未完成的挂机和委托时，会按照一定比例转化成祈福经验，次日完成日常任务时获得,祈福经验,153
120,1,40=300,每周二、周四20:30“极限挑战”，可以组队挑战时间和难度的极限，获取丰富奖励,极限挑战,5140
121,1,40=300,每周三21:30“擂台”，3人协同作战角逐擂台，获取丰富奖励,擂台,15002
122,1,200=300,每周六12:50-14:30，20:50-22:30开启“战场”，10V10策略合作，获取丰富奖励,战场,15001
123,1,40=300,每周三时尚主编会出现在普隆德拉时装商店，通过考核的冒险者可以获得奖励，并有机会登上时尚周刊！,时尚评分,15010
124,1,40=300,开启魔物驱逐祝福，将无视疲惫状态，击杀野外魔物仍可以掉落物品，但是不会获得经验哦！,魔物驱逐,5110
125,1,50=300,时空任务每日12点-21点每隔3小时会刷新一次，和公会伙伴一起组队完成，获取丰富奖励,时空调查团（世界奇闻,5130
126,1,30=300,击败野外的Mini和精英怪会获得丰厚奖励，每天各有5次奖励上限，不要错过~,精英/Mini,5100
127,1,30=300,协助他人完成圣歌试炼、迷雾之森、贤者回忆、无限塔、极限挑战都可以获得助战奖励~,助战,
128,1,20=300,一些地区在雨后会长出果子，吉芬西部的狸猫商人愿意拿一些宝贝来换这些果子,大世界果子,
129,1,16=300,乐园团每天都会发布各式各样的委托，冒险者可以挑选自己感兴趣的接取~,委托,
130,1,20=60,聊天设置中可以开启公会和队伍频道的快捷聊天，沟通将更加轻松,快捷聊天,160
131,1,25=60,波利精灵遍布在世界的各个角落，发现它们会有小惊喜~,波利团,11403
132,1,0=60,角色无法行动时，可以在设置里面使用[脱离卡死],脱离卡死,
133,1,30=60,留意魔物图片上的等级角标，蓝色的为被动攻击，红色的为主动攻击,主动/被动,
134,1,16=300,完成委托，集齐任意五大公会的纹章去兑换邀请函，就可以参加卢恩王国周末举办的主题派对啦,主题派对,117
135,1,20=300,野外战斗120分钟后会进入疲惫，将不再获得经验和材料，但仍能累计魔物研究进度和获得藏品奖励,魔物图鉴,5120
136,1,20=300,不要忘了给佣兵和他的装备升级哦，这会大大增强他们的战斗能力,佣兵招募,122
137,1,20=300,蒸蟹螯的回复效果可以共享给当前佣兵，战斗时别忘了使用料理哦,佣兵使用料理,122
138,1,40=300,不用的装备可以去装备分解机分解掉获得碎片，碎片可用于抽取材料哦,装备分解,3097
139,1,42=300,天地树单人守卫战中达到一定成绩的冒险者，将会获得参加双人守卫战的资格！,天地树守卫战,5160
